"site","type","subset","scope","prev240_next032","prev240_other_next","prev240_total","prev240_next032_share","non240_next032","non240_other_next","non240_total","non240_next032_share","risk_difference","odds_ratio_raw","odds_ratio_ha","prev240_next_profile","non240_next_profile"
"Chanhu-daro","SEAL:S","all_companion_states","Chanhu-daro|SEAL:S|all_companion_states","1","0","1","1","1","0","1","1","0",,"1","032:1","032:1"
"Chanhu-daro","SEAL:S","no_companion_side_only","Chanhu-daro|SEAL:S|no_companion_side_only","1","0","1","1","1","0","1","1","0",,"1","032:1","032:1"
"Harappa","SEAL:S","all_companion_states","Harappa|SEAL:S|all_companion_states","1","0","1","1","6","23","29","0.206897","0.793103",,"10.846154","032:1","032:6;415:4;003:3;016:3;002:2;240:2;455:2;000:1"
"Harappa","SEAL:S","no_companion_side_only","Harappa|SEAL:S|no_companion_side_only","1","0","1","1","6","23","29","0.206897","0.793103",,"10.846154","032:1","032:6;415:4;003:3;016:3;002:2;240:2;455:2;000:1"
"Mohenjo-daro","SEAL","all_companion_states","Mohenjo-daro|SEAL|all_companion_states","0","1","1","0","0","0","0",,,,"0.333333","002:1",""
"Mohenjo-daro","SEAL","no_companion_side_only","Mohenjo-daro|SEAL|no_companion_side_only","0","1","1","0","0","0","0",,,,"0.333333","002:1",""
"Mohenjo-daro","SEAL:R","all_companion_states","Mohenjo-daro|SEAL:R|all_companion_states","1","1","2","0.5","5","11","16","0.3125","0.1875","2.2","2.090909","032:1;415:1","415:8;032:5;003:1;235:1;786:1"
"Mohenjo-daro","SEAL:R","no_companion_side_only","Mohenjo-daro|SEAL:R|no_companion_side_only","1","1","2","0.5","5","11","16","0.3125","0.1875","2.2","2.090909","032:1;415:1","415:8;032:5;003:1;235:1;786:1"
"Mohenjo-daro","SEAL:S","all_companion_states","Mohenjo-daro|SEAL:S|all_companion_states","6","1","7","0.857143","23","81","104","0.221154","0.635989","21.130435","15.028369","032:6;255:1","032:23;415:18;002:8;065:6;003:5;240:4;455:4;016:4"
"Mohenjo-daro","SEAL:S","no_companion_side_only","Mohenjo-daro|SEAL:S|no_companion_side_only","6","1","7","0.857143","23","79","102","0.22549","0.631653","20.608696","14.659574","032:6;255:1","032:23;415:18;002:7;065:6;003:5;240:4;455:4;016:4"
