"corpus","scope","control","metric","iterations","observed","null_mean","null_p05","null_median","null_p95","null_max","null_ge_observed_share"
"Lipi_Mayig_overlap_Mayig_side","crosswalk_aligned_artifacts_mayig_signs_exact_collapsed","global_token_shuffle","stored_win_share","80","0.929134","0.457776","0.338583","0.456693","0.566929","0.598425","0"
"Lipi_Mayig_overlap_Mayig_side","crosswalk_aligned_artifacts_mayig_signs_exact_collapsed","row_internal_shuffle","stored_win_share","80","0.929134","0.462992","0.377953","0.464567","0.551181","0.598425","0"
"Lipi_Mayig_overlap_Mayig_side","crosswalk_aligned_artifacts_mayig_signs_exact_collapsed","position_slot_shuffle","stored_win_share","80","0.929134","0.909744","0.88189","0.913386","0.937008","0.944882","0.2125"
"Lipi_Mayig_overlap_Mayig_side","crosswalk_aligned_artifacts_mayig_signs_exact_collapsed","edge_frame_shuffle","stored_win_share","80","0.929134","0.905413","0.874016","0.905512","0.929134","0.929134","0.125"
"Linear_B_Series_D","sign_tokens_ivc_length_cap_exact_sequence_collapsed","global_token_shuffle","stored_win_share","80","0.996403","0.494469","0.435252","0.489209","0.561151","0.600719","0"
"Linear_B_Series_D","sign_tokens_ivc_length_cap_exact_sequence_collapsed","row_internal_shuffle","stored_win_share","80","0.996403","0.497977","0.435252","0.496403","0.557554","0.597122","0"
"Linear_B_Series_D","sign_tokens_ivc_length_cap_exact_sequence_collapsed","position_slot_shuffle","stored_win_share","80","0.996403","0.97509","0.960432","0.97482","0.989209","0.992806","0"
"Linear_B_Series_D","sign_tokens_ivc_length_cap_exact_sequence_collapsed","edge_frame_shuffle","stored_win_share","80","0.996403","0.968525","0.953237","0.967626","0.982014","0.982014","0"
"SumTablets","glyph_only_line_sequences_exact_collapsed","global_token_shuffle","stored_win_share","80","0.935484","0.493402","0.46663","0.496107","0.513348","0.519466","0"
"SumTablets","glyph_only_line_sequences_exact_collapsed","row_internal_shuffle","stored_win_share","80","0.935484","0.493931","0.472747","0.491657","0.513904","0.528365","0"
"SumTablets","glyph_only_line_sequences_exact_collapsed","position_slot_shuffle","stored_win_share","80","0.935484","0.808913","0.796997","0.808676","0.823693","0.82703","0"
"SumTablets","glyph_only_line_sequences_exact_collapsed","edge_frame_shuffle","stored_win_share","80","0.935484","0.816178","0.80089","0.816463","0.833148","0.838154","0"
"Pictish_stones","exact_collapsed_length_2_to_8","global_token_shuffle","stored_win_share","80","0.802139","0.478008","0.385027","0.481283","0.550802","0.604278","0"
"Pictish_stones","exact_collapsed_length_2_to_8","row_internal_shuffle","stored_win_share","80","0.802139","0.486497","0.395722","0.491979","0.550802","0.604278","0"
"Pictish_stones","exact_collapsed_length_2_to_8","position_slot_shuffle","stored_win_share","80","0.802139","0.741912","0.71123","0.743316","0.770053","0.786096","0"
"Pictish_stones","exact_collapsed_length_2_to_8","edge_frame_shuffle","stored_win_share","80","0.802139","0.738168","0.705882","0.737968","0.764706","0.786096","0"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","global_token_shuffle","stored_win_share","80","0.666667","0.418229","0.208333","0.416667","0.625","0.75","0.05"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","row_internal_shuffle","stored_win_share","80","0.666667","0.449479","0.208333","0.416667","0.666667","0.875","0.075"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","position_slot_shuffle","stored_win_share","80","0.666667","0.688021","0.583333","0.708333","0.791667","0.833333","0.7375"
"Mesopotamian_kudurru_deity_symbols","exact_collapsed_length_2_to_8","edge_frame_shuffle","stored_win_share","80","0.666667","0.669271","0.583333","0.666667","0.75","0.791667","0.6625"
"Totem_poles","exact_collapsed_length_2_to_8","global_token_shuffle","stored_win_share","80","0.654472","0.438008","0.365854","0.434959","0.495935","0.577236","0"
"Totem_poles","exact_collapsed_length_2_to_8","row_internal_shuffle","stored_win_share","80","0.654472","0.418699","0.365854","0.418699","0.471545","0.487805","0"
"Totem_poles","exact_collapsed_length_2_to_8","position_slot_shuffle","stored_win_share","80","0.654472","0.661585","0.621951","0.658537","0.695122","0.723577","0.6875"
"Totem_poles","exact_collapsed_length_2_to_8","edge_frame_shuffle","stored_win_share","80","0.654472","0.662043","0.613821","0.662602","0.691057","0.719512","0.6875"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","global_token_shuffle","stored_win_share","80","0.072165","0.462887","0.340206","0.474227","0.56701","0.597938","1"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","row_internal_shuffle","stored_win_share","80","0.072165","0.188789","0.123711","0.185567","0.247423","0.309278","1"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","position_slot_shuffle","stored_win_share","80","0.072165","0.320876","0.206186","0.329897","0.43299","0.453608","1"
"Barn_stars_hex_signs","exact_collapsed_length_2_to_8","edge_frame_shuffle","stored_win_share","80","0.072165","0.209278","0.134021","0.206186","0.268041","0.28866","1"
"Vinca_symbols","exact_collapsed_length_2_to_8","global_token_shuffle","stored_win_share","80","0.384615","0.427198","0.296703","0.417582","0.549451","0.626374","0.7375"
"Vinca_symbols","exact_collapsed_length_2_to_8","row_internal_shuffle","stored_win_share","80","0.384615","0.377198","0.274725","0.384615","0.472527","0.527473","0.5125"
"Vinca_symbols","exact_collapsed_length_2_to_8","position_slot_shuffle","stored_win_share","80","0.384615","0.367995","0.307692","0.362637","0.417582","0.43956","0.4375"
"Vinca_symbols","exact_collapsed_length_2_to_8","edge_frame_shuffle","stored_win_share","80","0.384615","0.384341","0.340659","0.384615","0.428571","0.450549","0.5875"
"Weather_icons","exact_collapsed_length_2_to_8","global_token_shuffle","stored_win_share","80","0.503733","0.484678","0.463415","0.486063","0.499004","0.504231","0.025"
"Weather_icons","exact_collapsed_length_2_to_8","row_internal_shuffle","stored_win_share","80","0.503733","0.438228","0.416376","0.437282","0.457442","0.45993","0"
"Weather_icons","exact_collapsed_length_2_to_8","position_slot_shuffle","stored_win_share","80","0.503733","0.540826","0.526879","0.541314","0.55326","0.55774","1"
"Weather_icons","exact_collapsed_length_2_to_8","edge_frame_shuffle","stored_win_share","80","0.503733","0.527296","0.513937","0.527875","0.539572","0.546541","1"
