checked_date,cisi,row_id,site,type,symbol,cult,prev_before_002,x_slot,tail_after_390,provisional_parse,confidence,text
2026-05-31,H-1993,744.2,Harappa,TAB:B,None,None,004,095,095,administrative_closure_selector,wild_shot,+740-000-220-004-002-390-095+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,Bull1:I,RAN,003,072,072,singleton_or_unclassified_selector,wild_shot,+090-740-220-003-002-390-072+
2026-05-31,H-773,1665.1,Harappa,TAB:B,None,None,803,530,530-741,singleton_or_unclassified_selector,wild_shot,+740-798-803-002-390-530-741+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,235,125,125-632-032,rank_or_title_selector,candidate,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,Bull1:T,SAF,032,692,692,singleton_or_unclassified_selector,wild_shot,+226-032-002-390-692+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,142,095,095,administrative_closure_selector,wild_shot,+151-279-142-002-390-095+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,484,125,125-632-032-900-563,rank_or_title_selector,candidate,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,2737.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,384,346,346,singleton_or_unclassified_selector,wild_shot,+740-384-002-390-346+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,Bull2,SAF,236,707,707,singleton_or_unclassified_selector,wild_shot,+236-002-390-707+
2026-05-31,M-708,3134.1,Mohenjo-daro,SEAL:S,Bull1:W,S,061,140,140,singleton_or_unclassified_selector,wild_shot,+740-061-002-390-140+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,235,125,125-195,rank_or_title_selector,candidate,+740-760-235-002-390-125-195+
2026-05-31,-,3335.1,Unknown,SEAL:S,Bull1:J,RAF,032,590,590-032,formula_bridge_selector,candidate,+740-205-032-002-390-590-032+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,004,125,125-820,rank_or_title_selector,candidate,+390-004-002-390-125-820+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,Bull1,S,031,705,705,remote_or_transfer_selector,wild_shot,+157-031-002-390-705+
2026-05-31,-,4237.1,Dholavira,SEAL:S,Bull1:I,RB,388,705,705,remote_or_transfer_selector,wild_shot,+151-032-388-002-390-705+
