"cisi","site","type","material","shape","sides","horizontal_mm","vertical_mm","thickness_mm","area","aspect","block_key","short_tokens","short_texts"
"H-1189","Harappa","TAB:I","Steatite","rectangular","2","14","7.6","","106.39999999999999","1.842105263157895","TAB:I|Harappa|rectangular|Steatite|2","033;255","2:+033-255+"
"H-1138","Harappa","TAB:B","Faience","rectangular","2","21.6","11.4","","246.24000000000004","1.8947368421052633","TAB:B|Harappa|rectangular|Faience|2","034;700","2:+700-034+"
"H-1177","Harappa","TAB:I","Steatite","-","2","","","","","","TAB:I|Harappa|-|Steatite|2","033;720","2:+033-720+"
"H-1354","Harappa","TAB:I","Steatite","rectangular","3","16.3","6.4","","104.32000000000001","2.546875","TAB:I|Harappa|rectangular|Steatite|3","034;700","3:+700-034+"
"H-1312","Harappa","TAB:I","Steatite","oval","2","13","6","","78","2.1666666666666665","TAB:I|Harappa|oval|Steatite|2","032;700","2:+700-032+"
"H-1133","Harappa","TAB:B","Faience","conical","2","15.2","7.6","","115.52","2","TAB:B|Harappa|conical|Faience|2","032;700","2:+700-032+"
"H-1166","Harappa","TAB:I","Steatite","rectangular","2","10.2","6.4","","65.28","1.5937499999999998","TAB:I|Harappa|rectangular|Steatite|2","167;705","2:+167-705+"
"H-1319","Harappa","TAB:I","Steatite","notched oval","2","17.8","8.9","","158.42000000000002","2","TAB:I|Harappa|notched oval|Steatite|2","032;400;678;700","1:+700-032+|2:+400-678+"
"H-1309","Harappa","TAB:I","Steatite","rectangular-round","2","16.5","7.6","","125.39999999999999","2.1710526315789473","TAB:I|Harappa|rectangular-round|Steatite|2","032;700","2:+700-032+"
"H-1287","Harappa","TAB:I","Steatite","rectangular","2","15.2","8.9","","135.28","1.7078651685393258","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-1273","Harappa","TAB:I","Steatite","rectangular","2","11.4","7.1","","80.94","1.6056338028169015","TAB:I|Harappa|rectangular|Steatite|2","034;700","2:+700-034+"
"H-1188","Harappa","TAB:I","Steatite","rectangular","2","16.5","8","","132","2.0625","TAB:I|Harappa|rectangular|Steatite|2","033;700","1:+700-033+"
"H-1156","Harappa","TAB:B","Steatite","rectangular","2","12.2","6.9","","84.17999999999999","1.7681159420289854","TAB:B|Harappa|rectangular|Steatite|2","032;700","2:+700-032+"
"H-1102","Harappa","TAB:B","Faience","rectangular","2","21.6","10.2","","220.32","2.11764705882353","TAB:B|Harappa|rectangular|Faience|2","032;700","2:+700-032+"
"H-1330","Harappa","TAB:I","Steatite","circular","2","","","","","","TAB:I|Harappa|circular|Steatite|2","032;220;520;700","1:+700-032+|2:+520-220+"
"H-1112","Harappa","TAB:B","Faience","cylindrical","2","11.4","","","","","TAB:B|Harappa|cylindrical|Faience|2","033;700","1:+033-700+"
"H-1187","Harappa","TAB:I","Steatite","rectangular-round","2","14","7.6","","106.39999999999999","1.842105263157895","TAB:I|Harappa|rectangular-round|Steatite|2","740;924","2:+740-924+"
"H-911","Harappa","TAB:I","Steatite","rectangular","2","15.2","8.9","","135.28","1.7078651685393258","TAB:I|Harappa|rectangular|Steatite|2","033;255","2:+033-255+"
