"type","third_slot","count","exact_three_count","sites","examples"
"SEAL:R","415","2","0","Lothal;Mohenjo-daro","2052.1;2891.1"
"SEAL:S","415","8","1","Harappa;Mohenjo-daro","479.1;3413.1;2689.1;2420.1;2800.1;2841.1;2565.1;3094.1"
"SEAL:S","240","4","0","Harappa;Mohenjo-daro","199.1;2506.1;2265.1;3357.1"
"SEAL:S","002","2","0","Mohenjo-daro","3509.1;2827.1"
"SEAL:S","003","2","1","Mohenjo-daro","2516.1;2441.1"
"SEAL:S","016","2","0","Mohenjo-daro","2510.1;3140.1"
"SEAL:S","001","1","0","Mohenjo-daro","3995.1"
"SEAL:S","004","1","0","Mohenjo-daro","2603.1"
"SEAL:S","006","1","1","Kalibangan","5277.1"
"SEAL:S","031","1","0","Mohenjo-daro","2593.1"
"SEAL:S","032","1","0","Mohenjo-daro","3421.1"
"SEAL:S","034","1","1","Mohenjo-daro","3556.1"
"SEAL:S","235","1","0","Mohenjo-daro","3464.1"
"SEAL:S","368","1","0","Mohenjo-daro","2485.1"
"SEAL:S","621","1","0","Mohenjo-daro","2681.1"
"SEAL:S","742","1","0","Nausharo","5360.1"
"SEAL:S","803","1","0","Mohenjo-daro","2513.1"
"TAB:B","415","4","3","Harappa","485.2;913.1;913.2;1677.2"
"TAB:B","240","1","0","Harappa","1258.1"
"TAB:I","415","13","13","Harappa","4069.1;221.1;841.1;481.1;848.1;816.1;1341.1;1366.1"
"TAB:I","016","1","1","Harappa","1822.1"
"TAG","002","1","0","Banawali","41.1"
"TAG","415","1","0","Harappa","517.1"
