"after_220","count","start_count","exact_pair_count","exact_triplet_count","damaged_count","sites","types","examples"
"415","28","28","0","17","2","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","221.1;479.1;481.1;485.2;517.1;816.1;841.1;848.1;913.1;913.2"
"<END>","7","7","4","0","3","Harappa;Mohenjo-daro","SEAL:S;TAB:I","277.2;282.2;739.1;1351.1;1500.1;2710.1;3371.1"
"016","6","3","0","1","1","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","258.1;1153.1;1680.1;1822.1;2510.1;3140.1"
"240","5","5","0","0","0","Harappa;Mohenjo-daro","SEAL:S;TAB:B","199.1;1258.1;2265.1;2506.1;3357.1"
"002","4","3","0","0","1","Banawali;Mohenjo-daro","SEAL:S;TAG","41.1;2268.1;2827.1;3509.1"
"235","3","1","0","0","0","Mohenjo-daro","SEAL:S","2551.1;2757.1;3464.1"
"003","2","2","0","1","0","Mohenjo-daro","SEAL:S","2441.1;2516.1"
"032","2","1","0","0","1","Dholavira;Mohenjo-daro","SEAL:S;TAB:I","3421.1;4170.1"
"001","1","1","0","0","0","Mohenjo-daro","SEAL:S","3995.1"
"004","1","1","0","0","0","Mohenjo-daro","SEAL:S","2603.1"
"006","1","1","0","1","0","Kalibangan","SEAL:S","5277.1"
"031","1","1","0","0","0","Mohenjo-daro","SEAL:S","2593.1"
"034","1","1","0","1","0","Mohenjo-daro","SEAL:S","3556.1"
"060","1","0","0","0","0","Mohenjo-daro","SEAL:S","2816.1"
"368","1","1","0","0","0","Mohenjo-daro","SEAL:S","2485.1"
"621","1","1","0","0","0","Mohenjo-daro","SEAL:S","2681.1"
"742","1","1","0","0","0","Nausharo","SEAL:S","5360.1"
"803","1","1","0","0","0","Mohenjo-daro","SEAL:S","2513.1"
