date,route_rank,priority_rank,y_after_002,cisi,id,site,type,symbol,text,volume,page_index,page_file,source_url,route_status,source_grade_status,match_text,ocr_label_coords,local_page_path,local_context_crop,local_enhanced_crop,source_image_sha256,crop_sha256,enhanced_crop_sha256,image_width,image_height,crop_box_image_coords,notes,accepted_claims_increment
2026-05-29,1,3,031,M-318,2836.2,Mohenjo-daro,SEAL:S,Zebu,+390-003-002-031-575+,cisi_india,114,India_0114.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n114_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_token_boxing,M-318,502|600|600|1187,tmp/002_y_branch_gap_public_source_acquisition/pages/M_318_cisi_india_n114_1.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_318_cisi_india_n114_1_context.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_318_cisi_india_n114_1_context_enhanced_x2.jpg,38918affaaede5e01afb9b8da349a0b0821a36053a6beabbaed91cf7aff88ea8,0a703a925cf36e976a74ed49814637da935eb47513ddc5fe2cb4f1d648c87c5f,1d616d387e4bb0dc0cf2b534ca6dc59c917fd1e56c5e1ae40e72d8f2475d17aa,2378,3458,0|0|1220|1447,"OCR-label public page route and broad context crop only; not token-boxed, not physical direction, not sign identity.",0
2026-05-29,2,3,031,M-318,2836.2,Mohenjo-daro,SEAL:S,Zebu,+390-003-002-031-575+,cisi_india,114,India_0114.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n114_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_token_boxing,M-318,1711|1156|1813|1813,tmp/002_y_branch_gap_public_source_acquisition/pages/M_318_cisi_india_n114_2.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_318_cisi_india_n114_2_context.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_318_cisi_india_n114_2_context_enhanced_x2.jpg,38918affaaede5e01afb9b8da349a0b0821a36053a6beabbaed91cf7aff88ea8,9981b83e16cd13eddc081c59eae7998a6a2b022a286487eb81636fe2c322cb2b,89366214aa62d0af5f37251876d5e6d8dc591a1bca67099370927bbac873d3ee,2378,3458,1191|396|2378|2073,"OCR-label public page route and broad context crop only; not token-boxed, not physical direction, not sign identity.",0
2026-05-29,3,3,031,M-318,2836.2,Mohenjo-daro,SEAL:S,Zebu,+390-003-002-031-575+,cisi_india,114,India_0114.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n114_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_token_boxing,M-318,1096|1195|1195|1637,tmp/002_y_branch_gap_public_source_acquisition/pages/M_318_cisi_india_n114_3.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_318_cisi_india_n114_3_context.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_318_cisi_india_n114_3_context_enhanced_x2.jpg,38918affaaede5e01afb9b8da349a0b0821a36053a6beabbaed91cf7aff88ea8,1ea78d5c4873a797540e5a4156b9e738cc160503b190220c169e0c5152cd96c6,b21a54d1a304be9494dfaccbc1815a8b4267853dbac5d1cbd0bcea4df9b317ac,2378,3458,576|435|1815|1897,"OCR-label public page route and broad context crop only; not token-boxed, not physical direction, not sign identity.",0
2026-05-29,1,4,220,M-1427,3712.1,Mohenjo-daro,TAG:O,Bull1,+484-140-002-220-627-615-906-388+,cisi_pakistan,227,Pakistan_0227.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n227_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_token_boxing,M-1427,2257|2421|2421|2653,tmp/002_y_branch_gap_public_source_acquisition/pages/M_1427_cisi_pakistan_n227_1.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_1427_cisi_pakistan_n227_1_context.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_1427_cisi_pakistan_n227_1_context_enhanced_x2.jpg,c5a5c9ff57e73a0eb02c2a549c1e615c5fee73a6894f3784cae3c28c16bc5481,5feb45cc550135c9a73cd7196a9487c3258063c78de69fa1a044c3185e082353,770f95cc6dabe60a5976dda062e03cbe0e79632effc068cb10a4676977eee588,3219,4554,1737|1661|3041|2913,"OCR-label public page route and broad context crop only; not token-boxed, not physical direction, not sign identity.",0
2026-05-29,2,4,220,M-1427,3712.1,Mohenjo-daro,TAG:O,Bull1,+484-140-002-220-627-615-906-388+,cisi_pakistan,227,Pakistan_0227.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n227_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_token_boxing,M-1427,985|1146|1146|3021,tmp/002_y_branch_gap_public_source_acquisition/pages/M_1427_cisi_pakistan_n227_2.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_1427_cisi_pakistan_n227_2_context.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_1427_cisi_pakistan_n227_2_context_enhanced_x2.jpg,c5a5c9ff57e73a0eb02c2a549c1e615c5fee73a6894f3784cae3c28c16bc5481,c21bcc7062b016140db1a89642bda0f634ab509a7da11733eee937a57327a537,8b8640595f7082522790ccd6f3782ca372014d0b24aacca3d0b0ea51817a300e,3219,4554,465|386|1766|3281,"OCR-label public page route and broad context crop only; not token-boxed, not physical direction, not sign identity.",0
2026-05-29,3,4,220,M-1427,3712.1,Mohenjo-daro,TAG:O,Bull1,+484-140-002-220-627-615-906-388+,cisi_pakistan,227,Pakistan_0227.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n227_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_token_boxing,M-1427,1813|1977|1977|3070,tmp/002_y_branch_gap_public_source_acquisition/pages/M_1427_cisi_pakistan_n227_3.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_1427_cisi_pakistan_n227_3_context.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_1427_cisi_pakistan_n227_3_context_enhanced_x2.jpg,c5a5c9ff57e73a0eb02c2a549c1e615c5fee73a6894f3784cae3c28c16bc5481,71a3b7b129937346230fcf5f0ee0e9eb082c98a0814f8486d0afaf55861b0f73,f618580427e884234f02b0731cf9c46b9fe8b7cf7bac472cf8fcfe1be561a1b7,3219,4554,1293|1217|2597|3330,"OCR-label public page route and broad context crop only; not token-boxed, not physical direction, not sign identity.",0
2026-05-29,1,5,220,M-29,2557.1,Mohenjo-daro,SEAL:S,Bull1:W,+740-055-240-235-806-002-220-455-503+,cisi_india,51,India_0051.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n51_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_token_boxing,M-29,632|714|714|3286,tmp/002_y_branch_gap_public_source_acquisition/pages/M_29_cisi_india_n51_1.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_29_cisi_india_n51_1_context.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_29_cisi_india_n51_1_context_enhanced_x2.jpg,2f715f7b4d3e93b1fe01115b61fcf324fe7d6e1df3de4fbacb854bfae2d24ca0,55a2c9f0877d4558a8730285cef204a748cb726a8deb49a899bde85494c7a442,c622c7cec7f1520cfdbe3d4ff860ab7eec0dc57d8a8d642ea7899fa970c81d42,2360,3448,112|0|1334|3448,"OCR-label public page route and broad context crop only; not token-boxed, not physical direction, not sign identity.",0
2026-05-29,2,5,220,M-29,2557.1,Mohenjo-daro,SEAL:S,Bull1:W,+740-055-240-235-806-002-220-455-503+,cisi_india,51,India_0051.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n51_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_token_boxing,M-29,1789|1873|1873|3284,tmp/002_y_branch_gap_public_source_acquisition/pages/M_29_cisi_india_n51_2.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_29_cisi_india_n51_2_context.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_29_cisi_india_n51_2_context_enhanced_x2.jpg,2f715f7b4d3e93b1fe01115b61fcf324fe7d6e1df3de4fbacb854bfae2d24ca0,6b1a23b6d6b0148eead3f77afe1dd4908ed4092ed8d88f77ec87556cfef8ba26,5770c444a8813473248c42c05ae85fee7c699416d390e50b397dc677c09d4231,2360,3448,1269|1113|2360|3448,"OCR-label public page route and broad context crop only; not token-boxed, not physical direction, not sign identity.",0
2026-05-29,3,5,220,M-29,2557.1,Mohenjo-daro,SEAL:S,Bull1:W,+740-055-240-235-806-002-220-455-503+,cisi_india,482,India_0482.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n482_w2000.jpg,downloaded_and_cropped,public_cisi_late_register_or_data_route_not_source_panel,M-29,632|714|714|3286,tmp/002_y_branch_gap_public_source_acquisition/pages/M_29_cisi_india_n482_3.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_29_cisi_india_n482_3_context.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_29_cisi_india_n482_3_context_enhanced_x2.jpg,2f715f7b4d3e93b1fe01115b61fcf324fe7d6e1df3de4fbacb854bfae2d24ca0,55a2c9f0877d4558a8730285cef204a748cb726a8deb49a899bde85494c7a442,c622c7cec7f1520cfdbe3d4ff860ab7eec0dc57d8a8d642ea7899fa970c81d42,2360,3448,112|0|1334|3448,"OCR-label public page route and broad context crop only; not token-boxed, not physical direction, not sign identity.",0
2026-05-29,1,6,220,M-655,3097.1,Mohenjo-daro,SEAL:S,Bull1,+740-717-233-002-220-880-689+,cisi_pakistan,61,Pakistan_0061.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n61_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_token_boxing,■ M-655,735|867|2301|4155,tmp/002_y_branch_gap_public_source_acquisition/pages/M_655_cisi_pakistan_n61_1.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_655_cisi_pakistan_n61_1_context.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_655_cisi_pakistan_n61_1_context_enhanced_x2.jpg,11916dcd1bf8be88a337d799932e1b597c4a13faa9a0ddc5c019efab729c80ab,a14f3449d728d6290c706b4e8d4cfaf5f8247fb2e6099b7cdf3a5c14301bfbb5,8674d283c100d5fd5d54a7ffc056e1bc3025586ac786e83aaaed9034f1ed924c,3167,4571,215|107|2921|4415,"OCR-label public page route and broad context crop only; not token-boxed, not physical direction, not sign identity.",0
