"label_filter","shuffle_block","model","observed_accuracy","null_accuracy_mean","null_accuracy_p95","observed_minus_null_mean","null_iterations_ge_observed_accuracy","observed_macro_f1","null_macro_f1_mean","null_macro_f1_p95","observed_minus_null_macro_f1_mean","null_iterations_ge_observed_macro_f1"
"source_proxy_ge_0_80_removed","global","length_type_site","0.378832","0.179844","0.200896","0.198988","0","0.229566","0.074365","0.089283","0.155201","0"
"source_proxy_ge_0_80_removed","global","edge_frame","0.395604","0.194361","0.202313","0.201243","0","0.287427","0.064713","0.072051","0.222713","0"
"source_proxy_ge_0_80_removed","global","token_nb","0.533256","0.188346","0.206912","0.34491","0","0.393925","0.074673","0.083249","0.319252","0"
"source_proxy_ge_0_80_removed","length","majority","0.215153","0.215153","0.215153","0","20","0.032192","0.032192","0.032192","0","20"
"source_proxy_ge_0_80_removed","length","length","0.40428","0.40428","0.40428","0","20","0.214743","0.214743","0.214743","0","20"
"source_proxy_ge_0_80_removed","length","type","0.22325","0.208271","0.224436","0.01498","4","0.089924","0.058694","0.079703","0.03123","0"
"source_proxy_ge_0_80_removed","length","site","0.208791","0.206709","0.226027","0.002082","15","0.057516","0.044638","0.063212","0.012878","3"
"source_proxy_ge_0_80_removed","length","type_site","0.224986","0.200289","0.220388","0.024696","0","0.111363","0.065171","0.085371","0.046192","0"
"source_proxy_ge_0_80_removed","length","length_type_site","0.378832","0.35642","0.384182","0.022412","3","0.229566","0.211527","0.237282","0.018039","4"
"source_proxy_ge_0_80_removed","length","edge_frame","0.395604","0.239069","0.251243","0.156536","0","0.287427","0.113057","0.1285","0.17437","0"
"source_proxy_ge_0_80_removed","length","token_nb","0.533256","0.24063","0.256883","0.292626","0","0.393925","0.125192","0.135574","0.268733","0"
"source_proxy_ge_0_80_removed","type","majority","0.215153","0.215153","0.215153","0","20","0.032192","0.032192","0.032192","0","20"
"source_proxy_ge_0_80_removed","type","length","0.40428","0.201677","0.223395","0.202603","0","0.214743","0.054345","0.070541","0.160398","0"
"source_proxy_ge_0_80_removed","type","type","0.22325","0.22325","0.22325","0","20","0.089924","0.089924","0.089924","0","20"
"source_proxy_ge_0_80_removed","type","site","0.208791","0.214199","0.22166","-0.005408","17","0.057516","0.045782","0.064396","0.011734","2"
"source_proxy_ge_0_80_removed","type","type_site","0.224986","0.205437","0.232215","0.019549","5","0.111363","0.087663","0.106744","0.0237","0"
"source_proxy_ge_0_80_removed","type","length_type_site","0.378832","0.187912","0.207085","0.19092","0","0.229566","0.100128","0.119529","0.129438","0"
"source_proxy_ge_0_80_removed","type","edge_frame","0.395604","0.194274","0.207808","0.20133","0","0.287427","0.065788","0.075333","0.221638","0"
"source_proxy_ge_0_80_removed","type","token_nb","0.533256","0.189589","0.20428","0.343667","0","0.393925","0.082742","0.090121","0.311183","0"
"source_proxy_ge_0_80_removed","site","majority","0.215153","0.215153","0.215153","0","20","0.032192","0.032192","0.032192","0","20"
"source_proxy_ge_0_80_removed","site","length","0.40428","0.202285","0.227993","0.201995","0","0.214743","0.055295","0.068594","0.159448","0"
"source_proxy_ge_0_80_removed","site","type","0.22325","0.210266","0.222759","0.012984","1","0.089924","0.052218","0.05922","0.037705","0"
"source_proxy_ge_0_80_removed","site","site","0.208791","0.208791","0.208791","0","20","0.057516","0.057516","0.057516","0","20"
"source_proxy_ge_0_80_removed","site","type_site","0.224986","0.201099","0.228629","0.023887","2","0.111363","0.076173","0.091952","0.035189","0"
"source_proxy_ge_0_80_removed","site","length_type_site","0.378832","0.19786","0.217872","0.180972","0","0.229566","0.085328","0.102729","0.144238","0"
"source_proxy_ge_0_80_removed","site","edge_frame","0.395604","0.195142","0.204974","0.200463","0","0.287427","0.066967","0.083727","0.220459","0"
"source_proxy_ge_0_80_removed","site","token_nb","0.533256","0.190226","0.20882","0.343031","0","0.393925","0.077241","0.085675","0.316684","0"
"source_proxy_ge_0_80_removed","type_site","majority","0.215153","0.215153","0.215153","0","20","0.032192","0.032192","0.032192","0","20"
"source_proxy_ge_0_80_removed","type_site","length","0.40428","0.19598","0.228051","0.2083","0","0.214743","0.058809","0.074189","0.155934","0"
"source_proxy_ge_0_80_removed","type_site","type","0.22325","0.22325","0.22325","0","20","0.089924","0.089924","0.089924","0","20"
"source_proxy_ge_0_80_removed","type_site","site","0.208791","0.208791","0.208791","0","20","0.057516","0.057516","0.057516","0","20"
"source_proxy_ge_0_80_removed","type_site","type_site","0.224986","0.224986","0.224986","0","20","0.111363","0.111363","0.111363","0","20"
"source_proxy_ge_0_80_removed","type_site","length_type_site","0.378832","0.212898","0.24011","0.165934","0","0.229566","0.112565","0.132564","0.117001","0"
"source_proxy_ge_0_80_removed","type_site","edge_frame","0.395604","0.202689","0.211365","0.192915","0","0.287427","0.077181","0.090632","0.210245","0"
"source_proxy_ge_0_80_removed","type_site","token_nb","0.533256","0.192828","0.207577","0.340428","0","0.393925","0.087812","0.097435","0.306113","0"
"source_proxy_ge_0_80_removed","length_type_site","majority","0.215153","0.215153","0.215153","0","20","0.032192","0.032192","0.032192","0","20"
"source_proxy_ge_0_80_removed","length_type_site","length","0.40428","0.40428","0.40428","0","20","0.214743","0.214743","0.214743","0","20"
"source_proxy_ge_0_80_removed","length_type_site","type","0.22325","0.22325","0.22325","0","20","0.089924","0.089924","0.089924","0","20"
"source_proxy_ge_0_80_removed","length_type_site","site","0.208791","0.208791","0.208791","0","20","0.057516","0.057516","0.057516","0","20"
"source_proxy_ge_0_80_removed","length_type_site","type_site","0.224986","0.224986","0.224986","0","20","0.111363","0.111363","0.111363","0","20"
"source_proxy_ge_0_80_removed","length_type_site","length_type_site","0.378832","0.378832","0.378832","0","20","0.229566","0.229566","0.229566","0","20"
"source_proxy_ge_0_80_removed","length_type_site","edge_frame","0.395604","0.252776","0.265038","0.142828","0","0.287427","0.123982","0.135913","0.163444","0"
"source_proxy_ge_0_80_removed","length_type_site","token_nb","0.533256","0.256564","0.267322","0.276692","0","0.393925","0.139046","0.147076","0.254879","0"
"source_proxy_ge_0_65_removed","global","majority","0.302439","0.302439","0.302439","0","20","0.066346","0.066346","0.066346","0","20"
"source_proxy_ge_0_65_removed","global","length","0.443902","0.28752","0.316301","0.156382","0","0.303378","0.093541","0.110963","0.209837","0"
"source_proxy_ge_0_65_removed","global","type","0.309756","0.294106","0.312236","0.01565","4","0.133069","0.094351","0.114362","0.038718","0"
"source_proxy_ge_0_65_removed","global","site","0.287805","0.300081","0.307764","-0.012276","18","0.064546","0.086657","0.120493","-0.022111","19"
"source_proxy_ge_0_65_removed","global","type_site","0.278862","0.291423","0.315163","-0.012561","15","0.141101","0.109999","0.133603","0.031102","0"
"source_proxy_ge_0_65_removed","global","length_type_site","0.412195","0.274309","0.29687","0.137886","0","0.29488","0.123279","0.144727","0.1716","0"
"source_proxy_ge_0_65_removed","global","edge_frame","0.474797","0.276504","0.290407","0.198293","0","0.346487","0.102872","0.119298","0.243615","0"
"source_proxy_ge_0_65_removed","global","token_nb","0.643089","0.264228","0.276992","0.378862","0","0.52203","0.122351","0.131311","0.399679","0"
"source_proxy_ge_0_65_removed","length","majority","0.302439","0.302439","0.302439","0","20","0.066346","0.066346","0.066346","0","20"
"source_proxy_ge_0_65_removed","length","length","0.443902","0.443902","0.443902","0","20","0.303378","0.303378","0.303378","0","20"
"source_proxy_ge_0_65_removed","length","type","0.309756","0.298862","0.314146","0.010894","3","0.133069","0.096918","0.110903","0.036151","0"
"source_proxy_ge_0_65_removed","length","site","0.287805","0.288618","0.309106","-0.000813","18","0.064546","0.080837","0.088495","-0.016292","19"
"source_proxy_ge_0_65_removed","length","type_site","0.278862","0.282642","0.314512","-0.00378","14","0.141101","0.107925","0.131527","0.033177","0"
"source_proxy_ge_0_65_removed","length","length_type_site","0.412195","0.387154","0.413211","0.025041","3","0.29488","0.29383","0.342801","0.00105","7"
"source_proxy_ge_0_65_removed","length","edge_frame","0.474797","0.308699","0.331911","0.166098","0","0.346487","0.155417","0.181037","0.19107","0"
"source_proxy_ge_0_65_removed","length","token_nb","0.643089","0.300081","0.31752","0.343008","0","0.52203","0.186494","0.202889","0.335536","0"
"source_proxy_ge_0_65_removed","type","majority","0.302439","0.302439","0.302439","0","20","0.066346","0.066346","0.066346","0","20"
"source_proxy_ge_0_65_removed","type","length","0.443902","0.293211","0.314715","0.150691","0","0.303378","0.104337","0.125618","0.199042","0"
"source_proxy_ge_0_65_removed","type","type","0.309756","0.309756","0.309756","0","20","0.133069","0.133069","0.133069","0","20"
"source_proxy_ge_0_65_removed","type","site","0.287805","0.298496","0.305894","-0.010691","19","0.064546","0.078594","0.097797","-0.014048","20"
"source_proxy_ge_0_65_removed","type","type_site","0.278862","0.277276","0.305","0.001585","11","0.141101","0.1222","0.149232","0.018901","2"
"source_proxy_ge_0_65_removed","type","length_type_site","0.412195","0.27752","0.301667","0.134675","0","0.29488","0.14754","0.179355","0.14734","0"
"source_proxy_ge_0_65_removed","type","edge_frame","0.474797","0.282276","0.296911","0.19252","0","0.346487","0.110469","0.126344","0.236018","0"
"source_proxy_ge_0_65_removed","type","token_nb","0.643089","0.262276","0.27878","0.380813","0","0.52203","0.129619","0.14366","0.392412","0"
"source_proxy_ge_0_65_removed","site","majority","0.302439","0.302439","0.302439","0","20","0.066346","0.066346","0.066346","0","20"
"source_proxy_ge_0_65_removed","site","length","0.443902","0.287846","0.309106","0.156057","0","0.303378","0.086838","0.10409","0.21654","0"
"source_proxy_ge_0_65_removed","site","type","0.309756","0.289837","0.305122","0.019919","1","0.133069","0.096344","0.111474","0.036725","0"
"source_proxy_ge_0_65_removed","site","site","0.287805","0.287805","0.287805","0","20","0.064546","0.064546","0.064546","0","20"
"source_proxy_ge_0_65_removed","site","type_site","0.278862","0.264309","0.297033","0.014553","8","0.141101","0.096625","0.115345","0.044476","0"
"source_proxy_ge_0_65_removed","site","length_type_site","0.412195","0.257764","0.29122","0.154431","0","0.29488","0.123799","0.146102","0.171081","0"
"source_proxy_ge_0_65_removed","site","edge_frame","0.474797","0.278496","0.285407","0.196301","0","0.346487","0.102745","0.112151","0.243743","0"
"source_proxy_ge_0_65_removed","site","token_nb","0.643089","0.263333","0.285366","0.379756","0","0.52203","0.119068","0.12798","0.402962","0"
"source_proxy_ge_0_65_removed","type_site","majority","0.302439","0.302439","0.302439","0","20","0.066346","0.066346","0.066346","0","20"
"source_proxy_ge_0_65_removed","type_site","length","0.443902","0.283415","0.315894","0.160488","0","0.303378","0.099555","0.141007","0.203823","0"
"source_proxy_ge_0_65_removed","type_site","type","0.309756","0.309756","0.309756","0","20","0.133069","0.133069","0.133069","0","20"
"source_proxy_ge_0_65_removed","type_site","site","0.287805","0.287805","0.287805","0","20","0.064546","0.064546","0.064546","0","20"
"source_proxy_ge_0_65_removed","type_site","type_site","0.278862","0.278862","0.278862","0","20","0.141101","0.141101","0.141101","0","20"
"source_proxy_ge_0_65_removed","type_site","length_type_site","0.412195","0.275813","0.306992","0.136382","0","0.29488","0.155871","0.185341","0.139009","0"
"source_proxy_ge_0_65_removed","type_site","edge_frame","0.474797","0.278618","0.296098","0.196179","0","0.346487","0.107089","0.132054","0.239398","0"
"source_proxy_ge_0_65_removed","type_site","token_nb","0.643089","0.267642","0.285407","0.375447","0","0.52203","0.139195","0.152158","0.382836","0"
"source_proxy_ge_0_65_removed","length_type_site","majority","0.302439","0.302439","0.302439","0","20","0.066346","0.066346","0.066346","0","20"
"source_proxy_ge_0_65_removed","length_type_site","length","0.443902","0.443902","0.443902","0","20","0.303378","0.303378","0.303378","0","20"
"source_proxy_ge_0_65_removed","length_type_site","type","0.309756","0.309756","0.309756","0","20","0.133069","0.133069","0.133069","0","20"
"source_proxy_ge_0_65_removed","length_type_site","site","0.287805","0.287805","0.287805","0","20","0.064546","0.064546","0.064546","0","20"
"source_proxy_ge_0_65_removed","length_type_site","type_site","0.278862","0.278862","0.278862","0","20","0.141101","0.141101","0.141101","0","20"
"source_proxy_ge_0_65_removed","length_type_site","length_type_site","0.412195","0.412195","0.412195","0","20","0.29488","0.29488","0.29488","0","20"
"source_proxy_ge_0_65_removed","length_type_site","edge_frame","0.474797","0.324106","0.341789","0.150691","0","0.346487","0.173355","0.198323","0.173132","0"
"source_proxy_ge_0_65_removed","length_type_site","token_nb","0.643089","0.322154","0.345528","0.320935","0","0.52203","0.209834","0.226014","0.312197","0"
