"start_pair","count","third_values","sites","types","examples"
"400-740","238","000;016;017;032;033;055;061;067;100;141;152;176;177;178;220;263;335;336;337;382;384;388;390;392;405;411;440;455;463;575;585;590;630;636;637;681;690;717;760;767;776;790;798;803;817;840;861;892;898;900;904;920;923;927","Dholavira;Ganweriwala;Harappa;Kalibangan;Mohenjo-daro;Rajanpur","POT:T:g;ROD;SEAL:R;SEAL:S;TAB:B;TAB:I","156.1;204.1;215.1;254.1;259.1;260.2;265.1;266.1"
"000-000","152","000;002;004;014;032;033;034;060;061;095;122;125;139;140;171;220;233;235;315;335;368;382;388;406;416;492;530;590;617;692;700;717;740;741;803;817;861;892;904","Amri;Banawali;Baror;Bhirrana;Chandigarh;Chanhu-daro;Daimabad;Dholavira;Gola Dhoro (Bagasra);Harappa;Kalibangan;Lothal;Mohenjo-daro;Ur","IMPL;MISC;POT:T:g;POT:T:s;ROD;SEAL;SEAL:C;SEAL:L;SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I;TAG;TAG:C;TAG:L;TAG:O;TAG:P;TAG:W","43.1;49.1;55.1;78.1;84.1;178.1;186.1;192.1"
"700-033","143","137;151;368;400;711;900","Harappa;Rajanpur","POT:T:g;SEAL:CY;SEAL:R;TAB:B;TAB:I","212.1;225.2;258.2;260.1;262.2;264.2;268.1;300.2"
"700-034","115","001;400;690","Harappa","ROD;SEAL:R;TAB:B;TAB:I","198.2;222.3;263.1;265.2;274.2;382.1;388.1;393.1"
"090-740","109","000;004;032;035;055;100;101;103;176;220;222;233;235;240;255;327;362;384;400;531;543;585;615;717;760;792;900;920","Banawali;Dholavira;Gola Dhoro (Bagasra);Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo;Unknown","POT:T:g;ROD;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG;TAG:L;TAG:W","27.1;141.1;217.1;284.1;321.1;533.1;545.1;574.1"
"740-760","101","000;001;002;017;019;032;033;036;049;061;070;072;093;175;220;234;235;240;260;264;268;315;335;382;440;445;460;480;482;512;519;552;605;615;705;742;745;797;820;838;840;921","Dholavira;Farmana;Harappa;Kalibangan;Lohumjo-daro;Lothal;Mohenjo-daro;Nausharo;Rakhigarhi","POT:T:g;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG;TAG:P;TAG:PC","126.1;150.1;294.1;407.3;455.1;460.1;469.1;484.3"
"700-032","99","000;220;390;690;740","Harappa;Kalibangan;Unknown","TAB:B;TAB:I","229.2;249.2;255.1;257.2;270.2;273.2;280.2;282.1"
"740-000","95","000;031;032;035;104;175;220;231;233;240;350;390;460;740;744;828;835;892","Banawali;Chanhu-daro;Dholavira;Girsu;Harappa;Kalibangan;Lakhanjo-daro;Lothal;Mohenjo-daro;Shikarpur;Tigrana","IMPL;MISC;POT:T:g;ROD;SEAL;SEAL:C;SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I;TAG;TAG:L","46.1;121.2;142.1;163.2;169.1;207.1;208.1;209.1"
"740-100","77","000;001;031;140;175;176;220;231;233;235;240;407;415;440;456;692;717;798;806;904","Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Unknown","MISC;POT:T:s;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I;TAG;TAG:L;TAG:P","105.1;139.1;292.1;306.1;459.2;593.2;824.1;1007.1"
"740-176","61","000;001;002;031;032;033;060;220;231;233;235;240;390;585;690;741;798","Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Pirak","POT:T:g;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I","69.1;462.2;467.2;474.2;596.2;646.2;702.1;719.1"
"520-220","59","001;002;003;004;006;016;031;032;034;235;240;368;415;621;742;803","Banawali;Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","41.1;199.1;221.1;277.2;282.2;479.1;481.1;485.2"
"520-033","52","002;033;705;706","Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Unknown","SEAL;SEAL:R;SEAL:S;TAB:B;TAG;TAG:L;TAG:O","95.1;138.1;140.1;322.1;402.2;628.2;831.2;876.2"
"740-390","52","000;590","Allahdino;Chanhu-daro;Dholavira;Gonur Depe;Harappa;Kish;Lothal;Mohenjo-daro","POT:T:g;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG;TAG:P","6.1;90.1;269.1;378.1;537.1;629.1;868.1;906.2"
"740-752","50","000;001;006;017;055;070;175;440;460;463;482;615","Harappa;Kalibangan;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:C","580.2;594.2;600.1;601.1;601.2;1023.1;1106.1;1230.1"
"740-032","46","000;013;025;027;028;029;055;059;165;840;845;923","Chanhu-daro;Dholavira;Harappa;Lakhanjo-daro;Lothal;Mohenjo-daro","MISC;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG:PC","82.1;527.1;535.1;535.2;641.2;694.1;835.1;871.2"
"740-690","46","000;060;233;435;436;630;636;642","Harappa;Kalibangan;Mohenjo-daro;Rakhigarhi","POT:T:g;POT:T:s;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I","189.1;451.2;516.2;570.2;597.1;631.2;926.1;938.2"
"520-240","44","000;002;031;060;220;235;740;741;806","Harappa;Mohenjo-daro;Nausharo","SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I","437.2;515.2;743.1;1189.1;1277.1;1278.1;1279.1;1280.1"
"740-798","41","000;002;003;220;231;233;235;240;405;460;463;700;706;745;803;820","Bala-kot;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro","BNGL;POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:C;TAG","23.1;288.1;1053.1;1095.1;1099.1;1224.1;1225.1;1447.1"
"740-900","39","000;003;004;005;482;790;803;850","Harappa;Mohenjo-daro;Nuhato","POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I","180.1;246.1;918.2;1085.1;1456.1;1461.1;1489.1;1534.1"
"156-003","36","031;060;240;545;877","Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:I;TAG:L","693.3;769.3;832.3;844.3;845.3;846.3;847.3;850.3"
"033-700","35","850","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:B;TAB:I","283.1;290.1;316.2;373.1;377.1;392.1;410.1;437.1"
"000-740","33","000;055;176;227;233;242;390;585;690;798;832;861;900;904;923","Dholavira;Harappa;Lothal;Mohenjo-daro;Rappwala Ther","POT:T:g;POT:T:s;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I;TAG;TAG:L;TAG:P","325.1;398.1;471.1;498.2;586.2;632.2;696.2;723.1"
"740-923","30","000;013;033;070;220;233;235;240;406;741;803;806;838;877","Gharo Bhiro;Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:C","157.1;223.1;675.2;1092.1;2198.1;2285.1;2309.1;2385.1"
"390-003","29","000;002;003;060;368;480;491","Bhirrana;Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo","POT:T:g;SEAL:CY;SEAL:S;TAB:B;TAB:I;TAG:L;TAG:O","50.1;61.1;374.2;464.1;489.1;634.1;1113.1;1129.1"
"861-003","29","","Harappa","TAB:B;TAB:I","466.2;693.2;769.1;794.2;832.1;838.2;840.2;844.2"
"617-142","28","001;002;013;240;384;597;746","Dholavira;Harappa;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:C","137.1;278.1;1131.1;1218.1;2204.1;2252.1;2317.1;2867.1"
"527-550","25","000;002;033;231;233;235;240;740;741;798;803","Harappa;Lothal;Mohenjo-daro","POT:T:s;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG:R","210.1;1061.1;1551.1;1565.1;1984.1;2021.1;2067.1;2181.1"
"700-000","25","000","Banawali;Harappa;Mohenjo-daro","POT:T:g;TAB:B;TAB:I","48.1;275.2;486.1;650.1;676.1;684.1;685.1;759.1"
"000-220","24","000;002;032;240;241;390;415;832;838;840","Banawali;Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Rakhigarhi;Tello","POT:T:g;SEAL;SEAL:R;SEAL:S;TAB:I;TAG;TAG:O","63.1;101.1;166.1;206.1;308.2;517.2;891.2;1078.1"
"740-482","23","000;002;033;055;233;235;240;803;838","Chanhu-daro;Harappa;Lothal;Mohenjo-daro","ROD;SEAL:S;TAB:B;TAG","65.1;729.2;937.2;1019.1;1294.1;1695.1;1696.1;1697.1"
