"site","second","count","top_thirds","types","examples"
"Banawali","001","2","<END>:2","SEAL:S","26.1;5441.1"
"Banawali","220","1","002:1","TAG","41.1"
"Bhirrana","463","1","510:1","SEAL:S","5220.1"
"Chanhu-daro","033","1","705:1","SEAL:S","95.1"
"Chanhu-daro","233","1","803:1","SEAL:S","87.1"
"Chanhu-daro","235","1","803:1","SEAL:S","92.1"
"Chanhu-daro","515","1","255:1","POT:T:g","118.1"
"Dholavira","000","5","002:3;000:1;235:1","SEAL:S;TAG","4156.1;4216.1;4314.1;4314.2;4325.1"
"Dholavira","033","5","706:2;<END>:1;033:1;705:1","SEAL:R;SEAL:S;TAG","138.1;140.1;4149.1;4167.1;4210.1"
"Dholavira","460","2","<END>:1;495:1","SEAL:S","131.1;133.1"
"Dholavira","090","1","803:1","SEAL:S","4250.1"
"Dholavira","095","1","000:1","SEAL:R","4263.1"
"Dholavira","175","1","<END>:1","TAB:I","4243.1"
"Dholavira","233","1","803:1","SEAL:S","4177.1"
"Dholavira","235","1","<END>:1","SEAL:S","4232.1"
"Dholavira","742","1","861:1","SEAL:S","4220.1"
"Dholavira","920","1","320:1","SEAL:S","1316.1"
"Gola Dhoro (Bagasra)","070","1","495:1","SEAL:S","5218.1"
"Harappa","240","35","002:29;<END>:4;000:1;235:1","SEAL:R;TAB:B;TAB:I","437.2;515.2;743.1;1189.1;1277.1;1278.1"
"Harappa","220","27","415:19;<END>:5;240:2;016:1","SEAL:S;TAB:B;TAB:I;TAG","199.1;221.1;277.2;282.2;479.1;481.1"
"Harappa","033","12","706:6;705:3;033:3","SEAL:R;SEAL:S;TAB:B","322.1;402.2;628.2;831.2;876.2;1103.1"
"Harappa","233","7","240:3;<END>:1;002:1;049:1;803:1","SEAL;SEAL:S;TAB:B","297.1;920.1;1004.1;1077.1;1274.2;1479.1"
"Harappa","<END>","3","<END>:3","POT:T:g;TAB:I","651.1;873.1;4128.1"
"Harappa","031","3","<END>:2;000:1","SEAL:S;TAB:I","1155.1;1802.2;1803.2"
"Harappa","070","3","253:1;255:1;921:1","SEAL:S;TAB:B","510.2;1123.1;1147.1"
"Harappa","072","3","219:2;255:1","TAB:B;TAB:I","836.2;1257.1;1704.2"
"Harappa","400","3","<END>:1;000:1;350:1","SEAL:S;TAB:I","253.1;1501.1;4530.1"
"Harappa","460","2","031:1;495:1","POT:T:g;SEAL:S","716.1;1142.1"
"Harappa","000","1","255:1","TAB:B","290.2"
"Harappa","001","1","090:1","MISC","164.1"
"Harappa","095","1","033:1","SEAL:R","1575.1"
