checked_date,object,row_id,site,type,condition,complete,head,x,next1,tail,lane,terminal,text
2026-05-31,H-55,1114.1,Harappa,SEAL:S,Fair,Y,861,125,<END>,<END>,terminal_125,true,+390-004-002-861-125+
2026-05-31,H-74,1132.1,Harappa,SEAL:S,Fair,Y,610,125,032,032,032_lane,false,+002-610-125-032+
2026-05-31,M-1692,2226.1,Mohenjo-daro,SEAL:S,Good,Y,190,125,632,632-032,632_032_lane,false,+390-600-617-002-190-125-632-032+
2026-05-31,M-1665,2473.1,Mohenjo-daro,SEAL:S,Fair,Y,610,125,032,032,032_lane,false,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,Good,Y,390,125,632,632-032,632_032_lane,false,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,2569.1,Mohenjo-daro,SEAL:S,Good,Y,405,125,820,820,820_lane,false,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,Good,Y,390,125,632,632-032-900-563,632_032_lane,false,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-354,2850.1,Mohenjo-daro,SEAL:R,Fine,Y,906,125,<END>,<END>,terminal_125,true,+740-729-407-845-236-002-906-125+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,Poor,Y,390,125,195,195,195_singleton_lane,false,+740-760-235-002-390-125-195+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,Poor,Y,390,125,820,820,820_lane,false,+390-004-002-390-125-820+
2026-05-31,M-2055,4030.1,Mohenjo-daro,TAB:C,Good,Y,407,125,590,590-831,590_singleton_lane,false,+002-407-125-590-831+
