"second","count","pct_of_start520","exact_pair_count","exact_triplet_count","top_thirds","sites","types","examples"
"220","59","0.2243","4","21","415:28;<END>:7;240:5;002:3;016:3;003:2;621:1;368:1","Banawali;Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","41.1;199.1;221.1;277.2;282.2;479.1;481.1;485.2"
"033","52","0.1977","0","9","705:29;706:16;033:5;<END>:1;002:1","Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Unknown","SEAL;SEAL:R;SEAL:S;TAB:B;TAG;TAG:L;TAG:O","95.1;138.1;140.1;322.1;402.2;628.2;831.2;876.2"
"240","44","0.1673","7","3","002:29;<END>:7;000:1;031:1;060:1;220:1;235:1;740:1","Harappa;Mohenjo-daro;Nausharo","SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I","437.2;515.2;743.1;1189.1;1277.1;1278.1;1279.1;1280.1"
"233","19","0.0722","3","1","240:6;803:4;<END>:3;002:1;031:1;049:1;060:1;220:1","Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro","SEAL;SEAL:S;TAB:B;TAG","87.1;297.1;920.1;1004.1;1077.1;1274.2;1479.1;1594.1"
"070","13","0.0494","0","0","255:3;921:2;002:1;033:1;219:1;220:1;233:1;253:1","Gola Dhoro (Bagasra);Harappa;Lothal;Mohenjo-daro;Unknown","SEAL:R;SEAL:S;TAB:B;TAG:L","510.2;1123.1;1147.1;2046.1;2080.1;2342.1;2403.1;3118.1"
"000","9","0.0342","0","2","002:3;000:2;235:2;<END>:1;255:1","Dholavira;Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B;TAG","290.2;2110.2;2376.1;3518.1;4156.1;4216.1;4314.1;4314.2"
"235","8","0.0304","4","1","<END>:4;803:2;220:1;806:1","Chanhu-daro;Dholavira;Harappa;Mohenjo-daro;Tarkhanewala-dera","POT:T:g;SEAL;SEAL:S;TAB:B;TAG","92.1;613.1;2969.1;2970.1;3122.1;3219.1;4232.1;5456.1"
"400","6","0.0228","0","1","350:3;<END>:1;000:1;354:1","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:I","253.1;1501.1;2451.1;3156.1;3616.1;4530.1"
"460","6","0.0228","2","2","495:3;<END>:2;031:1","Dholavira;Harappa;Mohenjo-daro","POT:T:g;SEAL:S","131.1;133.1;716.1;1142.1;3222.1;3331.1"
"<END>","5","0.019","0","0","<END>:5","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:I","651.1;873.1;3125.1;3426.1;4128.1"
"031","5","0.019","4","0","<END>:4;000:1","Harappa;Kanmer;Rahman-deri","SEAL;SEAL:S;TAB:I","1155.1;1802.2;1803.2;5269.1;5421.1"
"072","5","0.019","0","3","219:2;233:1;255:1;921:1","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","836.2;1257.1;1704.2;2389.1;2512.1"
"231","5","0.019","1","1","002:3;<END>:1;235:1","Kalibangan;Mohenjo-daro","SEAL:S","1899.1;1967.1;2782.1;2821.1;3480.1"
"175","4","0.0152","2","0","<END>:3;002:1","Dholavira;Harappa;Mohenjo-daro","SEAL:S;TAB:I","1481.1;2319.1;2707.1;4243.1"
"001","3","0.0114","2","0","<END>:2;090:1","Banawali;Harappa","MISC;SEAL:S","26.1;164.1;5441.1"
"515","3","0.0114","0","1","240:1;255:1;921:1","Chanhu-daro;Mohenjo-daro","POT:T:g;SEAL:S","118.1;3193.1;3816.1"
"920","3","0.0114","0","0","320:3","Dholavira;Mohenjo-daro","SEAL:S","1316.1;3186.1;3311.1"
"095","2","0.0076","0","0","000:1;033:1","Dholavira;Harappa","SEAL:R","1575.1;4263.1"
"382","2","0.0076","0","1","032:1;878:1","Mohenjo-daro","SEAL:S","2236.1;3230.1"
"013","1","0.0038","1","0","<END>:1","Miri Qalat","SEAL:S","5444.1"
"073","1","0.0038","1","0","<END>:1","Rakhigarhi","SEAL:S","4153.1"
"075","1","0.0038","0","0","235:1","Mohenjo-daro","SEAL:S","3847.1"
"090","1","0.0038","0","0","803:1","Dholavira","SEAL:S","4250.1"
"219","1","0.0038","0","0","002:1","Harappa","SEAL:S","1141.1"
"315","1","0.0038","0","0","002:1","Lothal","SEAL:S","2012.1"
"442","1","0.0038","0","0","425:1","Mohenjo-daro","SEAL:S","2315.1"
"463","1","0.0038","0","1","510:1","Bhirrana","SEAL:S","5220.1"
"552","1","0.0038","0","0","060:1","Mohenjo-daro","SEAL:S","2653.1"
"742","1","0.0038","0","1","861:1","Dholavira","SEAL:S","4220.1"
