"prev","total_occurrences","known_next_count","end_after_220_count","damaged_or_open_count","dominant_next","dominant_next_count","dominant_next_share","next_415_count","p_next_415","top2_next","top2_share","distinct_next_count","next_entropy_bits","site_count","sites","types","examples"
"520","67","60","7","8","415","28","0.4667","28","0.4667","415:28;016:6","0.5667","17","2.9322","7","Banawali;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","41.1;199.1;221.1;258.1;277.2;282.2;479.1;481.1;485.2;517.1"
"740","52","48","4","5","055","11","0.2292","6","0.125","055:11;003:10","0.4375","14","3.1881","7","Banawali;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo","SEAL;SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I;TAG;TAG:L;TAG:W","27.1;237.1;576.1;1127.1;1234.1;1324.2;1409.1;1480.1;1584.1;1640.1"
"<START>","63","44","19","28","000","10","0.2273","5","0.1136","000:10;032:6","0.3636","18","3.679","14","Allahdino;Banawali;Chandigarh;Chanhu-daro;Dholavira;Farmana;Guddal A;Harappa;Kalibangan;Kanmer;Karzakan;Lothal;Mohenjo-daro;Pabumath","MISC;POT:M;POT:T:g;POT:T:p;POT:T:s;SEAL;SEAL:C;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","4.1;28.1;53.1;115.1;119.1;151.1;173.1;175.1;187.2;250.1"
"000","43","32","11","25","000","6","0.1875","5","0.1562","000:6;002:5","0.3438","15","3.4772","9","Banawali;Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Rakhigarhi;Tello","MDLN;POT:T:g;ROD;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG;TAG:O","63.1;101.1;166.1;186.1;206.1;223.1;308.2;517.2;744.2;891.2"
"176","18","15","3","5","235","7","0.4667","4","0.2667","235:7;415:4","0.7333","4","1.7465","4","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:C","83.1;467.2;729.1;937.1;1695.2;1696.2;1697.2;1954.1;2550.1;2772.1"
"240","15","13","2","1","032","10","0.7692","1","0.0769","032:10;002:1","0.8462","4","1.1451","4","Chanhu-daro;Farmana;Harappa;Mohenjo-daro","SEAL;SEAL:R;SEAL:S;TAB:I","62.1;149.1;217.1;920.1;1522.1;2277.1;2417.1;2577.1;2660.1;2763.1"
"002","11","11","0","1","455","5","0.4545","0","0","455:5;065:3","0.7273","5","1.9717","3","Harappa;Kalibangan;Mohenjo-daro","SEAL:S;TAB:B;TAG:O","388.2;1139.1;1293.1;1537.1;1899.1;2557.1;2574.1;2667.1;2674.1;3097.1"
"318","11","11","0","0","415","11","1","11","1","415:11","1","1","0","1","Harappa","TAB:B","291.1;1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1;1754.1;1755.1"
"233","10","9","1","2","032","4","0.4444","1","0.1111","032:4;002:2","0.6667","5","2.0588","3","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAG","1416.1;1544.1;1738.2;2041.1;2077.1;2129.2;2357.3;2871.1;3073.1;3305.1"
"590","10","9","1","2","003","5","0.5556","0","0","003:5;032:1","0.6667","5","1.88","6","Dholavira;Harappa;Kish;Lothal;Mohenjo-daro;Rupar","POT:T:g;SEAL:R;SEAL:S;TAB:C;TAG","174.1;1175.1;1971.1;2122.1;2621.1;2855.1;2888.1;3066.2;3871.1;4229.1"
"235","8","6","2","2","032","5","0.8333","0","0","032:5;031:1","1","2","0.65","4","Dholavira;Harappa;Mohenjo-daro;Tarkhanewala-dera","SEAL:R;SEAL:S;TAB:B;TAG","1019.2;1020.1;1170.1;3085.1;3147.1;3847.1;4224.1;5456.1"
"705","7","6","1","1","415","3","0.5","3","0.5","415:3;000:1","0.6667","4","1.7925","2","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","653.1;947.2;2178.1;2422.1;2644.1;2861.1;3529.1"
"001","6","5","1","2","455","2","0.4","1","0.2","455:2;033:1","0.6","4","1.9219","3","Kalibangan;Mohenjo-daro;Unknown","SEAL;SEAL:C;SEAL:R;SEAL:S","1882.1;2377.1;2697.1;3405.1;3634.1;5224.1"
"760","5","5","0","0","416","2","0.4","0","0","416:2;003:1","0.6","4","1.9219","2","Harappa;Mohenjo-daro","SEAL:S;TAB:I","303.1;1793.1;2639.1;3157.1;4056.1"
