checked_date,object,row_id,site,type,symbol,cult,prev_before_632,next_after_632,terminal_after_632,text
2026-05-31,C-32,114.1,Chanhu-daro,SEAL:C,Bull1:W,RAN,390,<END>,true,+375-400-390-632+
2026-05-31,H-381,1397.1,Harappa,IMPL,None,None,930,920,false,+930-632-920+
2026-05-31,H-385,1399.1,Harappa,SEAL:S,Bull1:W,SAF,595,354,false,+000-220-002-595-632-354-850+
2026-05-31,H-415,1418.1,Harappa,SEAL:S,Bull1,-,617,000,false,+000/000-617-632-000+
2026-05-31,H-645,1560.1,Harappa,SEAL:R,None,None,595,740,false,+595-632-740-550+
2026-05-31,H-647,1562.1,Harappa,SEAL:R,None,None,368,706,false,]368-632-706-140+
2026-05-31,H-809,1698.1,Harappa,TAB:B,None,None,595,<END>,true,+000-595-632+
2026-05-31,K-1,1877.1,Kalibangan,SEAL:S,Bull1:W,SAN,504,032,false,+031-504-632-032+
2026-05-31,K-14,1889.1,Kalibangan,SEAL:S,Bull1:S,RBF,703,<END>,true,+000-031-003/000-220-741-703-632+
2026-05-31,Kd-8,1973.1,Kot-Diji,POT:T:g,None,None,000,<END>,true,]000-552-920-000-632+
2026-05-31,M-1692,2226.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,125,032,false,+390-600-617-002-190-125-632-032+
2026-05-31,M-1765,2255.1,Mohenjo-daro,SEAL:S,Bull1:W,SAF,140,705,false,+215-031-480-140-632-705-002-093-033+
2026-05-31,M-1767,2405.1,Mohenjo-daro,SEAL:S,Bull1:W,SAF,892,032,false,+790/400-296-350-892-632-032+
2026-05-31,M-8,2537.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,140,<END>,true,+706-140-632+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,125,032,false,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,125,032,false,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-266,2789.1,Mohenjo-daro,SEAL:S,Buff,Trough,269,<END>,true,+565-740-798-235-233-013-269-632+
2026-05-31,M-359,2855.1,Mohenjo-daro,SEAL:R,None,None,705,<END>,true,+740-405-590-220-235-803-002-388-385-705-632+
2026-05-31,M-845,3257.1,Mohenjo-daro,SEAL:S,Bull1:W,S,460,<END>,true,+000-061-002-460-632+
2026-05-31,M-864,3275.1,Mohenjo-daro,SEAL:S,Bull1,SAN,705,<END>,true,]000-705-632+
2026-05-31,M-1188,3539.1,Mohenjo-daro,SEAL:S,None,None,125,032,false,]000/000-125-632-032/240-002-244-632+
2026-05-31,M-1188,3539.1,Mohenjo-daro,SEAL:S,None,None,244,<END>,true,]000/000-125-632-032/240-002-244-632+
2026-05-31,M-1221,3557.1,Mohenjo-daro,SEAL:S,Bull1,SAN,300,<END>,true,+090-740-100-320-001-300-632+
2026-05-31,M-1341,3646.1,Mohenjo-daro,SEAL:R,None,None,342,<END>,true,+016-002-595-342-632+
2026-05-31,Nd-1,3858.1,Nindowari-damb,SEAL:S,Bull1:S,HBF,220,066,false,+817-220-632-066-740-760-026-060-257+
2026-05-31,H-1035,3920.1,Harappa,SEAL:S,Bull1:L,SAN,000,<END>,true,+400-435-000-632+
2026-05-31,M-1873,3999.1,Mohenjo-daro,SEAL:S,-,-,<START>,<END>,true,]632[
2026-05-31,H-1518,4142.1,Harappa,IMPL,-,-,930,<END>,true,+930-632[
2026-05-31,-:4176.1,4176.1,Dholavira,SEAL:S,Bull1:W,SAF,148,031,false,+148-632-031-741-000+
2026-05-31,-:5218.1,5218.1,Gola Dhoro (Bagasra),SEAL:S,Bull1:I,SAN,368,032,false,+520-070-495-240-060-297-368-632-032+
2026-05-31,Ns-62,5363.1,Nausharo,TAG,-,-,000,<END>,true,]000-632+
