target,qualified_governor_count,qualified_governor_cells,qualified_terminal_cells,qualified_governors,total_incoming_exact_cells,incoming_branches
820,2,98,93,002:75/70 060:23/23,152,29
817,1,108,105,002:108/105,143,13
920,1,52,51,060:52/51,101,29
550,1,24,23,060:24/23,75,17
002,0,0,0,,520,132
740,0,0,0,,334,82
032,0,0,0,,265,72
220,0,0,0,,247,74
240,0,0,0,,204,63
033,0,0,0,,179,63
060,0,0,0,,173,60
861,0,0,0,,164,16
235,0,0,0,,157,42
741,0,0,0,,154,73
003,0,0,0,,146,43
031,0,0,0,,145,76
233,0,0,0,,135,52
001,0,0,0,,131,69
590,0,0,0,,120,29
705,0,0,0,,114,28
176,0,0,0,,105,18
390,0,0,0,,103,26
798,0,0,0,,99,23
415,0,0,0,,95,16
803,0,0,0,,95,39
100,0,0,0,,88,8
806,0,0,0,,83,24
760,0,0,0,,79,6
840,0,0,0,,75,22
255,0,0,0,,73,15
140,0,0,0,,70,45
004,0,0,0,,66,21
900,0,0,0,,66,24
231,0,0,0,,63,27
061,0,0,0,,60,18
017,0,0,0,,59,16
368,0,0,0,,58,30
706,0,0,0,,57,23
690,0,0,0,,52,17
142,0,0,0,,50,13
692,0,0,0,,49,16
125,0,0,0,,44,26
575,0,0,0,,44,23
700,0,0,0,,42,22
005,0,0,0,,41,17
435,0,0,0,,40,12
055,0,0,0,,39,20
520,0,0,0,,38,17
388,0,0,0,,37,14
503,0,0,0,,37,17
892,0,0,0,,37,22
350,0,0,0,,36,20
585,0,0,0,,36,7
717,0,0,0,,36,21
904,0,0,0,,35,11
013,0,0,0,,33,19
016,0,0,0,,32,9
400,0,0,0,,32,13
615,0,0,0,,32,19
440,0,0,0,,31,18
090,0,0,0,,29,20
070,0,0,0,,28,12
460,0,0,0,,28,11
405,0,0,0,,27,7
455,0,0,0,,27,13
923,0,0,0,,27,3
416,0,0,0,,26,10
742,0,0,0,,26,21
850,0,0,0,,24,16
482,0,0,0,,23,4
407,0,0,0,,22,11
617,0,0,0,,22,18
790,0,0,0,,22,15
034,0,0,0,,21,6
495,0,0,0,,21,12
595,0,0,0,,21,10
171,0,0,0,,19,4
384,0,0,0,,19,5
480,0,0,0,,19,8
630,0,0,0,,19,11
752,0,0,0,,19,3
845,0,0,0,,19,5
413,0,0,0,,18,10
095,0,0,0,,17,7
175,0,0,0,,17,13
555,0,0,0,,17,2
745,0,0,0,,17,14
632,0,0,0,,16,13
832,0,0,0,,16,12
463,0,0,0,,15,8
500,0,0,0,,15,7
831,0,0,0,,15,10
877,0,0,0,,15,7
158,0,0,0,,14,3
165,0,0,0,,14,11
335,0,0,0,,14,4
097,0,0,0,,13,4
104,0,0,0,,13,11
035,0,0,0,,12,6
072,0,0,0,,12,9
222,0,0,0,,12,1
236,0,0,0,,12,8
297,0,0,0,,12,7
320,0,0,0,,12,4
382,0,0,0,,12,8
491,0,0,0,,12,8
645,0,0,0,,12,11
921,0,0,0,,12,7
091,0,0,0,,11,8
156,0,0,0,,11,6
226,0,0,0,,11,7
374,0,0,0,,11,7
636,0,0,0,,11,2
065,0,0,0,,10,4
151,0,0,0,,10,6
510,0,0,0,,10,4
530,0,0,0,,10,10
540,0,0,0,,10,5
821,0,0,0,,10,8
838,0,0,0,,10,8
853,0,0,0,,10,10
190,0,0,0,,9,7
243,0,0,0,,9,5
337,0,0,0,,9,3
484,0,0,0,,9,4
