"dataset","contrast","outcome","target_yes","target_total","target_rate","non240_yes","non240_total","non240_rate","odds_ratio"
"strict_occurrence","target_240_220_032_vs_non240_a_220_032","next1_is_002","5","9","0.5556","19","48","0.3958","1.9079"
"strict_occurrence","target_240_220_032_vs_non240_a_220_032","next1_002_and_y_in_861_820_817","4","9","0.4444","12","48","0.25","2.4"
"strict_occurrence","target_240_220_032_vs_non240_a_220_032","next1_002_and_y_is_terminal","3","9","0.3333","13","48","0.2708","1.3462"
"strict_occurrence","target_240_220_032_vs_non240_a_220_032","next1_002_y_core_and_terminal","3","9","0.3333","11","48","0.2292","1.6818"
"strict_occurrence","target_240_220_032_vs_non240_a_220_032","y861_after_002","2","9","0.2222","5","48","0.1042","2.4571"
"strict_occurrence","target_240_220_032_vs_non240_a_220_032","y820_after_002","1","9","0.1111","4","48","0.0833","1.375"
"strict_occurrence","target_240_220_032_vs_non240_a_220_032","y817_after_002","1","9","0.1111","3","48","0.0625","1.875"
"frame_text_dedup_unit","target_240_220_032_vs_non240_a_220_032","next1_is_002","5","9","0.5556","19","46","0.413","1.7763"
"frame_text_dedup_unit","target_240_220_032_vs_non240_a_220_032","next1_002_and_y_in_861_820_817","4","9","0.4444","12","46","0.2609","2.2667"
"frame_text_dedup_unit","target_240_220_032_vs_non240_a_220_032","next1_002_and_y_is_terminal","3","9","0.3333","13","46","0.2826","1.2692"
"frame_text_dedup_unit","target_240_220_032_vs_non240_a_220_032","next1_002_y_core_and_terminal","3","9","0.3333","11","46","0.2391","1.5909"
"frame_text_dedup_unit","target_240_220_032_vs_non240_a_220_032","y861_after_002","2","9","0.2222","5","46","0.1087","2.3429"
"frame_text_dedup_unit","target_240_220_032_vs_non240_a_220_032","y820_after_002","1","9","0.1111","4","46","0.087","1.3125"
"frame_text_dedup_unit","target_240_220_032_vs_non240_a_220_032","y817_after_002","1","9","0.1111","3","46","0.0652","1.7917"
