"scope","leaveout_mode","block_policy","model","iterations","observed_top1","null_top1_mean","null_top1_p95","p_ge_observed_top1","observed_top2","null_top2_mean","null_top2_p95","p_ge_observed_top2","observed_034_top1","null_034_top1_mean","null_034_top1_p95","p_ge_observed_034_top1","observed_top1_gain_vs_frequency","null_top1_gain_mean","null_top1_gain_p95","p_ge_observed_top1_gain","block_count","singleton_blocks","mutable_blocks","moved_labels_mean"
"excluding_h2218_h2239","sequence_family","global","dimensions","200","0.435045","0.355438","0.422961","0.02","0.806647","0.680332","0.73716","0","0.677419","0.18129","0.354839","0","0.024169","-0.055438","0.012085","0.02","1","0","1","217.17"
"excluding_h2218_h2239","sequence_family","global","frequency","200","0.410876","0.410876","0.410876","1","0.719033","0.719033","0.719033","1","0","0","0","1","0","0","0","1","1","0","1","217.17"
"excluding_h2218_h2239","sequence_family","global","object","200","0.371601","0.40281","0.422961","0.97","0.752266","0.69994","0.749245","0.05","0","0.006398","0.053763","1","-0.039275","-0.008066","0.012085","0.97","1","0","1","217.17"
"excluding_h2218_h2239","sequence_family","global","side_context","200","0.371601","0.366012","0.422961","0.575","0.758308","0.691148","0.752266","0.035","0.505376","0.148226","0.44086","0.03","-0.039275","-0.044864","0.012085","0.575","1","0","1","217.17"
"excluding_h2218_h2239","sequence_family","type_sides_order","dimensions","200","0.435045","0.358172","0.41994","0.015","0.806647","0.692221","0.758308","0","0.677419","0.195484","0.397849","0","0.024169","-0.052704","0.009063","0.015","7","1","6","211.615"
"excluding_h2218_h2239","sequence_family","type_sides_order","frequency","200","0.410876","0.410876","0.410876","1","0.719033","0.719033","0.719033","1","0","0","0","1","0","0","0","1","7","1","6","211.615"
"excluding_h2218_h2239","sequence_family","type_sides_order","object","200","0.371601","0.410876","0.410876","1","0.752266","0.752266","0.752266","1","0","0","0","1","-0.039275","0","0","1","7","1","6","211.615"
"excluding_h2218_h2239","sequence_family","type_sides_order","side_context","200","0.371601","0.355544","0.416918","0.485","0.758308","0.687447","0.743202","0.02","0.505376","0.144516","0.408602","0.015","-0.039275","-0.055332","0.006042","0.485","7","1","6","211.615"
"excluding_h2218_h2239","sequence_family","type_sides_order_context","dimensions","200","0.435045","0.362946","0.416918","0.02","0.806647","0.702644","0.755287","0","0.677419","0.23","0.451613","0","0.024169","-0.047931","0.006042","0.02","18","3","15","204.1"
"excluding_h2218_h2239","sequence_family","type_sides_order_context","frequency","200","0.410876","0.410876","0.410876","1","0.719033","0.719033","0.719033","1","0","0","0","1","0","0","0","1","18","3","15","204.1"
"excluding_h2218_h2239","sequence_family","type_sides_order_context","object","200","0.371601","0.410876","0.410876","1","0.752266","0.752266","0.752266","1","0","0","0","1","-0.039275","0","0","1","18","3","15","204.1"
"excluding_h2218_h2239","sequence_family","type_sides_order_context","side_context","200","0.371601","0.37784","0.413897","0.745","0.758308","0.74142","0.779456","0.355","0.505376","0.193226","0.204301","0.015","-0.039275","-0.033036","0.003021","0.745","18","3","15","204.1"
"excluding_h2218_h2239","sequence_family","type_sides_order_context_relation","dimensions","200","0.435045","0.371541","0.425982","0.04","0.806647","0.721239","0.779456","0","0.677419","0.334409","0.548387","0","0.024169","-0.039335","0.015106","0.04","25","6","19","194.68"
"excluding_h2218_h2239","sequence_family","type_sides_order_context_relation","frequency","200","0.410876","0.410876","0.410876","1","0.719033","0.719033","0.719033","1","0","0","0","1","0","0","0","1","25","6","19","194.68"
"excluding_h2218_h2239","sequence_family","type_sides_order_context_relation","object","200","0.371601","0.410876","0.410876","1","0.752266","0.752266","0.752266","1","0","0","0","1","-0.039275","0","0","1","25","6","19","194.68"
"excluding_h2218_h2239","sequence_family","type_sides_order_context_relation","side_context","200","0.371601","0.384079","0.416918","0.825","0.758308","0.76645","0.779456","0.9","0.505376","0.515968","0.55914","0.76","-0.039275","-0.026798","0.006042","0.825","25","6","19","194.68"
