pair,left,right,n,dominant_count,opposite_count,dominant_share,binomial_p
002|740,740,002,333,332,1,0.996996996996997,1.9087889434414012e-98
240|740,740,240,151,147,4,0.9735099337748344,7.491876535969406e-39
002|861,002,861,154,149,5,0.9675324675324676,3.0615557725762403e-38
220|740,740,220,147,143,4,0.9727891156462585,1.0762804016783286e-37
235|740,740,235,112,112,0,1,1.9259299443872444e-34
002|817,002,817,129,124,5,0.9612403100775194,4.211232991490693e-31
032|740,740,032,147,137,10,0.9319727891156463,5.7343719733273904e-30
176|740,740,176,96,96,0,1,1.2621774483536262e-29
000|740,740,000,254,212,42,0.8346456692913385,8.487342257368877e-29
740|760,740,760,98,97,1,0.9897959183673469,3.1238891846752085e-28
060|740,740,060,102,100,2,0.9803921568627451,1.0361687990078004e-27
740|861,740,861,89,89,0,1,1.6155871338926397e-27
740|741,740,741,92,91,1,0.9891304347826086,1.878120043150177e-26
100|740,740,100,92,91,1,0.9891304347826086,1.878120043150177e-26
740|798,740,798,84,84,0,1,5.169878828456422e-26
400|740,400,740,140,127,13,0.9071428571428571,5.72448125114425e-25
002|240,240,002,80,80,0,1,8.271806125530277e-25
002|820,002,820,100,96,4,0.96,3.224844447881817e-24
233|740,740,233,90,88,2,0.9777777777777777,3.308722450212119e-24
590|740,740,590,92,89,3,0.967391304347826,2.6224816202520903e-23
033|705,033,705,79,78,1,0.9873417721518988,1.3234889800848433e-22
740|820,740,820,84,80,4,0.9523809523809523,1.0486354740972622e-19
740|920,740,920,62,62,0,1,2.1684043449710048e-19
090|740,090,740,100,91,9,0.91,1.6610244897268066e-18
060|920,060,920,69,67,2,0.9710144927536232,4.092863201132813e-18
