"sign","edge_rank","total_count","initial_count","terminal_count","single_sign_count","edge_count","edge_share_of_total"
"740","1","1238","858","3","0","861","0.695477"
"700","2","434","347","66","0","413","0.951613"
"400","3","346","317","0","0","317","0.916185"
"520","4","229","194","1","0","195","0.851528"
"033","5","330","33","149","0","182","0.551515"
"032","6","357","32","137","0","169","0.473389"
"861","7","190","35","111","0","146","0.768421"
"817","8","152","1","139","0","140","0.921053"
"820","9","147","11","114","0","125","0.85034"
"034","10","125","14","107","0","121","0.968"
"003","11","182","2","111","0","113","0.620879"
"390","12","183","92","7","0","99","0.540984"
"090","13","114","91","8","0","99","0.868421"
"235","14","175","1","77","0","78","0.445714"
"156","15","86","67","3","0","70","0.813953"
"240","16","260","0","66","0","66","0.253846"
"407","17","115","65","0","0","65","0.565217"
"176","18","156","1","62","0","63","0.403846"
"031","19","138","13","50","0","63","0.456522"
"920","20","106","3","59","0","62","0.584906"
"151","21","62","54","0","0","54","0.870968"
"806","22","107","1","50","0","51","0.476636"
"220","23","278","15","34","0","49","0.176259"
"617","24","58","37","12","0","49","0.844828"
"415","25","119","4","44","0","48","0.403361"
"503","26","63","1","46","0","47","0.746032"
"692","27","48","2","41","0","43","0.895833"
"527","28","47","41","2","0","43","0.914894"
"590","29","147","7","35","0","42","0.285714"
"803","30","99","0","40","0","40","0.40404"
"705","31","136","2","36","0","38","0.279412"
"550","32","79","4","31","0","35","0.443038"
"255","33","89","2","32","0","34","0.382022"
"140","34","68","3","31","0","34","0.5"
"233","35","138","1","31","0","32","0.231884"
"405","36","89","31","1","0","32","0.359551"
"413","37","33","3","27","0","30","0.909091"
"368","38","82","25","4","0","29","0.353659"
"501","39","30","0","29","0","29","0.966667"
"002","40","541","21","6","0","27","0.049908"
"798","41","100","0","27","0","27","0.27"
"690","42","84","19","8","0","27","0.321429"
"706","43","64","4","22","0","26","0.40625"
"154","44","34","26","0","0","26","0.764706"
"004","45","61","0","25","0","25","0.409836"
"892","46","57","17","8","0","25","0.438596"
"416","47","31","5","20","0","25","0.806452"
"840","48","77","2","19","0","21","0.272727"
"005","49","38","0","21","0","21","0.552632"
"824","50","21","16","5","0","21","1"
"061","51","72","0","20","0","20","0.277778"
"231","52","63","0","20","0","20","0.31746"
"125","53","44","4","15","0","19","0.431818"
"016","54","35","2","17","0","19","0.542857"
"226","55","22","14","4","0","18","0.818182"
"741","56","148","2","15","0","17","0.114865"
"575","57","49","1","16","0","17","0.346939"
"142","58","52","2","14","0","16","0.307692"
"001","59","122","10","5","0","15","0.122951"
"017","60","59","0","15","0","15","0.254237"
"790","61","25","7","8","0","15","0.6"
"679","62","15","11","4","0","15","1"
"900","63","73","1","13","0","14","0.191781"
"717","64","34","1","13","0","14","0.411765"
"104","65","17","2","12","0","14","0.823529"
"013","66","29","0","13","0","13","0.448276"
"621","67","15","10","3","0","13","0.866667"
"526","68","13","13","0","0","13","1"
"158","69","28","11","1","0","12","0.428571"
"491","70","14","0","12","0","12","0.857143"
"091","71","12","0","12","0","12","1"
"167","72","12","12","0","0","12","1"
"440","73","33","1","10","0","11","0.333333"
"630","74","21","0","11","0","11","0.52381"
"171","75","19","0","11","0","11","0.578947"
"055","76","41","0","10","0","10","0.243902"
"850","77","34","3","7","0","10","0.294118"
"455","78","28","4","6","0","10","0.357143"
"595","79","28","8","2","0","10","0.357143"
"832","80","19","4","6","0","10","0.526316"
"165","81","16","4","6","0","10","0.625"
"161","82","10","10","0","0","10","1"
"905","83","10","0","10","0","10","1"
"388","84","32","1","8","0","9","0.28125"
"236","85","20","6","3","0","9","0.45"
"241","86","11","9","0","0","9","0.818182"
"565","87","11","8","1","0","9","0.818182"
"137","88","10","3","6","0","9","0.9"
"868","89","9","9","0","0","9","1"
"615","90","54","2","6","0","8","0.148148"
"175","91","15","0","8","0","8","0.533333"
"831","92","13","0","8","0","8","0.615385"
"347","93","9","0","8","0","8","0.888889"
"853","94","9","0","8","0","8","0.888889"
"317","95","8","5","3","0","8","1"
"545","96","8","0","8","0","8","1"
"745","97","18","0","7","0","7","0.388889"
"495","98","15","0","7","0","7","0.466667"
"605","99","11","0","7","0","7","0.636364"
"215","100","8","4","3","0","7","0.875"
"904","101","38","2","4","0","6","0.157895"
"035","102","15","4","2","0","6","0.4"
"097","103","15","0","6","0","6","0.4"
"632","104","13","0","6","0","6","0.461538"
"877","105","13","0","6","0","6","0.461538"
"072","106","12","1","5","0","6","0.5"
"821","107","9","1","5","0","6","0.666667"
"468","108","8","0","6","0","6","0.75"
"323","109","7","1","5","0","6","0.857143"
"592","110","7","4","2","0","6","0.857143"
"556","111","6","1","5","0","6","1"
"350","112","27","1","4","0","5","0.185185"
"095","113","19","1","4","0","5","0.263158"
"838","114","13","0","5","0","5","0.384615"
"921","115","12","1","4","0","5","0.416667"
"382","116","11","1","4","0","5","0.454545"
"484","117","10","1","4","0","5","0.5"
"190","118","9","1","4","0","5","0.555556"
"360","119","8","1","4","0","5","0.625"
"519","120","8","0","5","0","5","0.625"
"015","121","7","1","4","0","5","0.714286"
"260","122","7","0","5","0","5","0.714286"
"703","123","7","0","5","0","5","0.714286"
"880","124","7","0","5","0","5","0.714286"
"263","125","6","0","5","0","5","0.833333"
"465","126","6","0","5","0","5","0.833333"
"027","127","5","0","5","0","5","1"
"098","128","5","0","5","0","5","1"
"201","129","5","0","5","0","5","1"
"234","130","5","2","3","0","5","1"
"370","131","5","1","4","0","5","1"
"408","132","5","3","2","0","5","1"
"426","133","5","4","1","0","5","1"
"851","134","5","3","2","0","5","1"
"100","135","89","1","3","0","4","0.044944"
"435","136","50","3","1","0","4","0.08"
"742","137","23","1","3","0","4","0.173913"
"384","138","20","0","4","0","4","0.2"
"480","139","12","1","3","0","4","0.333333"
"406","140","8","3","1","0","4","0.5"
"504","141","8","4","0","0","4","0.5"
"792","142","8","0","4","0","4","0.5"
"232","143","7","3","1","0","4","0.571429"
"250","144","7","2","2","0","4","0.571429"
"298","145","7","4","0","0","4","0.571429"
"371","146","7","0","4","0","4","0.571429"
"467","147","7","0","4","0","4","0.571429"
"036","148","6","1","3","0","4","0.666667"
"219","149","6","0","4","0","4","0.666667"
"422","150","6","4","0","0","4","0.666667"
"064","151","5","3","1","0","4","0.8"
"401","152","5","4","0","0","4","0.8"
"804","153","5","3","1","0","4","0.8"
"028","154","4","0","4","0","4","1"
"409","155","4","4","0","0","4","1"
"423","156","4","4","0","0","4","1"
"698","157","4","0","4","0","4","1"
"712","158","4","4","0","0","4","1"
"736","159","4","0","4","0","4","1"
"799","160","4","0","4","0","4","1"
"808","161","4","1","3","0","4","1"
"910","162","4","0","4","0","4","1"
"923","163","35","0","3","0","3","0.085714"
"482","164","29","1","2","0","3","0.103448"
"070","165","26","0","3","0","3","0.115385"
"320","166","13","0","3","0","3","0.230769"
