prev_before_002,rows,branches,objects,damaged_or_open_rows,multi_branch,examples
003,1,072,H-68,0,no,H-68:072-><END>:no
004,2,095 125,H-1993 Sktd-1,0,yes,H-1993:095-><END>:no; Sktd-1:125->820:no
031,1,705,M-1825,0,no,M-1825:705-><END>:no
032,2,590 692,M-70 -,0,yes,M-70:692-><END>:no; -:590->032:no
061,1,140,M-708,0,no,M-708:140-><END>:no
142,1,095,M-71,0,no,M-71:095-><END>:no
235,2,125,M-38 M-735,0,no,M-38:125->632 032:no; M-735:125->195:no
236,1,707,M-232,0,no,M-232:707-><END>:no
384,1,346,M-213,0,no,M-213:346-><END>:no
388,1,705,-,0,no,-:705-><END>:no
484,1,125,M-119,0,no,M-119:125->632 032 900 563:no
803,1,530,H-773,0,no,H-773:530->741:no
