cisi,side,text,branch_tail,token_or_window,role,x1,y1,x2,y2
M-49,A,+527-550-240-220-032-002-300-350-032-190+,002-300-350-032-190,032,032,455,110,530,310
M-49,A,+527-550-240-220-032-002-300-350-032-190+,002-300-350-032-190,002,002,385,115,455,305
M-49,A,+527-550-240-220-032-002-300-350-032-190+,002-300-350-032-190,300,Y,285,105,390,310
M-49,A,+527-550-240-220-032-002-300-350-032-190+,002-300-350-032-190,350-032-190 tail window,tail_window,95,85,285,325
M-240,A/a,+520-240-220-032-002-861-603+,002-861-603,032-002-861-603 order window,tail_window,335,5,755,255
M-240,A/a,+520-240-220-032-002-861-603+,002-861-603,post-861 tail side,tail,635,20,755,250
M-240,A/a,+520-240-220-032-002-861-603+,002-861-603,861 plus 002/032 transition side,Y,360,20,635,250
M-91,A/a,+740-100-798-220-032-002-861-255-416+,002-861-255-416,032-002-861-255-416 order window,tail_window,105,5,555,280
M-91,A/a,+740-100-798-220-032-002-861-255-416+,002-861-255-416,post-861 tail side,tail,105,20,300,270
M-91,A/a,+740-100-798-220-032-002-861-255-416+,002-861-255-416,861 plus 002/032 transition side,Y,300,20,555,270
M-70,A/a,+226-032-002-390-692+,002-390-692,032-002-390-692 order window,tail_window,90,5,650,250
M-70,A/a,+226-032-002-390-692+,002-390-692,post-390 tail side,tail,90,15,250,245
M-70,A/a,+226-032-002-390-692+,002-390-692,390 plus 002/032 transition side,Y,250,15,560,245
