"scope","type","side_index","companion","rows","first_700","last_700","first_share","sample_cisi","interpretation"
"all_target_rows","ALL","ALL","004","2","2","0","1","H-1916;H-1917","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","014","1","1","0","1","H-1946","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","031","1","1","0","1","H-1919","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","032","102","85","17","0.833333","H-209;H-212;H-213;H-214;H-217;H-230;H-232;H-251;H-315;H-321;H-322;H-327","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","033","137","113","24","0.824818","H-206;H-211;H-216;H-218;H-219;H-229;H-231;H-233;H-237;H-239;H-245;H-248","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","034","114","101","13","0.885965","H-215;H-285;H-297;H-307;H-308;H-312;H-313;H-314;H-317;H-319;H-320;H-324","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","036","2","2","0","1","H-801;H-1881","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","090","1","1","0","1","H-346","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","125","3","3","0","1","H-894;H-1178;H-1946","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","126","1","1","0","1","H-298","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","745","3","3","0","1","H-743;H-745;H-1793","orientation_summary_only_no_reading"
"all_target_rows","ALL","ALL","824","1","0","1","0","H-2189","orientation_summary_only_no_reading"
"type_TAB:B","TAB:B","ALL","004","2","2","0","1","H-1916;H-1917","orientation_summary_only_no_reading"
"type_TAB:B","TAB:B","ALL","014","1","1","0","1","H-1946","orientation_summary_only_no_reading"
"type_TAB:B","TAB:B","ALL","031","1","1","0","1","H-1919","orientation_summary_only_no_reading"
"type_TAB:B","TAB:B","ALL","032","63","48","15","0.761905","H-209;H-212;H-213;H-214;H-217;H-230;H-232;H-251;H-697;H-717;H-766;H-768","orientation_summary_only_no_reading"
"type_TAB:B","TAB:B","ALL","033","73","53","20","0.726027","H-206;H-211;H-216;H-218;H-219;H-229;H-231;H-233;H-237;H-239;H-245;H-248","orientation_summary_only_no_reading"
"type_TAB:B","TAB:B","ALL","034","42","37","5","0.880952","H-215;H-771;H-780;H-785;H-788;H-819;H-823;H-853;H-1120;H-1138;H-1817;H-1823","orientation_summary_only_no_reading"
"type_TAB:B","TAB:B","ALL","036","2","2","0","1","H-801;H-1881","orientation_summary_only_no_reading"
"type_TAB:B","TAB:B","ALL","125","1","1","0","1","H-1946","orientation_summary_only_no_reading"
"type_TAB:B","TAB:B","ALL","745","3","3","0","1","H-743;H-745;H-1793","orientation_summary_only_no_reading"
"type_TAB:B","TAB:B","ALL","824","1","0","1","0","H-2189","orientation_summary_only_no_reading"
"type_TAB:I","TAB:I","ALL","032","39","37","2","0.948718","H-315;H-321;H-322;H-327;H-340;H-341;H-359;H-361;H-362;H-926;H-930;H-943","orientation_summary_only_no_reading"
"type_TAB:I","TAB:I","ALL","033","64","60","4","0.9375","H-296;H-303;H-306;H-309;H-311;H-316;H-323;H-326;H-329;H-343;H-344;H-345","orientation_summary_only_no_reading"
"type_TAB:I","TAB:I","ALL","034","72","64","8","0.888889","H-285;H-297;H-307;H-308;H-312;H-313;H-314;H-317;H-319;H-320;H-324;H-350","orientation_summary_only_no_reading"
"type_TAB:I","TAB:I","ALL","090","1","1","0","1","H-346","orientation_summary_only_no_reading"
"type_TAB:I","TAB:I","ALL","125","2","2","0","1","H-894;H-1178","orientation_summary_only_no_reading"
"type_TAB:I","TAB:I","ALL","126","1","1","0","1","H-298","orientation_summary_only_no_reading"
"type_TAB:B_side_1","TAB:B","1","004","2","2","0","1","H-1916;H-1917","orientation_summary_only_no_reading"
"type_TAB:B_side_1","TAB:B","1","014","1","1","0","1","H-1946","orientation_summary_only_no_reading"
"type_TAB:B_side_1","TAB:B","1","031","1","1","0","1","H-1919","orientation_summary_only_no_reading"
"type_TAB:B_side_1","TAB:B","1","032","30","21","9","0.7","H-777;H-778;H-779;H-815;H-839;H-852;H-969;H-1146;H-1771;H-1772;H-1773;H-1797","orientation_summary_only_no_reading"
"type_TAB:B_side_1","TAB:B","1","033","33","20","13","0.606061","H-249;H-781;H-795;H-821;H-822;H-827;H-1112;H-1822;H-1839;H-1842;H-1851;H-1858","orientation_summary_only_no_reading"
"type_TAB:B_side_1","TAB:B","1","034","32","28","4","0.875","H-215;H-785;H-823;H-1817;H-1823;H-1824;H-1825;H-1830;H-1831;H-1832;H-1844;H-1845","orientation_summary_only_no_reading"
"type_TAB:B_side_1","TAB:B","1","036","2","2","0","1","H-801;H-1881","orientation_summary_only_no_reading"
"type_TAB:B_side_1","TAB:B","1","745","1","1","0","1","H-743","orientation_summary_only_no_reading"
"type_TAB:B_side_1","TAB:B","1","824","1","0","1","0","H-2189","orientation_summary_only_no_reading"
"type_TAB:B_side_2","TAB:B","2","032","33","27","6","0.818182","H-209;H-212;H-213;H-214;H-217;H-230;H-232;H-251;H-697;H-717;H-766;H-768","orientation_summary_only_no_reading"
"type_TAB:B_side_2","TAB:B","2","033","40","33","7","0.825","H-206;H-211;H-216;H-218;H-219;H-229;H-231;H-233;H-237;H-239;H-245;H-248","orientation_summary_only_no_reading"
"type_TAB:B_side_2","TAB:B","2","034","10","9","1","0.9","H-771;H-780;H-788;H-819;H-853;H-1120;H-1138;H-1828;H-1829;H-1907","orientation_summary_only_no_reading"
"type_TAB:B_side_2","TAB:B","2","745","2","2","0","1","H-745;H-1793","orientation_summary_only_no_reading"
"type_TAB:B_side_3","TAB:B","3","125","1","1","0","1","H-1946","orientation_summary_only_no_reading"
"type_TAB:I_side_1","TAB:I","1","032","14","14","0","1","H-968;H-1281;H-1319;H-1330;H-2129;H-2139;H-2173;H-2183;H-2184;H-2185;H-2186;H-2201","orientation_summary_only_no_reading"
"type_TAB:I_side_1","TAB:I","1","033","18","18","0","1","H-356;H-891;H-927;H-928;H-929;H-934;H-949;H-979;H-1188;H-2115;H-2125;H-2131","orientation_summary_only_no_reading"
