"prev","next","frame","companion_class","row_count","dedup_text_units","sites","types","examples"
"<START>","000","<START>-220-000","longer_other","2","2","Harappa","TAB:B","824.2;925.2"
"<START>","000","<START>-220-000","no_companion_side","2","2","Chandigarh;Chanhu-daro","MISC;POT:T:g","53.1;115.1"
"<START>","000","<START>-220-000","one_sign_or_contains_110","1","1","Allahdino","POT:T:g","4.1"
"<START>","000","<START>-220-000","two_sign_other","1","1","Harappa","TAB:B","595.1"
"<START>","014","<START>-220-014","no_companion_side","1","1","Banawali","SEAL:S","28.1"
"<START>","016","<START>-220-016","no_companion_side","2","1","Harappa","POT:T:s;SEAL:S","173.1;318.1"
"<START>","017","<START>-220-017","no_companion_side","1","1","Harappa","SEAL:S","1070.1"
"<START>","032","<START>-220-032","no_companion_side","1","1","Harappa","POT:T:s","3950.1"
"<START>","032","<START>-220-032","one_sign_or_contains_110","1","1","Farmana","SEAL:S","151.1"
"<START>","033","<START>-220-033","no_companion_side","2","1","Harappa","POT:T:s","1017.1;1032.1"
"<START>","063","<START>-220-063","no_companion_side","2","2","Chanhu-daro;Harappa","MISC;SEAL:S","119.1;1065.1"
"<START>","065","<START>-220-065","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2678.1"
"<START>","233","<START>-220-233","no_companion_side","1","1","Harappa","TAB:I","416.1"
"<START>","455","<START>-220-455","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2195.1"
"<START>","455","<START>-220-455","one_sign_or_contains_110","1","1","Karzakan","SEAL:C","5227.1"
"<START>","500","<START>-220-500","no_companion_side","1","1","Harappa","SEAL:S","293.1"
"<START>","700","<START>-220-700","longer_other","3","1","Harappa","TAB:I","1324.1;1793.2;4056.2"
"<START>","786","<START>-220-786","no_companion_side","1","1","Mohenjo-daro","SEAL:R","2910.1"
"000","000","000-220-000","no_companion_side","2","2","Harappa","POT:T:g;TAB:B","166.1;3964.1"
"000","000","000-220-000","700_033_branch","1","1","Harappa","TAB:B","1686.2"
"000","002","000-220-002","no_companion_side","2","2","Harappa","SEAL:S","223.1;1399.1"
"000","003","000-220-003","no_companion_side","1","1","Kalibangan","SEAL:S","1883.1"
