"corpus","scope","holdout_policy","control","metric","iterations","observed","null_mean","null_p05","null_median","null_p95","null_max","null_ge_observed_share"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","stored_win_share","200","0.94772","0.491518","0.464405","0.492214","0.513904","0.53782","0"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","row_internal_shuffle","stored_win_share","200","0.94772","0.495381","0.473304","0.495551","0.518354","0.536707","0"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","position_slot_shuffle","stored_win_share","200","0.94772","0.920128","0.912125","0.920467","0.927697","0.931591","0"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","edge_frame_shuffle","stored_win_share","200","0.94772","0.90663","0.899333","0.906563","0.913237","0.918242","0"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","register_position_shuffle","stored_win_share","200","0.94772","0.929302","0.922136","0.929366","0.936596","0.939933","0"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","register_edge_interior_shuffle","stored_win_share","200","0.94772","0.914046","0.908231","0.914349","0.920467","0.923804","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_out","global_token_shuffle","stored_win_share","200","0.92881","0.487603","0.461068","0.48832","0.508899","0.530033","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_out","row_internal_shuffle","stored_win_share","200","0.92881","0.491023","0.467186","0.490545","0.514461","0.52614","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_out","position_slot_shuffle","stored_win_share","200","0.92881","0.912625","0.904338","0.912125","0.921023","0.924917","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_out","edge_frame_shuffle","stored_win_share","200","0.92881","0.887333","0.878754","0.887653","0.894883","0.898776","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_out","register_position_shuffle","stored_win_share","200","0.92881","0.906777","0.898776","0.906563","0.914349","0.921023","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_out","register_edge_interior_shuffle","stored_win_share","200","0.92881","0.892244","0.885428","0.892659","0.898776","0.902113","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_out","global_token_shuffle","stored_win_share","200","0.942158","0.489942","0.46218","0.490545","0.512792","0.532258","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_out","row_internal_shuffle","stored_win_share","200","0.942158","0.493092","0.470523","0.492214","0.518354","0.546162","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_out","position_slot_shuffle","stored_win_share","200","0.942158","0.917136","0.908231","0.91713","0.926585","0.929366","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_out","edge_frame_shuffle","stored_win_share","200","0.942158","0.897458","0.889878","0.897664","0.904894","0.909344","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_out","register_position_shuffle","stored_win_share","200","0.942158","0.921504","0.913793","0.92158","0.92881","0.933815","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_out","register_edge_interior_shuffle","stored_win_share","200","0.942158","0.903988","0.897108","0.904338","0.910456","0.913237","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_symbol_out","global_token_shuffle","stored_win_share","200","0.943826","0.492027","0.468298","0.491101","0.520022","0.537264","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_symbol_out","row_internal_shuffle","stored_win_share","200","0.943826","0.494705","0.471635","0.494438","0.516685","0.543382","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_symbol_out","position_slot_shuffle","stored_win_share","200","0.943826","0.918868","0.911012","0.918799","0.926585","0.931034","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_symbol_out","edge_frame_shuffle","stored_win_share","200","0.943826","0.904052","0.895996","0.904338","0.911012","0.914349","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_symbol_out","register_position_shuffle","stored_win_share","200","0.943826","0.926816","0.920467","0.926585","0.933259","0.939377","0"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_symbol_out","register_edge_interior_shuffle","stored_win_share","200","0.943826","0.91151","0.904338","0.911568","0.918242","0.92158","0"
"Indus_Lipi","exact_sequence_collapsed","leave_register_edge_out","global_token_shuffle","stored_win_share","200","0.947164","0.49","0.466073","0.489989","0.515017","0.537264","0"
"Indus_Lipi","exact_sequence_collapsed","leave_register_edge_out","row_internal_shuffle","stored_win_share","200","0.947164","0.49228","0.465517","0.491657","0.518354","0.538932","0"
"Indus_Lipi","exact_sequence_collapsed","leave_register_edge_out","position_slot_shuffle","stored_win_share","200","0.947164","0.920609","0.913237","0.921023","0.927697","0.936596","0"
"Indus_Lipi","exact_sequence_collapsed","leave_register_edge_out","edge_frame_shuffle","stored_win_share","200","0.947164","0.905893","0.897664","0.906007","0.912681","0.917686","0"
"Indus_Lipi","exact_sequence_collapsed","leave_register_edge_out","register_position_shuffle","stored_win_share","200","0.947164","0.929319","0.923248","0.929366","0.934928","0.939933","0"
"Indus_Lipi","exact_sequence_collapsed","leave_register_edge_out","register_edge_interior_shuffle","stored_win_share","200","0.947164","0.913732","0.905451","0.913237","0.920467","0.926029","0"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_one_row_out","global_token_shuffle","stored_win_share","200","0.841096","0.458123","0.40274","0.454795","0.515068","0.558904","0"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_one_row_out","row_internal_shuffle","stored_win_share","200","0.841096","0.457959","0.39726","0.457534","0.506849","0.534247","0"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_one_row_out","position_slot_shuffle","stored_win_share","200","0.841096","0.766247","0.739726","0.764384","0.789041","0.8","0"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_one_row_out","edge_frame_shuffle","stored_win_share","200","0.841096","0.773055","0.750685","0.772603","0.794521","0.816438","0"
