"policy","stratum_kind","stratum_value","model","evaluated_rows","label_count","labels","majority_label","majority_share","accuracy","macro_f1","macro_recall"
"exact_sequence_collapsed","type_site","SEAL:S@Harappa","token_nb","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.386076","0.321023","0.331777"
"exact_sequence_collapsed","type_site","SEAL:S@Mohenjo-daro","majority","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.209985","0.038565","0.111111"
"exact_sequence_collapsed","type_site","SEAL:S@Mohenjo-daro","length","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.474302","0.296337","0.326411"
"exact_sequence_collapsed","type_site","SEAL:S@Mohenjo-daro","edge_frame","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.518355","0.406568","0.398256"
"exact_sequence_collapsed","type_site","SEAL:S@Mohenjo-daro","token_nb","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.456681","0.348565","0.347265"
"exact_sequence_collapsed","type_site","TAB:B@Harappa","majority","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.324873","0.098084","0.2"
"exact_sequence_collapsed","type_site","TAB:B@Harappa","length","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.294416","0.226614","0.309311"
"exact_sequence_collapsed","type_site","TAB:B@Harappa","edge_frame","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.329949","0.312034","0.33557"
"exact_sequence_collapsed","type_site","TAB:B@Harappa","token_nb","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.527919","0.558656","0.565251"
"exact_sequence_collapsed","type_site","TAB:I@Harappa","majority","118","3","MT;SC;SS","SC","0.432203","0.432203","0.201183","0.333333"
"exact_sequence_collapsed","type_site","TAB:I@Harappa","length","118","3","MT;SC;SS","SC","0.432203","0.423729","0.315102","0.341006"
"exact_sequence_collapsed","type_site","TAB:I@Harappa","edge_frame","118","3","MT;SC;SS","SC","0.432203","0.542373","0.544695","0.535217"
"exact_sequence_collapsed","type_site","TAB:I@Harappa","token_nb","118","3","MT;SC;SS","SC","0.432203","0.720339","0.720004","0.733366"
"edge_frame_collapsed","overall","all","majority","1354","11","IM;IT;LC;LP;MS;MT;PN;SC;SP;SS;VX","SC","0.252585","0.252585","0.036664","0.090909"
"edge_frame_collapsed","overall","all","length","1354","11","IM;IT;LC;LP;MS;MT;PN;SC;SP;SS;VX","SC","0.252585","0.414328","0.18716","0.239163"
"edge_frame_collapsed","overall","all","edge_frame","1354","11","IM;IT;LC;LP;MS;MT;PN;SC;SP;SS;VX","SC","0.252585","0.414328","0.18716","0.239163"
"edge_frame_collapsed","overall","all","token_nb","1354","11","IM;IT;LC;LP;MS;MT;PN;SC;SP;SS;VX","SC","0.252585","0.496307","0.354094","0.346324"
"edge_frame_collapsed","site","Harappa","majority","485","9","IM;IT;LC;LP;MT;SC;SP;SS;VX","SC","0.307216","0.307216","0.052226","0.111111"
"edge_frame_collapsed","site","Harappa","length","485","9","IM;IT;LC;LP;MT;SC;SP;SS;VX","SC","0.307216","0.391753","0.227315","0.270063"
"edge_frame_collapsed","site","Harappa","edge_frame","485","9","IM;IT;LC;LP;MT;SC;SP;SS;VX","SC","0.307216","0.391753","0.227315","0.270063"
"edge_frame_collapsed","site","Harappa","token_nb","485","9","IM;IT;LC;LP;MT;SC;SP;SS;VX","SC","0.307216","0.538144","0.363823","0.369709"
"edge_frame_collapsed","site","Mohenjo-daro","majority","705","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.219858","0.219858","0.040052","0.111111"
"edge_frame_collapsed","site","Mohenjo-daro","length","705","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.219858","0.438298","0.277594","0.326497"
"edge_frame_collapsed","site","Mohenjo-daro","edge_frame","705","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.219858","0.438298","0.277594","0.326497"
"edge_frame_collapsed","site","Mohenjo-daro","token_nb","705","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.219858","0.46383","0.400444","0.389502"
"edge_frame_collapsed","type","SEAL:R","majority","136","7","IT;LC;LP;MS;MT;SC;SS","SC","0.242647","0.242647","0.05579","0.142857"
"edge_frame_collapsed","type","SEAL:R","length","136","7","IT;LC;LP;MS;MT;SC;SS","SC","0.242647","0.397059","0.284445","0.31016"
"edge_frame_collapsed","type","SEAL:R","edge_frame","136","7","IT;LC;LP;MS;MT;SC;SS","SC","0.242647","0.397059","0.284445","0.31016"
"edge_frame_collapsed","type","SEAL:R","token_nb","136","7","IT;LC;LP;MS;MT;SC;SS","SC","0.242647","0.367647","0.318604","0.342564"
"edge_frame_collapsed","type","SEAL:S","majority","739","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.212449","0.212449","0.038938","0.111111"
"edge_frame_collapsed","type","SEAL:S","length","739","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.212449","0.479026","0.292863","0.326974"
"edge_frame_collapsed","type","SEAL:S","edge_frame","739","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.212449","0.479026","0.292863","0.326974"
"edge_frame_collapsed","type","SEAL:S","token_nb","739","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.212449","0.434371","0.303767","0.311891"
"edge_frame_collapsed","type","TAB:B","majority","188","5","IT;LC;MT;SC;SS","SS","0.345745","0.345745","0.102767","0.2"
"edge_frame_collapsed","type","TAB:B","length","188","5","IT;LC;MT;SC;SS","SS","0.345745","0.351064","0.268513","0.367345"
"edge_frame_collapsed","type","TAB:B","edge_frame","188","5","IT;LC;MT;SC;SS","SS","0.345745","0.351064","0.268513","0.367345"
"edge_frame_collapsed","type","TAB:B","token_nb","188","5","IT;LC;MT;SC;SS","SS","0.345745","0.515957","0.482891","0.45738"
"edge_frame_collapsed","type","TAB:I","majority","87","2","SC;SS","SC","0.551724","0.551724","0.355556","0.5"
"edge_frame_collapsed","type","TAB:I","length","87","2","SC;SS","SC","0.551724","0.37931","0.275","0.34375"
"edge_frame_collapsed","type","TAB:I","edge_frame","87","2","SC;SS","SC","0.551724","0.37931","0.275","0.34375"
"edge_frame_collapsed","type","TAB:I","token_nb","87","2","SC;SS","SC","0.551724","0.804598","0.804494","0.815705"
"edge_frame_collapsed","type_site","SEAL:R@Mohenjo-daro","majority","43","3","LC;LP;SC","SC","0.395349","0.395349","0.188889","0.333333"
"edge_frame_collapsed","type_site","SEAL:R@Mohenjo-daro","length","43","3","LC;LP;SC","SC","0.395349","0.813953","0.793612","0.793651"
"edge_frame_collapsed","type_site","SEAL:R@Mohenjo-daro","edge_frame","43","3","LC;LP;SC","SC","0.395349","0.813953","0.793612","0.793651"
"edge_frame_collapsed","type_site","SEAL:R@Mohenjo-daro","token_nb","43","3","LC;LP;SC","SC","0.395349","0.465116","0.418324","0.458917"
"edge_frame_collapsed","type_site","SEAL:S@Harappa","majority","135","6","IT;LP;MT;SC;SP;SS","SS","0.251852","0.251852","0.067061","0.166667"
"edge_frame_collapsed","type_site","SEAL:S@Harappa","length","135","6","IT;LP;MT;SC;SP;SS","SS","0.251852","0.42963","0.341619","0.369506"
"edge_frame_collapsed","type_site","SEAL:S@Harappa","edge_frame","135","6","IT;LP;MT;SC;SP;SS","SS","0.251852","0.42963","0.341619","0.369506"
"edge_frame_collapsed","type_site","SEAL:S@Harappa","token_nb","135","6","IT;LP;MT;SC;SP;SS","SS","0.251852","0.488889","0.370817","0.39333"
"edge_frame_collapsed","type_site","SEAL:S@Mohenjo-daro","majority","507","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.209073","0.209073","0.038427","0.111111"
"edge_frame_collapsed","type_site","SEAL:S@Mohenjo-daro","length","507","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.209073","0.489152","0.300514","0.335504"
"edge_frame_collapsed","type_site","SEAL:S@Mohenjo-daro","edge_frame","507","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.209073","0.489152","0.300514","0.335504"
"edge_frame_collapsed","type_site","SEAL:S@Mohenjo-daro","token_nb","507","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.209073","0.424063","0.299339","0.305169"
"edge_frame_collapsed","type_site","TAB:B@Harappa","majority","152","4","IT;MT;SC;SS","SS","0.361842","0","0","0"
"edge_frame_collapsed","type_site","TAB:B@Harappa","length","152","4","IT;MT;SC;SS","SS","0.361842","0.315789","0.162968","0.218771"
"edge_frame_collapsed","type_site","TAB:B@Harappa","edge_frame","152","4","IT;MT;SC;SS","SS","0.361842","0.315789","0.162968","0.218771"
"edge_frame_collapsed","type_site","TAB:B@Harappa","token_nb","152","4","IT;MT;SC;SS","SS","0.361842","0.532895","0.527317","0.518083"
"edge_frame_collapsed","type_site","TAB:I@Harappa","majority","83","2","SC;SS","SC","0.542169","0.542169","0.351562","0.5"
"edge_frame_collapsed","type_site","TAB:I@Harappa","length","83","2","SC;SS","SC","0.542169","0.361446","0.265487","0.333333"
"edge_frame_collapsed","type_site","TAB:I@Harappa","edge_frame","83","2","SC;SS","SC","0.542169","0.361446","0.265487","0.333333"
"edge_frame_collapsed","type_site","TAB:I@Harappa","token_nb","83","2","SC;SS","SC","0.542169","0.807229","0.806977","0.816082"
"one_edit_family_collapsed","overall","all","majority","1082","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.2061","0.2061","0.031069","0.090909"
"one_edit_family_collapsed","overall","all","length","1082","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.2061","0.442699","0.189435","0.236176"
"one_edit_family_collapsed","overall","all","edge_frame","1082","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.2061","0.463956","0.250288","0.267791"
"one_edit_family_collapsed","overall","all","token_nb","1082","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.2061","0.42329","0.31109","0.293887"
"one_edit_family_collapsed","site","Harappa","majority","308","8","IT;LC;LP;MS;MT;SC;SP;SS","SC","0.282468","0.282468","0.055063","0.125"
"one_edit_family_collapsed","site","Harappa","length","308","8","IT;LC;LP;MS;MT;SC;SP;SS","SC","0.282468","0.467532","0.230189","0.313007"
"one_edit_family_collapsed","site","Harappa","edge_frame","308","8","IT;LC;LP;MS;MT;SC;SP;SS","SC","0.282468","0.470779","0.280195","0.32376"
"one_edit_family_collapsed","site","Harappa","token_nb","308","8","IT;LC;LP;MS;MT;SC;SP;SS","SC","0.282468","0.409091","0.331867","0.339479"
"one_edit_family_collapsed","site","Mohenjo-daro","majority","638","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.205329","0.205329","0.037856","0.111111"
"one_edit_family_collapsed","site","Mohenjo-daro","length","638","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.205329","0.459248","0.24081","0.296629"
"one_edit_family_collapsed","site","Mohenjo-daro","edge_frame","638","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.205329","0.476489","0.30078","0.325812"
"one_edit_family_collapsed","site","Mohenjo-daro","token_nb","638","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.205329","0.46395","0.360168","0.344242"
"one_edit_family_collapsed","type","SEAL:R","majority","122","6","IT;LC;LP;MS;MT;SC","LP","0.254098","0.254098","0.067538","0.166667"
"one_edit_family_collapsed","type","SEAL:R","length","122","6","IT;LC;LP;MS;MT;SC","LP","0.254098","0.442623","0.282926","0.332702"
"one_edit_family_collapsed","type","SEAL:R","edge_frame","122","6","IT;LC;LP;MS;MT;SC","LP","0.254098","0.459016","0.307593","0.356512"
"one_edit_family_collapsed","type","SEAL:R","token_nb","122","6","IT;LC;LP;MS;MT;SC","LP","0.254098","0.508197","0.473691","0.474607"
"one_edit_family_collapsed","type","SEAL:S","majority","674","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","LP","0.216617","0.216617","0.039566","0.111111"
"one_edit_family_collapsed","type","SEAL:S","length","674","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","LP","0.216617","0.5","0.25011","0.289911"
"one_edit_family_collapsed","type","SEAL:S","edge_frame","674","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","LP","0.216617","0.510386","0.307583","0.32049"
"one_edit_family_collapsed","type","SEAL:S","token_nb","674","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","LP","0.216617","0.437685","0.253662","0.265507"
"one_edit_family_collapsed","type","TAB:B","majority","91","4","IT;MT;SC;SS","SC","0.384615","0.384615","0.138889","0.25"
"one_edit_family_collapsed","type","TAB:B","length","91","4","IT;MT;SC;SS","SC","0.384615","0.384615","0.150862","0.25"
"one_edit_family_collapsed","type","TAB:B","edge_frame","91","4","IT;MT;SC;SS","SC","0.384615","0.43956","0.275354","0.325776"
"one_edit_family_collapsed","type","TAB:B","token_nb","91","4","IT;MT;SC;SS","SC","0.384615","0.538462","0.537922","0.562602"
"one_edit_family_collapsed","type_site","SEAL:R@Mohenjo-daro","majority","70","5","IT;LC;LP;MT;SC","LP","0.242857","0.242857","0.078161","0.2"
"one_edit_family_collapsed","type_site","SEAL:R@Mohenjo-daro","length","70","5","IT;LC;LP;MT;SC","LP","0.242857","0.4","0.307273","0.364835"
"one_edit_family_collapsed","type_site","SEAL:R@Mohenjo-daro","edge_frame","70","5","IT;LC;LP;MT;SC","LP","0.242857","0.457143","0.362665","0.424176"
"one_edit_family_collapsed","type_site","SEAL:R@Mohenjo-daro","token_nb","70","5","IT;LC;LP;MT;SC","LP","0.242857","0.414286","0.351943","0.393008"
"one_edit_family_collapsed","type_site","SEAL:S@Harappa","majority","97","4","IT;LP;SC;SP","LP","0.350515","0.350515","0.129771","0.25"
"one_edit_family_collapsed","type_site","SEAL:S@Harappa","length","97","4","IT;LP;SC;SP","LP","0.350515","0.701031","0.575679","0.627185"
"one_edit_family_collapsed","type_site","SEAL:S@Harappa","edge_frame","97","4","IT;LP;SC;SP","LP","0.350515","0.731959","0.675559","0.679268"
"one_edit_family_collapsed","type_site","SEAL:S@Harappa","token_nb","97","4","IT;LP;SC;SP","LP","0.350515","0.546392","0.478732","0.483962"
"one_edit_family_collapsed","type_site","SEAL:S@Mohenjo-daro","majority","476","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.231092","0.231092","0.041714","0.111111"
"one_edit_family_collapsed","type_site","SEAL:S@Mohenjo-daro","length","476","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.231092","0.510504","0.256293","0.298882"
"one_edit_family_collapsed","type_site","SEAL:S@Mohenjo-daro","edge_frame","476","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.231092","0.514706","0.290957","0.313998"
"one_edit_family_collapsed","type_site","SEAL:S@Mohenjo-daro","token_nb","476","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.231092","0.434874","0.261185","0.267884"
"one_edit_family_collapsed","type_site","TAB:B@Harappa","majority","80","4","IT;MT;SC;SS","SC","0.3875","0.3875","0.13964","0.25"
"one_edit_family_collapsed","type_site","TAB:B@Harappa","length","80","4","IT;MT;SC;SS","SC","0.3875","0.3625","0.143564","0.233871"
"one_edit_family_collapsed","type_site","TAB:B@Harappa","edge_frame","80","4","IT;MT;SC;SS","SC","0.3875","0.4125","0.265233","0.309409"
"one_edit_family_collapsed","type_site","TAB:B@Harappa","token_nb","80","4","IT;MT;SC;SS","SC","0.3875","0.5375","0.555504","0.576921"
"top10_edge_removed_exact_sequence_collapsed","overall","all","majority","1623","11","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS","SC","0.216882","0.216882","0.032405","0.090909"
"top10_edge_removed_exact_sequence_collapsed","overall","all","length","1623","11","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS","SC","0.216882","0.259396","0.117618","0.162282"
"top10_edge_removed_exact_sequence_collapsed","overall","all","edge_frame","1623","11","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS","SC","0.216882","0.30992","0.209376","0.219968"
"top10_edge_removed_exact_sequence_collapsed","overall","all","token_nb","1623","11","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS","SC","0.216882","0.47443","0.331172","0.329249"
"top10_edge_removed_exact_sequence_collapsed","site","Harappa","majority","540","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.290741","0.290741","0.050056","0.111111"
"top10_edge_removed_exact_sequence_collapsed","site","Harappa","length","540","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.290741","0.412963","0.219736","0.264864"
"top10_edge_removed_exact_sequence_collapsed","site","Harappa","edge_frame","540","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.290741","0.438889","0.311893","0.31718"
"top10_edge_removed_exact_sequence_collapsed","site","Harappa","token_nb","540","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.290741","0.448148","0.33339","0.333786"
"top10_edge_removed_exact_sequence_collapsed","site","Mohenjo-daro","majority","891","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.179574","0","0","0"
"top10_edge_removed_exact_sequence_collapsed","site","Mohenjo-daro","length","891","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.179574","0.306397","0.168683","0.222843"
"top10_edge_removed_exact_sequence_collapsed","site","Mohenjo-daro","edge_frame","891","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.179574","0.350168","0.256674","0.279591"
"top10_edge_removed_exact_sequence_collapsed","site","Mohenjo-daro","token_nb","891","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.179574","0.432099","0.357938","0.354317"
"top10_edge_removed_exact_sequence_collapsed","type","SEAL:R","majority","166","7","IT;LC;LP;MS;MT;SC;SS","SC","0.198795","0.198795","0.04738","0.142857"
"top10_edge_removed_exact_sequence_collapsed","type","SEAL:R","length","166","7","IT;LC;LP;MS;MT;SC;SS","SC","0.198795","0.343373","0.205095","0.272759"
"top10_edge_removed_exact_sequence_collapsed","type","SEAL:R","edge_frame","166","7","IT;LC;LP;MS;MT;SC;SS","SC","0.198795","0.343373","0.206271","0.272759"
"top10_edge_removed_exact_sequence_collapsed","type","SEAL:R","token_nb","166","7","IT;LC;LP;MS;MT;SC;SS","SC","0.198795","0.403614","0.367906","0.387881"
"top10_edge_removed_exact_sequence_collapsed","type","SEAL:S","majority","915","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.182514","0.182514","0.034299","0.111111"
"top10_edge_removed_exact_sequence_collapsed","type","SEAL:S","length","915","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.182514","0.369399","0.196614","0.257406"
"top10_edge_removed_exact_sequence_collapsed","type","SEAL:S","edge_frame","915","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.182514","0.410929","0.27393","0.305142"
"top10_edge_removed_exact_sequence_collapsed","type","SEAL:S","token_nb","915","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.182514","0.403279","0.288754","0.295066"
"top10_edge_removed_exact_sequence_collapsed","type","TAB:B","majority","214","5","IT;MT;SC;SP;SS","SC","0.32243","0.32243","0.097527","0.2"
"top10_edge_removed_exact_sequence_collapsed","type","TAB:B","length","214","5","IT;MT;SC;SP;SS","SC","0.32243","0.317757","0.260122","0.254498"
"top10_edge_removed_exact_sequence_collapsed","type","TAB:B","edge_frame","214","5","IT;MT;SC;SP;SS","SC","0.32243","0.336449","0.305118","0.282447"
"top10_edge_removed_exact_sequence_collapsed","type","TAB:B","token_nb","214","5","IT;MT;SC;SP;SS","SC","0.32243","0.476636","0.500292","0.512922"
