"checked_date","cisi","priority","lanes","roles","batch_ids","packet_source_hooks","ia_volume","ia_ocr_source","ia_page_file","ia_leaf","ia_reader_page_url","ia_page_image_url","hit_count_on_page","word_coords_hits","page_context_class","ocr_context","source_use","accepted_decipherment_claim"
"2026-05-25","H-212","core","local_contrast_stress","control_032","local_1824_1883_212","3890357","CISI Collections in India","CISI_Collections_in_India_djvu.txt","India_0406.djvu","406","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n406/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n406_w1200.jpg","2","188:133,2439,202,2417,2437;241:131,3208,198,3185,3207","ocr_context_unclassified","H-207 4164 14330 H 20* 4555 14133 H-209 334* 10342 H 210 3335 1 494 H-211 4533 13419 [[H-212]] 1357 3*90 H2I3 4116 13011 H-214 V44 1032 H215 4120 13153 H-216 4192 m H-217 4562 m H-218 || 223 41*9 H-224 4190 H-22S 41*6 H-226 3803 H-227 3122 H-22* 3(03 H-229 3674 H-230 1112 H-211 3673 [[H-212]] 136* H23J 33*7 113*1 H 550 12544 1227* A31 *0.249 HU 789 4.SI *0.7.51 HU 771 AS! 80","page_locator_only_manual_source_inspection_required_for_sign_visibility_side_order_direction_and_032_033_034_separation","0"
"2026-05-25","H-212","core","local_contrast_stress","control_032","local_1824_1883_212","3890357","CISI Collections in India","CISI_Collections_in_India_djvu.txt","India_0837.djvu","837","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n837/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n837_w1200.jpg","2","188:133,2439,202,2417,2437;241:131,3208,198,3185,3207","ocr_context_unclassified","H-207 4164 14330 H 20* 4555 14133 H-209 334* 10342 H 210 3335 1 494 H-211 4533 13419 [[H-212]] 1357 3*90 H2I3 4116 13011 H-214 V44 1032 H215 4120 13153 H-216 4192 m H-217 4562 m H-218 || 223 41*9 H-224 4190 H-22S 41*6 H-226 3803 H-227 3122 H-22* 3(03 H-229 3674 H-230 1112 H-211 3673 [[H-212]] 136* H23J 33*7 113*1 H 550 12544 1227* A31 *0.249 HU 789 4.SI *0.7.51 HU 771 AS! 80","page_locator_only_manual_source_inspection_required_for_sign_visibility_side_order_direction_and_032_033_034_separation","0"
"2026-05-25","H-353","core","local_contrast_stress","control_033","local_983_353_2211","1348","CISI Collections in India","CISI_Collections_in_India_djvu.txt","India_0265.djvu","265","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n265/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n265_w1200.jpg","2","26:1493,2946,1590,2916,2946;43:1488,3273,1587,3241,3272","ocr_context_unclassified","H-345 A H-345 B H-346 A H-346 B H-347 a H-349 B H-350C H-348 B C B H-350F [[H-353]] B H-354 A 4PUI H-354 B H-351 C H-352C ' V ,’l L-Al -' 1 •>) H-353 C || H-350F H-353 B H-354 A 4PUI H-354 B H-351 C H-352C ' V ,’l L-Al -' 1 •>) [[H-353]] C H-354 C","page_locator_only_manual_source_inspection_required_for_sign_visibility_side_order_direction_and_032_033_034_separation","0"
"2026-05-25","H-353","core","local_contrast_stress","control_033","local_983_353_2211","1348","CISI Collections in India","CISI_Collections_in_India_djvu.txt","India_0696.djvu","696","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n696/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n696_w1200.jpg","2","26:1493,2946,1590,2916,2946;43:1488,3273,1587,3241,3272","ocr_context_unclassified","H-345 A H-345 B H-346 A H-346 B H-347 a H-349 B H-350C H-348 B C B H-350F [[H-353]] B H-354 A 4PUI H-354 B H-351 C H-352C ' V ,’l L-Al -' 1 •>) H-353 C || H-350F H-353 B H-354 A 4PUI H-354 B H-351 C H-352C ' V ,’l L-Al -' 1 •>) [[H-353]] C H-354 C","page_locator_only_manual_source_inspection_required_for_sign_visibility_side_order_direction_and_032_033_034_separation","0"
"2026-05-25","H-771","core","independent_low_copy","target_034","independent_771_789_1123","657678","CISI Collections in Pakistan","CISI_Collections_in_Pakistan_djvu.txt","Pakistan_0358.djvu","358","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n358/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n358_w1200.jpg","4","21:457,1750,580,1711,1750;23:396,2726,518,2688,2726;26:369,3238,491,3199,3237;45:420,3748,543,3708,3747","table_or_concordance_reference","TABLETS in bas-relief | | no iconography H-768 A H-768 A bis H-768 B H-769 A H-769 B [[H-771]] A H-771 A ter H-771 A quater H-772 A H-773 A H-773 B H-772 A ter H-774 A || bas-relief | | no iconography H-768 A H-768 A bis H-768 B H-769 A H-769 B H-771 A [[H-771]] A ter H-771 A quater H-772 A H-773 A H-773 B H-772 A ter H-774 A H-774 B || no iconography H-768 A H-768 A bis H-768 B H-769 A H-769 B H-771 A H-771 A ter [[H-771]] A quater H-772 A H-773 A H-773 B H-772 A ter H-774 A H-774 B H-774 B bis || A quater H-772 A H-773 A H-773 B H-772 A ter H-774 A H-774 B H-774 B bis [[H-771]] B H 776 A H-777 A H-777 B H-776 A bis H 776 B H-772 B bis H-775","page_locator_only_manual_source_inspection_required_for_sign_visibility_side_order_direction_and_032_033_034_separation","0"
"2026-05-25","H-789","core","independent_low_copy","control_033","independent_771_789_1123","12549604","CISI Collections in Pakistan","CISI_Collections_in_Pakistan_djvu.txt","Pakistan_0359.djvu","359","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n359/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n359_w1200.jpg","2","48:1224,3464,1352,3422,3464;50:1836,3466,1968,3426,3466","ocr_context_unclassified","736 B H 780 A H-780 A bit H-787 A H-787 A bis H-7B7 B H 735 B [[H-789]] A H-789 R K781 B H-784 B K-788 B H m A H-m B H-m A H-793 B || H 780 A H-780 A bit H-787 A H-787 A bis H-7B7 B H 735 B H-789 A [[H-789]] R K781 B H-784 B K-788 B H m A H-m B H-m A H-793 B H-790 B","page_locator_only_manual_source_inspection_required_for_sign_visibility_side_order_direction_and_032_033_034_separation","0"
"2026-05-25","H-893","core","local_contrast_stress","target_034","local_893_925_930","12581522","CISI Collections in Pakistan","CISI_Collections_in_Pakistan_djvu.txt","Pakistan_0371.djvu","371","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n371/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n371_w1200.jpg","3","10:1890,2596,2018,2558,2595;13:1798,2966,1925,2927,2966;25:2671,2970,2797,2930,2969","table_or_concordance_reference","TABLETS incised HARAPPA 886-898 337 H 890 ■ H-890 b [[H-893]] A Hfc H-893 (1) A H 894 A H 895 A H 893 B H-893 (1)B H 894 || TABLETS incised HARAPPA 886-898 337 H 890 ■ H-890 b H-893 A Hfc [[H-893]] (1) A H 894 A H 895 A H 893 B H-893 (1)B H 894 B H 895 || ■ H-890 b H-893 A Hfc H-893 (1) A H 894 A H 895 A H 893 B [[H-893]] (1)B H 894 B H 895 B H -892 A H 897 A H-897 B H 898 A","page_locator_only_manual_source_inspection_required_for_sign_visibility_side_order_direction_and_032_033_034_separation","0"
"2026-05-25","H-910","optional","repeated_branch_check","target_034","optional_910_916_1294","10994470","CISI Collections in Pakistan","CISI_Collections_in_Pakistan_djvu.txt","Pakistan_0372.djvu","372","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n372/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n372_w1200.jpg","1","79:2825,3656,2956,3616,3656","ocr_context_unclassified","H 901 B H 902 B H -908 A H 908 B H -909 A H -910 A [[H-910]] B H-911 A","page_locator_only_manual_source_inspection_required_for_sign_visibility_side_order_direction_and_032_033_034_separation","0"
"2026-05-25","H-925","core","local_contrast_stress","control_033","local_893_925_930;local_2137_925_930","3286512","CISI Collections in Pakistan","CISI_Collections_in_Pakistan_djvu.txt","Pakistan_0373.djvu","373","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n373/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n373_w1200.jpg","7","20:1888,3496,2016,3454,3494;28:2031,3850,2160,3810,3850;31:2320,3850,2448,3814,3850;34:2650,3858,2780,3818,3858;38:848,4370,976,4330,4370;41:2656,4382,2784,4338,4378;44:1456,4374,1580,4334,4374","table_or_concordance_reference","I J TABLETS incised HARAPPA 912-926 339 U-921 A H-922 A H 923 A K-924 A H-924 H [[H-925]] A Hm5 3 H 923 (1) A H-925 (2} A H-925 (2) B H-925 (I) B U926A H-925 || A H-922 A H 923 A K-924 A H-924 H H-925 A Hm5 3 H 923 (1) A [[H-925]] (2} A H-925 (2) B H-925 (I) B U926A H-925 A bis H-925 B bis H-925 A ter || H 923 A K-924 A H-924 H H-925 A Hm5 3 H 923 (1) A H-925 (2} A [[H-925]] (2) B H-925 (I) B U926A H-925 A bis H-925 B bis H-925 A ter || K-924 A H-924 H H-925 A Hm5 3 H 923 (1) A H-925 (2} A H-925 (2) B [[H-925]] (I) B U926A H-925 A bis H-925 B bis H-925 A ter || H-925 A Hm5 3 H 923 (1) A H-925 (2} A H-925 (2) B H-925 (I) B U926A [[H-925]] A bis H-925 B bis H-925 A ter || 3 H 923 (1) A H-925 (2} A H-925 (2) B H-925 (I) B U926A H-925 A bis [[H-925]] B bis H-925 A ter || (1) A H-925 (2} A H-925 (2) B H-925 (I) B U926A H-925 A bis H-925 B bis [[H-925]] A ter","page_locator_only_manual_source_inspection_required_for_sign_visibility_side_order_direction_and_032_033_034_separation","0"
"2026-05-25","H-930","core","local_contrast_stress","control_032","local_893_925_930;local_2137_925_930","J30520","CISI Collections in Pakistan","CISI_Collections_in_Pakistan_djvu.txt","Pakistan_0374.djvu","374","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n374/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n374_w1200.jpg","1","26:2146,1060,2274,1021,1059","ocr_context_unclassified","iconography H-927 A H 932 A bis H938 A bis H 938 B H 928 B H-929 B [[H-930]] B H-933 A H-934 A H-935 A H-933 B H 934 B H . 9 35 B H-937","page_locator_only_manual_source_inspection_required_for_sign_visibility_side_order_direction_and_032_033_034_separation","0"
