object,site,region,type,material,shape,symbol,condition,complete,has_407,has_806,has_both,first_407_position,first_806_position,opener_before_closer,closer_before_opener,text
Dlp-2,Desalpur,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Fair,Y,true,false,false,1,,false,false,+590-407-790-440+
-:135.1,Dholavira,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Fair,Y,true,false,false,1,,false,false,+590-407-790-032+
-:139.1,Dholavira,Gujarat/Kutch,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,false,2,,false,false,+740-100-407-590+
M-584,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Anth,Poor,N,true,false,false,3,,false,false,+740-900-000-407-000-000-000+
H-661,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,false,true,false,,2,false,false,+740-055-806+
H-1714,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,false,0,,false,false,+407-790-032+
H-130,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Fair,Y,false,true,false,,6,false,false,+409-032-845-033-705-231-806-002-595-812-125-717+
H-132,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Fine,Y,true,true,true,3,1,false,true,+154-806-471-407-845-740-233-231-798+
H-135,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,false,true,false,,3,false,false,+740-773-231-806-002-861+
H-143,Harappa,Inter-Riverine,SEAL:R,Terracotta,rectangular,NA,Good,Y,false,true,false,,1,false,false,+154-806-469-001-740-877-032+
H-145,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Poor,?,false,true,false,,2,false,false,]233-798-806-001-922+
H-146,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,false,true,false,,1,false,false,+154-806-467-031+
H-151,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,true,false,false,0,,false,false,+407-017-060-193+
M-1986,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,false,true,false,,1,false,false,+154-806-468+
H-154,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,true,false,,1,false,false,+154-806-467-013-817+
H-158,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,false,true,false,,1,false,false,+154-806-472-001-740-405-590+
H-160,Harappa,Inter-Riverine,SEAL:R,Steatite,plano-convex,NA,Good,Y,false,true,false,,2,false,false,+400-154-806-468+
H-639,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Poor,N,true,false,false,0,,false,false,+407-000-000-705-832-904-845-235-002-717-747+
H-649,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,false,true,false,,5,false,false,+520-033-705-233-240-806-002-820+
H-654,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Poor,Y,false,true,false,,3,false,false,+405-061-740-806+
H-657,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,true,false,false,0,,false,false,+407-061-231-235-000[
H-659,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Fair,Y,true,false,false,0,,false,false,+407-845-140-740-233-240-798-365-263+
H-665,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,true,false,false,0,,false,false,+407-004-060-692+
H-667,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,false,true,false,,2,false,false,]000-235-806-900-003-140+
H-679,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Fair,Y,false,true,false,,1,false,false,+565-806+
M-1452,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,Y,true,false,false,1,,false,false,+740-407-590+
L-82,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,false,true,false,,0,false,false,+806-231-002-221+
L-90,Lothal,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Fair,Y,true,false,false,3,,false,false,+423-003-060-407-140+
L-114,Lothal,Gujarat/Kutch,SEAL:R,Steatite,rectangular,NA,Poor,Y,true,false,false,1,,false,false,+740-407-590-904-220-032-803-060-920+
M-1953,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,true,true,0,3,true,false,+407-845-233-806+
M-1984,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,true,false,false,0,,false,false,+407-003+
-:2217.1,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,N,false,true,false,,3,false,false,]000-033-706-806[
M-1956,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,false,true,false,,6,false,false,+740-900-790-220-415-798-806+
M-2053,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Fair,Y,true,false,false,0,,false,false,+407-032-520-095-585-017-220+
M-2050,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Anth,Fair,Y,true,true,true,3,6,true,false,+740-900-850-407-061-845-806+
M-1954,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,false,false,1,,false,false,+740-407-590-031-752-033-705-220-415-798-002-861+
M-1957,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,false,true,false,,1,false,false,+154-806-474-013-820+
M-1985,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,false,true,false,,5,false,false,+100-904-717-220-415-806-742+
-:2481.1,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Unknown,Poor,Y,true,false,false,0,,false,false,+407-063-845-240-798+
M-1965,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,N,true,false,false,0,,false,false,+407-061-740-575-000[
M-1524,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,true,true,true,0,6,true,false,+407-585-033-705-233-235-806+
M-354,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,false,2,,false,false,+740-729-407-845-236-002-906-125+
M-357,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,false,true,false,,2,false,false,+740-100-806-472-240-806-001-820+
