"sign","token_count","family_count","provisional_class","initial_count","medial_count","terminal_count","single_count","initial_share","medial_share","terminal_share","single_share"
"428","1","1","sparse","0","0","1","0","0","0","1","0"
"429","1","1","sparse","1","0","0","0","1","0","0","0"
"430","1","1","sparse","1","0","0","0","1","0","0","0"
"441","1","1","sparse","0","1","0","0","0","1","0","0"
"444","1","1","sparse","0","1","0","0","0","1","0","0"
"450","1","1","sparse","0","1","0","0","0","1","0","0"
"461","1","1","sparse","1","0","0","0","1","0","0","0"
"469","1","1","sparse","0","1","0","0","0","1","0","0"
"471","1","1","sparse","0","1","0","0","0","1","0","0"
"473","1","1","sparse","0","0","1","0","0","0","1","0"
"474","1","1","sparse","0","1","0","0","0","1","0","0"
"479","1","1","sparse","0","0","1","0","0","0","1","0"
"481","1","1","sparse","1","0","0","0","1","0","0","0"
"490","1","1","sparse","0","0","1","0","0","0","1","0"
"493","1","1","sparse","0","0","1","0","0","0","1","0"
"505","1","1","sparse","0","0","1","0","0","0","1","0"
"506","1","1","sparse","1","0","0","0","1","0","0","0"
"513","1","1","sparse","0","0","1","0","0","0","1","0"
"516","1","1","sparse","0","0","1","0","0","0","1","0"
"528","1","1","sparse","0","0","1","0","0","0","1","0"
"541","1","1","sparse","0","0","1","0","0","0","1","0"
"542","1","1","sparse","0","1","0","0","0","1","0","0"
"544","1","1","sparse","0","0","1","0","0","0","1","0"
"563","1","1","sparse","0","0","1","0","0","0","1","0"
"570","1","1","sparse","0","0","1","0","0","0","1","0"
"571","1","1","sparse","0","0","1","0","0","0","1","0"
"573","1","1","sparse","0","0","1","0","0","0","1","0"
"576","1","1","sparse","0","1","0","0","0","1","0","0"
"577","1","1","sparse","0","0","1","0","0","0","1","0"
"586","1","1","sparse","0","0","1","0","0","0","1","0"
"596","1","1","sparse","0","1","0","0","0","1","0","0"
"601","1","1","sparse","0","0","1","0","0","0","1","0"
"604","1","1","sparse","0","1","0","0","0","1","0","0"
"606","1","1","sparse","0","1","0","0","0","1","0","0"
"620","1","1","sparse","0","0","1","0","0","0","1","0"
"627","1","1","sparse","0","1","0","0","0","1","0","0"
"635","1","1","sparse","0","0","1","0","0","0","1","0"
"639","1","1","sparse","0","1","0","0","0","1","0","0"
"640","1","1","sparse","0","0","1","0","0","0","1","0"
"647","1","1","sparse","0","1","0","0","0","1","0","0"
"678","1","1","sparse","0","0","1","0","0","0","1","0"
"684","1","1","sparse","0","0","1","0","0","0","1","0"
"686","1","1","sparse","0","1","0","0","0","1","0","0"
"688","1","1","sparse","0","0","1","0","0","0","1","0"
"689","1","1","sparse","0","0","1","0","0","0","1","0"
"693","1","1","sparse","0","0","1","0","0","0","1","0"
"694","1","1","sparse","0","0","1","0","0","0","1","0"
"697","1","1","sparse","0","1","0","0","0","1","0","0"
"707","1","1","sparse","0","0","1","0","0","0","1","0"
"712","1","1","sparse","1","0","0","0","1","0","0","0"
"714","1","1","sparse","0","1","0","0","0","1","0","0"
"716","1","1","sparse","0","0","1","0","0","0","1","0"
"718","1","1","sparse","1","0","0","0","1","0","0","0"
"723","1","1","sparse","1","0","0","0","1","0","0","0"
"727","1","1","sparse","0","1","0","0","0","1","0","0"
"728","1","1","sparse","0","0","1","0","0","0","1","0"
"729","1","1","sparse","0","1","0","0","0","1","0","0"
"731","1","1","sparse","0","0","1","0","0","0","1","0"
"734","1","1","sparse","0","1","0","0","0","1","0","0"
"736","1","1","sparse","0","0","1","0","0","0","1","0"
"748","1","1","sparse","1","0","0","0","1","0","0","0"
"749","1","1","sparse","1","0","0","0","1","0","0","0"
"750","1","1","sparse","0","1","0","0","0","1","0","0"
"751","1","1","sparse","0","0","1","0","0","0","1","0"
"759","1","1","sparse","0","0","1","0","0","0","1","0"
"761","1","1","sparse","0","1","0","0","0","1","0","0"
"764","1","1","sparse","0","0","1","0","0","0","1","0"
"765","1","1","sparse","0","1","0","0","0","1","0","0"
"768","1","1","sparse","0","0","1","0","0","0","1","0"
"775","1","1","sparse","0","1","0","0","0","1","0","0"
"777","1","1","sparse","0","0","1","0","0","0","1","0"
"778","1","1","sparse","0","1","0","0","0","1","0","0"
"783","1","1","sparse","0","1","0","0","0","1","0","0"
"793","1","1","sparse","0","1","0","0","0","1","0","0"
"796","1","1","sparse","0","0","1","0","0","0","1","0"
"810","1","1","sparse","0","1","0","0","0","1","0","0"
"811","1","1","sparse","0","1","0","0","0","1","0","0"
"815","1","1","sparse","0","0","1","0","0","0","1","0"
"818","1","1","sparse","0","0","1","0","0","0","1","0"
"822","1","1","sparse","1","0","0","0","1","0","0","0"
"826","1","1","sparse","0","0","1","0","0","0","1","0"
"828","1","1","sparse","0","0","1","0","0","0","1","0"
"830","1","1","sparse","0","1","0","0","0","1","0","0"
"833","1","1","sparse","0","1","0","0","0","1","0","0"
"836","1","1","sparse","0","1","0","0","0","1","0","0"
"842","1","1","sparse","1","0","0","0","1","0","0","0"
"849","1","1","sparse","0","0","1","0","0","0","1","0"
"852","1","1","sparse","0","0","1","0","0","0","1","0"
"854","1","1","sparse","0","1","0","0","0","1","0","0"
"855","1","1","sparse","1","0","0","0","1","0","0","0"
"859","1","1","sparse","0","0","1","0","0","0","1","0"
"862","1","1","sparse","0","1","0","0","0","1","0","0"
"863","1","1","sparse","0","0","1","0","0","0","1","0"
"864","1","1","sparse","0","0","1","0","0","0","1","0"
"866","1","1","sparse","1","0","0","0","1","0","0","0"
"870","1","1","sparse","0","0","1","0","0","0","1","0"
"871","1","1","sparse","0","0","1","0","0","0","1","0"
"872","1","1","sparse","1","0","0","0","1","0","0","0"
"875","1","1","sparse","1","0","0","0","1","0","0","0"
"876","1","1","sparse","1","0","0","0","1","0","0","0"
"878","1","1","sparse","0","0","1","0","0","0","1","0"
"894","1","1","sparse","0","1","0","0","0","1","0","0"
"896","1","1","sparse","0","0","1","0","0","0","1","0"
"897","1","1","sparse","0","0","1","0","0","0","1","0"
"902","1","1","sparse","0","0","1","0","0","0","1","0"
"909","1","1","sparse","0","1","0","0","0","1","0","0"
"914","1","1","sparse","0","0","1","0","0","0","1","0"
"918","1","1","sparse","0","0","1","0","0","0","1","0"
"926","1","1","sparse","0","0","1","0","0","0","1","0"
"930","1","1","sparse","1","0","0","0","1","0","0","0"
"932","1","1","sparse","1","0","0","0","1","0","0","0"
"933","1","1","sparse","0","0","1","0","0","0","1","0"
"942","1","1","sparse","0","1","0","0","0","1","0","0"
"944","1","1","sparse","0","1","0","0","0","1","0","0"
"956","1","1","sparse","0","0","1","0","0","0","1","0"
"958","1","1","sparse","0","1","0","0","0","1","0","0"
