scope,id,cisi,site,type,symbol,frame_kind,text,idx_002,y_after_002,y_class,tail_len,tail_next1,tail_next2,tail_full,tail_has_032,tail_has_002
all_002_strict_dedup,4164.1,-,Dholavira,SEAL:R,None,,+423-003-001-423-002-031-104+,4,031,branch_head,1,104,104,104,false,false
all_002_strict_dedup,2735.1,M-211,Mohenjo-daro,SEAL:S,Bull1:S,,+090-740-100-220-002-031-165+,4,031,branch_head,1,165,165,165,false,false
all_002_strict_dedup,3163.1,M-739,Mohenjo-daro,SEAL:S,Bull1:J,,+090-740-100-415-002-031-350-550-692+,4,031,branch_head,3,350,350 550,350 550 692,false,false
all_002_strict_dedup,3991.1,M-1823,Mohenjo-daro,SEAL:S,Bull1:S,,+390-004-002-031-376+,2,031,branch_head,1,376,376,376,false,false
all_002_strict_dedup,1402.1,H-389,Harappa,SEAL:S,Bull1:W,,+740-405-590-235-002-031-480-625+,4,031,branch_head,2,480,480 625,480 625,false,false
all_002_strict_dedup,3116.1,M-678,Mohenjo-daro,SEAL:S,Bull1:W,,+740-752-006-503-236-806-002-031-502+,6,031,branch_head,1,502,502,502,false,false
all_002_strict_dedup,2836.2,M-318,Mohenjo-daro,SEAL:S,Zebu,,+390-003-002-031-575+,2,031,branch_head,1,575,575,575,false,false
all_002_strict_dedup,1103.1,H-44,Harappa,SEAL:S,Bull1:W,,+520-033-706-235-798-803-002-031-892+,6,031,branch_head,1,892,892,892,false,false
all_002_strict_dedup,2393.1,M-1745,Mohenjo-daro,SEAL:S,Bull1:L,,+368-821-055-031-002-031-892+,4,031,branch_head,1,892,892,892,false,false
all_002_strict_dedup,1899.1,K-25,Kalibangan,SEAL:S,Bull1,,+520-231-002-220-065-132-082+,2,220,branch_head,3,065,065 132,065 132 082,false,false
all_002_strict_dedup,2667.1,M-140,Mohenjo-daro,SEAL:S,Bull1:S,,+740-336-002-220-065-440-455+,2,220,branch_head,3,065,065 440,065 440 455,false,false
all_002_strict_dedup,2574.1,M-46,Mohenjo-daro,SEAL:S,Bull1:W,,+740-798-240-235-002-220-065-215+,4,220,branch_head,2,065,065 215,065 215,false,false
all_002_strict_dedup,1293.1,H-268,Harappa,SEAL:S,Bull1:W,,+740-585-017-033-706-803-002-220-455-920+,6,220,branch_head,2,455,455 920,455 920,false,false
all_002_strict_dedup,1139.1,H-82,Harappa,SEAL:S,Gaur,,+390-017-002-220-455-741+,2,220,branch_head,2,455,455 741,455 741,false,false
all_002_strict_dedup,2674.1,M-147,Mohenjo-daro,SEAL:S,Bull1:J,,+226-803-002-220-455-520+,2,220,branch_head,2,455,455 520,455 520,false,false
all_002_strict_dedup,2557.1,M-29,Mohenjo-daro,SEAL:S,Bull1:W,,+740-055-240-235-806-002-220-455-503+,5,220,branch_head,2,455,455 503,455 503,false,false
all_002_strict_dedup,3712.1,M-1427,Mohenjo-daro,TAG:O,Bull1,,+484-140-002-220-627-615-906-388+,2,220,branch_head,4,627,627 615,627 615 906 388,false,false
all_002_strict_dedup,3097.1,M-655,Mohenjo-daro,SEAL:S,Bull1,,+740-717-233-002-220-880-689+,3,220,branch_head,2,880,880 689,880 689,false,false
all_002_strict_dedup,2577.1,M-49,Mohenjo-daro,SEAL:S,Bull1:W,,+527-550-240-220-032-002-300-350-032-190+,5,300,branch_head,3,350,350 032,350 032 190,true,false
