id,cisi,site,type,symbol,shape,class,material,condition,text_length,text,prefix_last1,prefix_last2,tail_after_002_861,tail_len,tail_terminal,register_key,source_status
13.1,Ad-8,Allahdino,MISC,Elep,square,??,Clay,Fair,6,+740-440-503-002-861-000+,503,440 503,000,1,true,Allahdino|MISC|Elep|square,source_pending_or_not_checked
18.1,-,Bakkar Buthi,POT:T:g,None,-,IM,Clay,Poor,6,+405-844-032-840-002-861+,840,032 840,<END>,0,true,Bakkar Buthi|POT:T:g|None|-,source_pending_or_not_checked
62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,square,??,Steatite,Good,7,+000-100-240-220-032-002-861+,032,220 032,<END>,0,true,Chanhu-daro|SEAL:S|Bull1:W|square,source_pending_or_not_checked
69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,square,SP,Steatite,Good,5,+740-176-032-002-861+,032,176 032,<END>,0,true,Chanhu-daro|SEAL:S|Bull1:W|square,source_pending_or_not_checked
76.1,C-74,Chanhu-daro,SEAL:S,Gaur,square,IM,Steatite,Fair,3,+125-002-861+,125,125,<END>,0,true,Chanhu-daro|SEAL:S|Gaur|square,source_pending_or_not_checked
132.1,-,Dholavira,SEAL:S,Tigr,square,IT,Steatite,Fair,4,+740-416-002-861+,416,740 416,<END>,0,true,Dholavira|SEAL:S|Tigr|square,source_pending_or_not_checked
136.1,-,Dholavira,SEAL:R,None,rectangular,IM,Steatite,Good,4,+390-016-002-861+,016,390 016,<END>,0,true,Dholavira|SEAL:R|None|rectangular,source_pending_or_not_checked
145.1,Dlv-1,Dholavira,SEAL:S,Bull1:J,square,SP,-,Poor,5,+151-382-031-002-861+,031,382 031,<END>,0,true,Dholavira|SEAL:S|Bull1:J|square,source_pending_or_not_checked
259.1,H-1051,Harappa,SEAL:S,Bull1:I,square,LP,Steatite,Poor,9,+400-740-575-017-920-320-798-002-861+,798,320 798,<END>,0,true,Harappa|SEAL:S|Bull1:I|square,source_pending_or_not_checked
284.1,H-1030,Harappa,SEAL:S,Bull1:W,square,IT,-,Good,5,+090-740-103-002-861+,103,740 103,<END>,0,true,Harappa|SEAL:S|Bull1:W|square,source_pending_or_not_checked
303.1,H-1043,Harappa,SEAL:S,Bull1:W,square,SP,Steatite,Poor,6,+151-760-220-003-002-861+,003,220 003,<END>,0,true,Harappa|SEAL:S|Bull1:W|square,source_pending_or_not_checked
409.2,H-1942,Harappa,TAB:B,Bult,prism,IM,Faience,Good,4,+405-035-002-861+,035,405 035,<END>,0,true,Harappa|TAB:B|Bult|prism,source_pending_or_not_checked
476.2,H-2094,Harappa,TAB:I,None,rectangular,SS,Steatite,Fair,3,+002-861-416+,<START>,<START>,416,1,true,Harappa|TAB:I|None|rectangular,source_pending_or_not_checked
488.2,H-2097,Harappa,TAB:I,None,rectangular,SS,Steatite,Good,3,+002-861-416+,<START>,<START>,416,1,true,Harappa|TAB:I|None|rectangular,source_pending_or_not_checked
518.2,H-2095,Harappa,TAB:I,None,rectangular,SS,-,Fair,3,+002-861-416+,<START>,<START>,416,1,true,Harappa|TAB:I|None|rectangular,source_pending_or_not_checked
537.1,H-1692,Harappa,SEAL:S,None,square,IT,Steatite,Poor,5,+740-390-590-002-861+,590,390 590,<END>,0,true,Harappa|SEAL:S|None|square,source_pending_or_not_checked
594.2,H-2022,Harappa,TAB:B,Phyt,prism,IT,Clay,Fair,5,+740-752-175-002-861+,175,752 175,<END>,0,true,Harappa|TAB:B|Phyt|prism,source_pending_or_not_checked
621.1,-,Harappa,TAB:I,None,rectangular,SS,Steatite,Good,3,+002-861-416+,<START>,<START>,416,1,true,Harappa|TAB:I|None|rectangular,source_pending_or_not_checked
665.2,H-2096,Harappa,TAB:I,None,rectangular,SS,-,Good,3,+002-861-416+,<START>,<START>,416,1,true,Harappa|TAB:I|None|rectangular,source_pending_or_not_checked
729.2,H-2010,Harappa,TAB:B,Bull1,oval,SP,Faience,Fair,5,+740-482-240-002-861+,240,482 240,<END>,0,true,Harappa|TAB:B|Bull1|oval,source_pending_or_not_checked
771.2,H-1930,Harappa,TAB:B,Gavi,prism,SP,Faience,Fair,5,+408-817-920-002-861+,920,817 920,<END>,0,true,Harappa|TAB:B|Gavi|prism,source_pending_or_not_checked
789.1,H-1785,Harappa,TAB:B,Phyt,rectangular-rounded,IM,Faience,Poor,4,+407-004-002-861+,004,407 004,<END>,0,true,Harappa|TAB:B|Phyt|rectangular-rounded,source_pending_or_not_checked
805.1,H-1788,Harappa,TAB:B,None,rectangular,SP,Faience,Poor,5,+154-806-470-002-861+,470,806 470,<END>,0,true,Harappa|TAB:B|None|rectangular,source_pending_or_not_checked
937.2,H-2011,Harappa,TAB:B,Bull1,elliptical,SP,Clay,Poor,5,+740-482-240-002-861+,240,482 240,<END>,0,true,Harappa|TAB:B|Bull1|elliptical,source_pending_or_not_checked
1004.1,H-1966,Harappa,TAB:B,Gaur,rectangular,SP,Clay,Good,5,+520-233-049-002-861+,049,233 049,<END>,0,true,Harappa|TAB:B|Gaur|rectangular,source_pending_or_not_checked
1024.2,H-1851,Harappa,TAB:B,None,rectangular,SP,Faience,Good,6,+740-803-892-031-002-861+,031,892 031,<END>,0,true,Harappa|TAB:B|None|rectangular,source_pending_or_not_checked
1110.1,H-51,Harappa,SEAL:S,Bull1:W,square,SP,Steatite,Fair,5,+740-643-240-002-861+,240,643 240,<END>,0,true,Harappa|SEAL:S|Bull1:W|square,source_pending_or_not_checked
1114.1,H-55,Harappa,SEAL:S,Bull1:X,square,IM,Steatite,Fair,5,+390-004-002-861-125+,004,390 004,125,1,true,Harappa|SEAL:S|Bull1:X|square,source_pending_or_not_checked
1170.1,H-129,Harappa,SEAL:R,None,cuboid-convex,LP,Steatite,Good,10,+409-061-740-235-220-031-002-861-244-165+,031,220 031,244 165,2,true,Harappa|SEAL:R|None|cuboid-convex,source_pending_or_not_checked
1175.1,H-134,Harappa,SEAL:R,None,cuboid-convex,LP,Steatite,Good,7,+740-405-590-220-003-002-861+,003,220 003,<END>,0,true,Harappa|SEAL:R|None|cuboid-convex,source_pending_or_not_checked
1176.1,H-135,Harappa,SEAL:R,None,cuboid-convex,LP,Steatite,Fine,6,+740-773-231-806-002-861+,806,231 806,<END>,0,true,Harappa|SEAL:R|None|cuboid-convex,source_pending_or_not_checked
1414.1,H-410,Harappa,SEAL:S,Bull1:L,square,SC,Steatite,Good,5,+368-840-830-002-861+,830,840 830,<END>,0,true,Harappa|SEAL:S|Bull1:L|square,source_pending_or_not_checked
1434.1,H-444,Harappa,SEAL:S,Bull1:W,square,SP,-,Good,5,+241-220-032-002-861+,032,220 032,<END>,0,true,Harappa|SEAL:S|Bull1:W|square,source_visible
1436.1,H-446,Harappa,SEAL:S,Bull1:J,square,SP,Steatite,Fair,6,+740-585-798-002-861-216+,798,585 798,216,1,true,Harappa|SEAL:S|Bull1:J|square,source_pending_or_not_checked
1540.1,H-597,Harappa,SEAL:S,Bull1:J,square,LP,Steatite,Fair,7,+740-390-590-070-032-002-861+,032,070 032,<END>,0,true,Harappa|SEAL:S|Bull1:J|square,source_pending_or_not_checked
1594.1,H-688,Harappa,SEAL,None,-,SP,-,Poor,6,+520-233-002-861-831-165+,233,520 233,831 165,2,true,Harappa|SEAL|None|-,source_pending_or_not_checked
1622.1,H-719,Harappa,TAB:B,Phyt,rectangular,IM,Faience,Fair,4,+405-004-002-861+,004,405 004,<END>,0,true,Harappa|TAB:B|Phyt|rectangular,source_pending_or_not_checked
1695.1,H-806,Harappa,TAB:B,None,twisted rectangular-rounded,SP,Clay,Fair,5,+740-482-240-002-861+,240,482 240,<END>,0,true,Harappa|TAB:B|None|twisted rectangular-rounded,source_pending_or_not_checked
1696.1,H-807,Harappa,TAB:B,None,twisted rectangular-rounded,SP,-,Poor,5,+740-482-240-002-861+,240,482 240,<END>,0,true,Harappa|TAB:B|None|twisted rectangular-rounded,source_pending_or_not_checked
1697.1,H-808,Harappa,TAB:B,None,twisted rectangular-rounded,SP,-,Poor,5,+740-482-240-002-861+,240,482 240,<END>,0,true,Harappa|TAB:B|None|twisted rectangular-rounded,source_pending_or_not_checked
1792.1,H-910,Harappa,TAB:I,None,rectangular,SS,Steatite,Poor,3,+002-861-416+,<START>,<START>,416,1,true,Harappa|TAB:I|None|rectangular,source_pending_or_not_checked
1906.1,K-33,Kalibangan,SEAL:S,Buff,square,IT,Steatite,Fine,3,+226-002-861+,226,226,<END>,0,true,Kalibangan|SEAL:S|Buff|square,source_pending_or_not_checked
1908.1,K-40,Kalibangan,SEAL:S,Elep,square,LC,Steatite,Fine,7,+760-031-002-861-791-440-717+,031,760 031,791 440 717,3,true,Kalibangan|SEAL:S|Elep|square,source_pending_or_not_checked
1938.1,K-82,Kalibangan,TAG:L,Bull1,-,IM,-,Fair,4,+390-003-002-861+,003,390 003,<END>,0,true,Kalibangan|TAG:L|Bull1|-,source_pending_or_not_checked
1940.1,K-85,Kalibangan,TAG:L,Elep,-,IT,-,Fair,4,+520-033-002-861+,033,520 033,<END>,0,true,Kalibangan|TAG:L|Elep|-,source_pending_or_not_checked
1943.1,K-88,Kalibangan,TAG:L,Bull1,-,??,-,Poor,5,+740-000-460-002-861+,460,000 460,<END>,0,true,Kalibangan|TAG:L|Bull1|-,source_pending_or_not_checked
2012.1,L-39,Lothal,SEAL:S,Bull1,square,SC,Steatite,Fair,5,+520-315-002-861-626+,315,520 315,626,1,true,Lothal|SEAL:S|Bull1|square,source_pending_or_not_checked
2017.1,L-46,Lothal,SEAL:S,Gaur,square,LC,Steatite,Poor,8,+527-388-233-740-176-002-861-392+,176,740 176,392,1,true,Lothal|SEAL:S|Gaur|square,source_pending_or_not_checked
2024.1,L-57,Lothal,SEAL:S,-,square,SC,-,Fair,3,+832-002-861+,832,832,<END>,0,true,Lothal|SEAL:S|-|square,source_pending_or_not_checked
2043.1,L-89,Lothal,SEAL:R,None,cuboid-convex,SP,Steatite,Good,5,+527-555-235-002-861+,235,555 235,<END>,0,true,Lothal|SEAL:R|None|cuboid-convex,source_pending_or_not_checked
2073.1,L-130,Lothal,TAG,Bull1,-,IT,Clay,Fair,3,+236-002-861+,236,236,<END>,0,true,Lothal|TAG|Bull1|-,source_pending_or_not_checked
2074.1,L-131,Lothal,TAG,-,-,IT,Clay,Poor,3,+236-002-861+,236,236,<END>,0,true,Lothal|TAG|-|-,source_pending_or_not_checked
2165.2,M-2060,Mohenjo-daro,POT:T:g,None,-,IT,Clay,Good,4,+740-176-002-861+,176,740 176,<END>,0,true,Mohenjo-daro|POT:T:g|None|-,source_pending_or_not_checked
2178.1,M-1696,Mohenjo-daro,SEAL:S,Bull1:II,square,LP,Steatite,Fair,7,+520-033-705-220-415-002-861+,415,220 415,<END>,0,true,Mohenjo-daro|SEAL:S|Bull1:II|square,source_pending_or_not_checked
2179.1,M-1880,Mohenjo-daro,SEAL:S,Gaur,square,IT,Steatite,Poor,4,+151-176-002-861+,176,151 176,<END>,0,true,Mohenjo-daro|SEAL:S|Gaur|square,source_pending_or_not_checked
