checked_date,cisi,row_id,site,type,shape,x,is_post_002,tail_after_x,tail_length_after_x,terminal_after_x,left_before_390,text
2026-05-31,H-1993,744.2,Harappa,TAB:B,rectangular,095,true,<END>,0,true,740 000 220 004 002,+740-000-220-004-002-390-095+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,square,072,true,<END>,0,true,090 740 220 003 002,+090-740-220-003-002-390-072+
2026-05-31,H-773,1665.1,Harappa,TAB:B,plano-convex,530,true,741,1,false,740 798 803 002,+740-798-803-002-390-530-741+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,square,125,true,632 032,2,false,740 690 435 255 220 032 240 235 002,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,square,692,true,<END>,0,true,226 032 002,+226-032-002-390-692+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,square,095,true,<END>,0,true,151 279 142 002,+151-279-142-002-390-095+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,square,125,true,632 032 900 563,4,false,151 337 484 002,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,2737.1,Mohenjo-daro,SEAL:S,square,346,true,<END>,0,true,740 384 002,+740-384-002-390-346+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,square,707,true,<END>,0,true,236 002,+236-002-390-707+
2026-05-31,M-708,3134.1,Mohenjo-daro,SEAL:S,square,140,true,<END>,0,true,740 061 002,+740-061-002-390-140+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,square,125,true,195,1,false,740 760 235 002,+740-760-235-002-390-125-195+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,square,590,true,032,1,false,740 205 032 002,+740-205-032-002-390-590-032+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,square,125,true,820,1,false,390 004 002,+390-004-002-390-125-820+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,square,705,true,<END>,0,true,157 031 002,+157-031-002-390-705+
2026-05-31,-:4237.1,4237.1,Dholavira,SEAL:S,square,705,true,<END>,0,true,151 032 388 002,+151-032-388-002-390-705+
