checked_date,sign,raw_occurrences,canonical_occurrences,terminal,terminal_share,continuing,square_or_rect_seal,outside_square_or_rect_seal,outside_square_or_rect_seal_share,tablet_pot_tag_rod_impl,tablet_pot_tag_rod_impl_share,prev_390,prev_520,prev_595,prev_status_stems_390_520_595,prev_status_stems_share,prev_520_or_595_share,in_002_390_frame,nonframe_prev390,top_prev,top_prev_count,top_prev_share,prev_entropy_bits,top_next,top_next_count,top_next_share,next_entropy_bits,raw_top_exact_sequence_count,raw_top_exact_sequence_share,top_prevs,top_nexts,top_raw_exact_sequences,focus_count_window
2026-05-31,844,14,14,3,0.214286,11,10,4,0.285714,2,0.142857,9,0,0,9,0.642857,0.000000,0,9,390,9,0.642857,1.626689,<END>,3,0.214286,3.182006,1,0.071429,390:9;000:2;294:1;405:1;407:1,<END>:3;000:2;140:2;002:1;032:1;055:1;060:1;240:1,000 844 000 000:1;000 844 627 001:1;032 031 390 844 000 000 032 803 220:1;294 844:1;390 844:1,12-32
2026-05-31,095,30,22,8,0.363636,14,5,17,0.772727,14,0.636364,3,7,3,13,0.590909,0.454545,2,1,520,7,0.318182,3.043011,<END>,8,0.363636,2.845351,8,0.266667,520:7;390:3;595:3;000:2;<START>:1;001:1;002:1;033:1,<END>:8;000:3;585:3;033:2;031:1;550:1;717:1;741:1,407 032 520 095 585 017 231:8;617 142 001 595 095 760 744:2;000 000 095 550 003 002 000:1;000 095:1;002 095 000:1,
2026-05-31,072,15,14,5,0.357143,9,10,4,0.285714,3,0.214286,1,5,0,6,0.428571,0.357143,1,0,520,5,0.357143,2.978095,<END>,5,0.357143,2.495603,2,0.133333,520:5;<START>:1;231:1;308:1;368:1;390:1;406:1;740:1,<END>:5;921:3;002:2;170:1;219:1;233:1;255:1,520 072 219:2;072 170 740 840 013:1;090 740 220 003 002 390 072:1;236 002 308 072:1;400 093 368 072:1,12-32
2026-05-31,515,18,12,3,0.250000,9,3,9,0.750000,7,0.583333,0,4,0,4,0.333333,0.333333,0,0,<START>,4,0.333333,2.251629,<END>,3,0.250000,3.188722,7,0.388889,<START>:4;520:4;000:1;031:1;032:1;740:1,<END>:3;000:1;126:1;240:1;255:1;388:1;503:1;740:1,515:7;000 000 388 031 515:1;000 032 515:1;000 515 000:1;515 388:1,12-32
2026-05-31,632,32,31,16,0.516129,15,21,10,0.322581,5,0.161290,1,0,3,4,0.129032,0.096774,0,1,125,4,0.129032,4.131300,<END>,16,0.516129,2.255761,2,0.062500,125:4;000:3;595:3;140:2;368:2;705:2;930:2;<START>:1,<END>:16;032:7;000:1;031:1;066:1;354:1;705:1;706:1,000 000 125 632 032 240 002 244 632:2;930 632 920:2;000 000 617 632 000:1;000 031 003 000 220 741 703 632:1;000 061 002 460 632:1,12-32
2026-05-31,382,21,21,7,0.333333,14,6,15,0.714286,14,0.666667,0,2,0,2,0.095238,0.095238,0,0,760,5,0.238095,3.232102,<END>,7,0.333333,3.039633,3,0.142857,760:5;<START>:3;000:2;382:2;520:2;740:2;016:1;151:1,<END>:7;000:3;002:2;382:2;031:1;032:1;233:1;520:1,382 382 382:3;382 760 382 002 820:2;000 000 382 000:1;000 382:1;000 760 382:1,12-32
2026-05-31,175,27,24,8,0.333333,16,11,13,0.541667,12,0.500000,0,2,0,2,0.083333,0.083333,0,0,752,3,0.125000,3.855389,<END>,8,0.333333,2.767894,3,0.111111,752:3;760:3;000:2;176:2;520:2;741:2;090:1;100:1,<END>:8;002:5;000:4;132:1;176:1;220:1;415:1;480:1,520 175:3;400 740 100 176 175:2;000 175 000:1;100 176 175:1;215 175 480:1,12-32
2026-05-31,406,13,13,2,0.153846,11,8,5,0.384615,4,0.307692,1,0,0,1,0.076923,0.000000,0,1,<START>,4,0.307692,2.565448,<END>,2,0.153846,3.085055,2,0.153846,<START>:4;740:3;000:2;390:1;741:1;742:1;923:1,<END>:2;000:2;125:2;590:2;002:1;061:1;072:1;371:1,740 406 590 741 406 125:2;000 000 406 002 820:1;104 000 000 406:1;104 892 390 406:1;406 000:1,12-32
2026-05-31,034,184,30,12,0.400000,18,5,25,0.833333,23,0.766667,2,0,0,2,0.066667,0.000000,0,2,<START>,12,0.400000,2.622580,<END>,12,0.400000,3.272906,111,0.603261,<START>:12;700:6;000:4;390:2;007:1;031:1;033:1;220:1,<END>:12;000:2;002:2;690:2;001:1;031:1;032:1;033:1,700 034:111;034:24;034 700:14;000 034:4;034 999 034:4,12-32
2026-05-31,111,15,15,1,0.066667,14,10,5,0.333333,4,0.266667,1,0,0,1,0.066667,0.000000,0,1,<START>,5,0.333333,2.599581,000,3,0.200000,3.589898,1,0.066667,<START>:5;001:2;002:2;060:2;861:2;390:1;590:1,000:3;<END>:1;002:1;003:1;033:1;142:1;165:1;166:1,000 233 002 111 700:1;001 111 000:1;031 220 000 741 850 001 111 003:1;111 000:1;111 002 001 250:1,12-32
