bet_component,left_out_field,left_out_value,kept_rows,kept_hits,kept_rate
465_467_475_exact_phyt,site,Harappa,4,0,0
465_467_475_exact_phyt,site,Mohenjo-daro,6,3,0.5
465_467_475_exact_phyt,type,ROD,9,3,0.3333333333333333
465_467_475_exact_phyt,type,SEAL:R,7,3,0.42857142857142855
465_467_475_exact_phyt,type,SEAL:S,9,3,0.3333333333333333
465_467_475_exact_phyt,type,TAB:B,5,0,0
468_exact_no_symbol_seal,site,Harappa,3,3,1
468_exact_no_symbol_seal,site,Mohenjo-daro,4,1,0.25
468_exact_no_symbol_seal,type,SEAL:R,3,0,0
468_exact_no_symbol_seal,type,SEAL:S,5,4,0.8
468_exact_no_symbol_seal,type,TAG:R,6,4,0.6666666666666666
