"second_after_520","count","third_values","sites","types"
"220","59","001;002;003;004;006;016;031;032;034;235;240;368;415;621;742;803","Banawali;Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG"
"033","52","002;033;705;706","Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Unknown","SEAL;SEAL:R;SEAL:S;TAB:B;TAG;TAG:L;TAG:O"
"240","44","000;002;031;060;220;235;740;741;806","Harappa;Mohenjo-daro;Nausharo","SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I"
"233","19","002;031;049;060;220;240;741;803","Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro","SEAL;SEAL:S;TAB:B;TAG"
"070","13","002;033;219;220;233;253;255;495;503;921","Gola Dhoro (Bagasra);Harappa;Lothal;Mohenjo-daro;Unknown","SEAL:R;SEAL:S;TAB:B;TAG:L"
"000","9","000;002;235;255","Dholavira;Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B;TAG"
"235","8","220;803;806","Chanhu-daro;Dholavira;Harappa;Mohenjo-daro;Tarkhanewala-dera","POT:T:g;SEAL;SEAL:S;TAB:B;TAG"
"400","6","000;350;354","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:I"
"460","6","031;495","Dholavira;Harappa;Mohenjo-daro","POT:T:g;SEAL:S"
"","5","","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:I"
"031","5","000","Harappa;Kanmer;Rahman-deri","SEAL;SEAL:S;TAB:I"
"072","5","219;233;255;921","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I"
"231","5","002;235","Kalibangan;Mohenjo-daro","SEAL:S"
"175","4","002","Dholavira;Harappa;Mohenjo-daro","SEAL:S;TAB:I"
"001","3","090","Banawali;Harappa","MISC;SEAL:S"
"515","3","240;255;921","Chanhu-daro;Mohenjo-daro","POT:T:g;SEAL:S"
"920","3","320","Dholavira;Mohenjo-daro","SEAL:S"
"095","2","000;033","Dholavira;Harappa","SEAL:R"
"382","2","032;878","Mohenjo-daro","SEAL:S"
"013","1","","Miri Qalat","SEAL:S"
"073","1","","Rakhigarhi","SEAL:S"
"075","1","235","Mohenjo-daro","SEAL:S"
"090","1","803","Dholavira","SEAL:S"
"219","1","002","Harappa","SEAL:S"
"315","1","002","Lothal","SEAL:S"
"442","1","425","Mohenjo-daro","SEAL:S"
"463","1","510","Bhirrana","SEAL:S"
"552","1","060","Mohenjo-daro","SEAL:S"
"742","1","861","Dholavira","SEAL:S"
