"token","short_mark_token_count","non_short_token_count","short_mark_share","non_short_share","enrichment_ratio_smoothed","top_types","top_sites","top_side_indexes","top_horizontal_bins","top_vertical_bins","top_thickness_bins"
"034","115","9","0.106679","0.002978","31.365491","TAB:I:72;TAB:B:42;SEAL:R:1","Harappa:115","1:63;2:51;3:1","h_000_015:80;h_015_025:31;-:2;h_025_035:2","v_000_010:105;v_010_020:8;-:2","-:76;th_000_003:20;th_003_007:17;th_007_012:2"
"167","10","1","0.009276","0.000331","18.058919","TAB:B:9;TAB:I:1","Mohenjo-daro:7;Harappa:3","2:6;1:4","h_gt_035:6;h_000_015:2;-:1;h_025_035:1","v_010_020:7;-:2;v_000_010:1","th_003_007:4;-:3;th_gt_012:2;th_000_003:1"
"700","374","65","0.346939","0.021509","14.750415","TAB:B:191;TAB:I:179;SEAL:R:3;SEAL:CY:1","Harappa:372;Kalibangan:1;Unknown:1","2:205;1:166;3:3","h_015_025:173;h_000_015:161;-:31;h_025_035:9","v_000_010:282;v_010_020:53;-:39","-:276;th_000_003:50;th_003_007:42;th_007_012:6"
"003","51","19","0.04731","0.006287","6.813438","TAB:I:50;TAB:B:1","Harappa:51","3:22;1:17;2:12","h_000_015:51","v_000_010:51","-:47;th_000_003:3;th_003_007:1"
"137","6","2","0.005566","0.000662","6.707599","TAB:B:3;TAB:I:3","Harappa:6","2:5;1:1","h_000_015:5;h_015_025:1","v_000_010:6","-:2;th_000_003:2;th_003_007:2"
"033","146","61","0.135436","0.020185","6.145486","TAB:B:73;TAB:I:68;POT:T:g:2;SEAL:R:2;SEAL:CY:1","Harappa:144;Mohenjo-daro:2","2:92;1:53;3:1","h_015_025:73;h_000_015:52;-:17;h_025_035:4","v_000_010:105;-:23;v_010_020:18","-:119;th_000_003:13;th_003_007:13;th_007_012:1"
"156","28","20","0.025974","0.006618","3.586615","TAB:I:21;TAB:B:4;MISC:2;SEAL:S:1","Harappa:25;Mohenjo-daro:3","3:21;2:4;1:3","h_000_015:25;h_gt_035:2;h_015_025:1","v_000_010:25;-:2;v_010_020:1","-:23;th_003_007:4;th_000_003:1"
"032","105","98","0.097403","0.032429","2.763185","TAB:B:66;TAB:I:39","Harappa:103;Kalibangan:1;Unknown:1","2:61;1:44","h_015_025:61;h_000_015:28;-:13;h_025_035:3","v_000_010:66;v_010_020:24;-:15","-:77;th_000_003:16;th_003_007:11;th_007_012:1"
"861","30","29","0.027829","0.009596","2.667298","TAB:I:28;SEAL:S:1;TAB:B:1","Harappa:30","1:18;2:12","h_000_015:29;h_025_035:1","v_000_010:29;v_020_030:1","-:25;th_000_003:3;th_003_007:1;th_007_012:1"
"706","6","9","0.005566","0.002978","1.765158","TAB:B:3;TAB:C:3","Mohenjo-daro:5;Harappa:1","1:4;2:2","h_015_025:3;h_gt_035:2;h_025_035:1","v_020_030:3;v_010_020:2;-:1","-:4;th_003_007:2"
"900","7","14","0.006494","0.004633","1.334403","TAB:I:6;MISC:1","Harappa:6;Mohenjo-daro:1","2:5;1:2","h_000_015:6;h_015_025:1","v_000_010:6;v_010_020:1","-:5;th_000_003:2"
"368","9","19","0.008349","0.006287","1.256848","TAB:I:5;TAB:B:4","Harappa:9","2:6;1:3","h_000_015:7;-:1;h_015_025:1","v_000_010:7;-:1;v_010_020:1","-:6;th_003_007:2;th_000_003:1"
"690","10","34","0.009276","0.011251","0.78517","TAB:I:9;SEAL:R:1","Harappa:5;Mohenjo-daro:5","1:10","h_015_025:8;-:1;h_000_015:1","v_000_010:5;v_010_020:5","-:5;th_003_007:3;th_000_003:2"
"520","11","41","0.010204","0.013567","0.714897","TAB:B:7;TAB:I:4","Harappa:9;Mohenjo-daro:2","2:6;1:5","h_000_015:6;-:3;h_025_035:2","v_000_010:5;-:4;v_010_020:2","-:8;th_000_003:2;th_007_012:1"
"031","7","30","0.006494","0.009927","0.634388","MISC:2;SEAL:S:2;TAB:I:2;TAB:B:1","Mohenjo-daro:4;Harappa:3","2:4;1:3","h_000_015:3;h_gt_035:3;h_025_035:1","v_000_010:3;-:2;v_gt_030:2","-:5;th_007_012:2"
"705","6","40","0.005566","0.013236","0.414049","TAB:B:5;TAB:I:1","Harappa:3;Mohenjo-daro:3","1:3;2:3","h_000_015:2;h_gt_035:2;-:1;h_015_025:1","v_010_020:3;-:2;v_000_010:1","-:2;th_003_007:2;th_000_003:1;th_007_012:1"
"176","6","74","0.005566","0.024487","0.225087","TAB:B:5;SEAL:S:1","Harappa:4;Mohenjo-daro:2","1:3;2:3","h_000_015:4;h_015_025:1;h_gt_035:1","v_000_010:4;v_010_020:2","th_003_007:4;th_000_003:1;th_007_012:1"
"400","16","198","0.014842","0.06552","0.214446","TAB:I:9;TAB:B:6;SEAL:S:1","Harappa:15;Mohenjo-daro:1","2:12;1:4","h_000_015:11;h_015_025:4;-:1","v_000_010:13;v_010_020:2;-:1","-:9;th_003_007:5;th_000_003:2"
"740","15","367","0.013915","0.121443","0.10881","TAB:B:8;TAB:I:4;SEAL:S:2;TAB:C:1","Harappa:8;Mohenjo-daro:7","2:9;1:5;3:1","h_000_015:8;h_gt_035:4;h_015_025:3","v_000_010:8;-:3;v_020_030:3;v_010_020:1","-:7;th_007_012:5;th_000_003:3"
