prev_before_002,rows,next_distribution,tail_distribution,source_classes,sites,cisis,decision
004,2,095:1;125:1,820:1;<END>:1,public_route_needs_panel_binding:1;unrouted:1,Harappa:1;Surkotada:1,H-1993;Sktd-1,context_or_singleton_control
032,2,590:1;692:1,032:1;<END>:1,object_unresolved:1;source_visible_control:1,Mohenjo-daro:1;Unknown:1,M-70;-,context_or_singleton_control
235,2,125:2,195:1;632 032:1,source_context_needs_token_box:1;source_hint_needs_route:1,Mohenjo-daro:2,M-38;M-735,live_prev_conditioned_125_lane_source_weak
003,1,072:1,<END>:1,source_hint_needs_route:1,Harappa:1,H-68,context_or_singleton_control
031,1,705:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-1825,context_or_singleton_control
061,1,140:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-708,context_or_singleton_control
142,1,095:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-71,context_or_singleton_control
236,1,707:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-232,context_or_singleton_control
384,1,346:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-213,context_or_singleton_control
388,1,705:1,<END>:1,object_unresolved:1,Dholavira:1,-,context_or_singleton_control
484,1,125:1,632 032 900 563:1,mayig_only:1,Mohenjo-daro:1,M-119,context_or_singleton_control
803,1,530:1,741:1,source_hint_needs_route:1,Harappa:1,H-773,context_or_singleton_control
