test,object,sign,scope,result,detail
continuing_non125_after_002390,H-773,530,after_002390,continuation_not_unique_to_125,+740-798-803-002-390-530-741+
continuing_non125_after_002390,-:3335.1,590,after_002390,continuation_not_unique_to_125,+740-205-032-002-390-590-032+
nonframe_continuing_095_692_705,Ad-3,705,non_frame,closure_not_intrinsic_to_sign,+740-904-033-705-235+
nonframe_continuing_095_692_705,C-88,705,non_frame,closure_not_intrinsic_to_sign,+031-705-167+
nonframe_continuing_095_692_705,C-64,705,non_frame,closure_not_intrinsic_to_sign,]000-220-838-033-705-240+
nonframe_continuing_095_692_705,C-7,705,non_frame,closure_not_intrinsic_to_sign,+520-033-705-240-798-002-000[
nonframe_continuing_095_692_705,C-9,705,non_frame,closure_not_intrinsic_to_sign,+151-233-803-033-705-240+
nonframe_continuing_095_692_705,C-35,705,non_frame,closure_not_intrinsic_to_sign,+031-705-167[
nonframe_continuing_095_692_705,C-40,095,non_frame,closure_not_intrinsic_to_sign,+390-095-909-005-825-776-220-016+
nonframe_continuing_095_692_705,-:234.1,705,non_frame,closure_not_intrinsic_to_sign,+868-705-590+
nonframe_continuing_095_692_705,H-1156,705,non_frame,closure_not_intrinsic_to_sign,+200-705-380+
nonframe_continuing_095_692_705,H-1994,705,non_frame,closure_not_intrinsic_to_sign,+200-705-380+
nonframe_continuing_095_692_705,H-2015,705,non_frame,closure_not_intrinsic_to_sign,+033-705-235-000+
nonframe_continuing_095_692_705,H-2015,705,non_frame,closure_not_intrinsic_to_sign,+520-033-705-235-832-002-817+
nonframe_continuing_095_692_705,H-2014,705,non_frame,closure_not_intrinsic_to_sign,+033-705-235[
nonframe_continuing_095_692_705,H-1816,705,non_frame,closure_not_intrinsic_to_sign,+400-525-550-033-705-240+
nonframe_continuing_095_692_705,H-2069,705,non_frame,closure_not_intrinsic_to_sign,+868-705-590+
nonframe_continuing_095_692_705,H-1815,705,non_frame,closure_not_intrinsic_to_sign,]525-550-033-705-000+
nonframe_continuing_095_692_705,H-1990,705,non_frame,closure_not_intrinsic_to_sign,+851-740-705-924-156+
nonframe_continuing_095_692_705,H-2139,705,non_frame,closure_not_intrinsic_to_sign,+740-176-033-705-235+
nonframe_continuing_095_692_705,H-1814,705,non_frame,closure_not_intrinsic_to_sign,+400-525-550-033-705-240+
nonframe_continuing_095_692_705,H-2062,705,non_frame,closure_not_intrinsic_to_sign,+868-705-590+
nonframe_continuing_095_692_705,H-1813,705,non_frame,closure_not_intrinsic_to_sign,+400-525-550-033-705-220+
nonframe_terminal_125,H-1946,125,non_frame,125_not_intrinsically_continuation_bearing,+700-125+
nonframe_continuing_095_692_705,H-2007,705,non_frame,closure_not_intrinsic_to_sign,+000-705-590+
nonframe_continuing_095_692_705,H-1989,705,non_frame,closure_not_intrinsic_to_sign,+851-740-705-924-156+
nonframe_continuing_095_692_705,H-1988,705,non_frame,closure_not_intrinsic_to_sign,+851-740-705-924-156+
nonframe_continuing_095_692_705,H-1840,705,non_frame,closure_not_intrinsic_to_sign,+090-740-255-705-060-550+
nonframe_continuing_095_692_705,H-1812,705,non_frame,closure_not_intrinsic_to_sign,+400-525-550-033-705-240+
nonframe_continuing_095_692_705,H-1811,705,non_frame,closure_not_intrinsic_to_sign,+400-525-550-033-705-240+
nonframe_continuing_095_692_705,H-1805,705,non_frame,closure_not_intrinsic_to_sign,]705-220-000[
nonframe_continuing_095_692_705,H-1726,692,non_frame,closure_not_intrinsic_to_sign,+740-100-692-491-002-817+
nonframe_continuing_095_692_705,H-7,692,non_frame,closure_not_intrinsic_to_sign,+920-440-692-001-542-250+
nonframe_continuing_095_692_705,H-24,705,non_frame,closure_not_intrinsic_to_sign,+740-626-176-033-705-233+
nonframe_continuing_095_692_705,H-25,705,non_frame,closure_not_intrinsic_to_sign,+740-900-003-806-033-705-235-055+
nonframe_continuing_095_692_705,H-28,705,non_frame,closure_not_intrinsic_to_sign,+595-000-705-634+
nonframe_terminal_125,H-50,125,non_frame,125_not_intrinsically_continuation_bearing,+740-406-590-741-406-125+
nonframe_terminal_125,H-55,125,non_frame,125_not_intrinsically_continuation_bearing,+390-004-002-861-125+
nonframe_continuing_095_692_705,H-103,705,non_frame,closure_not_intrinsic_to_sign,+159-097/520-033-705/740-717-220-415-806+
nonframe_continuing_095_692_705,H-130,705,non_frame,closure_not_intrinsic_to_sign,+409-032-845-033-705-231-806-002-595-812-125-717+
nonframe_continuing_095_692_705,H-136,705,non_frame,closure_not_intrinsic_to_sign,+405-585-033-705-235-000[
nonframe_continuing_095_692_705,H-137,705,non_frame,closure_not_intrinsic_to_sign,+740-443-388-033-705-233-002-817+
nonframe_continuing_095_692_705,H-175,705,non_frame,closure_not_intrinsic_to_sign,+167-705-368-005-741-060-920+
nonframe_continuing_095_692_705,H-206,705,non_frame,closure_not_intrinsic_to_sign,+740-642-240-204-705-621+
nonframe_continuing_095_692_705,H-225,095,non_frame,closure_not_intrinsic_to_sign,]850-095-000+
nonframe_continuing_095_692_705,H-363,692,non_frame,closure_not_intrinsic_to_sign,+692-892+
nonframe_continuing_095_692_705,H-369,705,non_frame,closure_not_intrinsic_to_sign,+368-033-705-031-741-390-741+
nonframe_continuing_095_692_705,H-383,705,non_frame,closure_not_intrinsic_to_sign,+740-585-017-033-705-002-000+
nonframe_continuing_095_692_705,H-455,705,non_frame,closure_not_intrinsic_to_sign,+520-033-705-002-172-032+
nonframe_terminal_125,H-467,125,non_frame,125_not_intrinsically_continuation_bearing,]741-390-125+
nonframe_continuing_095_692_705,H-639,705,non_frame,closure_not_intrinsic_to_sign,+407-000-000-705-832-904-845-235-002-717-747+
nonframe_continuing_095_692_705,H-641,705,non_frame,closure_not_intrinsic_to_sign,+405-061-740-100-503-705-000[
nonframe_continuing_095_692_705,H-649,705,non_frame,closure_not_intrinsic_to_sign,+520-033-705-233-240-806-002-820+
nonframe_continuing_095_692_705,H-660,095,non_frame,closure_not_intrinsic_to_sign,+520-095-033-706-240-798+
nonframe_continuing_095_692_705,H-717,705,non_frame,closure_not_intrinsic_to_sign,+705-904+
nonframe_continuing_095_692_705,H-768,705,non_frame,closure_not_intrinsic_to_sign,+400-740-033-705-233-235-000+
nonframe_terminal_125,H-894,125,non_frame,125_not_intrinsically_continuation_bearing,+700-125+
nonframe_terminal_125,K-5,125,non_frame,125_not_intrinsically_continuation_bearing,+520-233-240-803-741-125+
nonframe_terminal_125,Lh-1,125,non_frame,125_not_intrinsically_continuation_bearing,+740-760-615-104-717-235-002-392-590-125+
nonframe_terminal_125,M-1668,125,non_frame,125_not_intrinsically_continuation_bearing,+740-773-233-803-002-320-705-125+
nonframe_terminal_125,M-1903,125,non_frame,125_not_intrinsically_continuation_bearing,+740-861-125+
nonframe_terminal_125,M-13,125,non_frame,125_not_intrinsically_continuation_bearing,+368-304-125+
nonframe_terminal_125,M-191,125,non_frame,125_not_intrinsically_continuation_bearing,+090-125+
nonframe_terminal_125,M-320,125,non_frame,125_not_intrinsically_continuation_bearing,+740-176-741-390-125+
nonframe_terminal_125,M-354,125,non_frame,125_not_intrinsically_continuation_bearing,+740-729-407-845-236-002-906-125+
nonframe_terminal_125,M-761,125,non_frame,125_not_intrinsically_continuation_bearing,]002-741-455-125+
nonframe_terminal_125,M-878,125,non_frame,125_not_intrinsically_continuation_bearing,+740-900-005-741-390-125+
nonframe_terminal_125,M-1424,125,non_frame,125_not_intrinsically_continuation_bearing,+875-700-384-125+
nonframe_terminal_125,H-1178,125,non_frame,125_not_intrinsically_continuation_bearing,+700-125+
