"class","text_length","count","share_within_class"
"??","2+?","237","0.176734"
"??","3+?","222","0.165548"
"??","4+?","134","0.099925"
"??","4","123","0.091723"
"??","3","111","0.082774"
"??","5","99","0.073826"
"??","2","91","0.06786"
"??","5+?","67","0.049963"
"??","1+?","53","0.039523"
"??","6","52","0.038777"
"??","6+?","37","0.027591"
"??","7","37","0.027591"
"??","1","27","0.020134"
"??","7+?","20","0.014914"
"??","8","15","0.011186"
"??","9","5","0.003729"
"??","10","3","0.002237"
"??","8+?","3","0.002237"
"??","10+?","1","0.000746"
"??","11","1","0.000746"
"??","13","1","0.000746"
"??","16","1","0.000746"
"??","9+?","1","0.000746"
"2L","6","12","0.190476"
"2L","7","10","0.15873"
"2L","8","9","0.142857"
"2L","5","7","0.111111"
"2L","9","6","0.095238"
"2L","4","5","0.079365"
"2L","10","4","0.063492"
"2L","2","4","0.063492"
"2L","13","3","0.047619"
"2L","11","2","0.031746"
"2L","3","1","0.015873"
"3L","10","1","0.333333"
"3L","17","1","0.333333"
"3L","4","1","0.333333"
"AN","2","13","0.65"
"AN","1","7","0.35"
"CT","4","1","0.25"
"CT","5","1","0.25"
"CT","6","1","0.25"
"CT","8","1","0.25"
"IC","5","4","0.666667"
"IC","4","2","0.333333"
"IM","4","50","0.641026"
"IM","5","17","0.217949"
"IM","6","6","0.076923"
"IM","3","5","0.064103"
"IT","5","116","0.42029"
"IT","4","73","0.264493"
"IT","6","59","0.213768"
"IT","7","15","0.054348"
"IT","3","9","0.032609"
"IT","9","3","0.01087"
"IT","10","1","0.003623"
"LC","6","60","0.472441"
"LC","7","37","0.291339"
"LC","8","16","0.125984"
"LC","9","7","0.055118"
"LC","10","6","0.047244"
"LC","12","1","0.007874"
"LP","7","97","0.457547"
"LP","8","43","0.20283"
"LP","9","28","0.132075"
"LP","6","16","0.075472"
"LP","10","12","0.056604"
"LP","11","7","0.033019"
"LP","12","3","0.014151"
"LP","13","3","0.014151"
"LP","5","3","0.014151"
"LT","7","22","0.578947"
"LT","11","11","0.289474"
"LT","6","4","0.105263"
"LT","5","1","0.026316"
"MS","5","21","0.238636"
"MS","7","20","0.227273"
"MS","6","19","0.215909"
"MS","8","15","0.170455"
"MS","4","11","0.125"
"MS","9","2","0.022727"
"MT","4","111","0.336364"
"MT","3","93","0.281818"
"MT","5","66","0.2"
"MT","6","31","0.093939"
"MT","2","15","0.045455"
"MT","7","14","0.042424"
"NU","1","140","0.838323"
"NU","2","24","0.143713"
"NU","3","3","0.017964"
"NV","2","60","0.952381"
"NV","3","3","0.047619"
"PA","7","6","0.6"
"PA","4","2","0.2"
"PA","5","2","0.2"
"PN","2","45","0.849057"
"PN","1","4","0.075472"
"PN","3","4","0.075472"
"SC","3","210","0.346535"
"SC","2","176","0.290429"
"SC","4","130","0.214521"
"SC","5","86","0.141914"
"SC","7","2","0.0033"
"SC","6","1","0.00165"
"SC","9","1","0.00165"
"SP","5","130","0.577778"
"SP","6","76","0.337778"
"SP","4","17","0.075556"
"SP","3","1","0.004444"
"SP","7","1","0.004444"
"SS","2","296","0.417489"
"SS","3","252","0.35543"
"SS","4","145","0.204513"
"SS","5","16","0.022567"
"TS","1","166","0.988095"
"TS","2","2","0.011905"
"UC","1+?","254","0.381381"
"UC","2+?","210","0.315315"
"UC","3+?","115","0.172673"
"UC","4+?","51","0.076577"
"UC","5+?","25","0.037538"
"UC","6+?","7","0.010511"
"UC","1","1","0.001502"
"UC","10+?","1","0.001502"
"UC","5","1","0.001502"
"UC","7+?","1","0.001502"
"VN","2","336","0.946479"
"VN","1","17","0.047887"
"VN","3","2","0.005634"
"VX","3","10","0.37037"
"VX","4","10","0.37037"
"VX","5","6","0.222222"
"VX","6","1","0.037037"
"ZN","1","29","0.659091"
"ZN","2","15","0.340909"
