"corpus","scope","holdout_policy","control","null_control_status","metric","iterations","observed","null_mean","null_p05","null_median","null_p95","null_max","null_ge_observed_share"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","admissible","stored_win_share","200","0.94772","0.492008","0.46663","0.49277","0.515573","0.528921","0"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","row_internal_shuffle","admissible","stored_win_share","200","0.94772","0.496012","0.469967","0.496663","0.521135","0.543938","0"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","position_slot_shuffle","admissible","stored_win_share","200","0.94772","0.919844","0.911012","0.919911","0.928254","0.932703","0"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","edge_frame_shuffle","admissible","stored_win_share","200","0.94772","0.90644","0.898776","0.906563","0.912681","0.916574","0"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","register_position_shuffle","admissible","stored_win_share","200","0.94772","0.932798","0.926029","0.932703","0.938821","0.94327","0"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","register_edge_interior_shuffle","admissible","stored_win_share","200","0.94772","0.913996","0.907119","0.914349","0.919911","0.922136","0"
"Indus_Lipi","exact_text_collapsed","leave_source_convention_out","global_token_shuffle","admissible","stored_win_share","200","0.946607","0.490851","0.46941","0.489989","0.515017","0.528921","0"
"Indus_Lipi","exact_text_collapsed","leave_source_convention_out","row_internal_shuffle","admissible","stored_win_share","200","0.946607","0.496224","0.473304","0.496663","0.517241","0.538376","0"
"Indus_Lipi","exact_text_collapsed","leave_source_convention_out","position_slot_shuffle","admissible","stored_win_share","200","0.946607","0.919511","0.911568","0.919355","0.927141","0.932703","0"
"Indus_Lipi","exact_text_collapsed","leave_source_convention_out","edge_frame_shuffle","admissible","stored_win_share","200","0.946607","0.905801","0.89822","0.905451","0.913237","0.919911","0"
"Indus_Lipi","exact_text_collapsed","leave_source_convention_out","register_position_shuffle","admissible","stored_win_share","200","0.946607","0.929633","0.923248","0.929922","0.936596","0.939377","0"
"Indus_Lipi","exact_text_collapsed","leave_source_convention_out","register_edge_interior_shuffle","admissible","stored_win_share","200","0.946607","0.91255","0.907119","0.912681","0.918799","0.921023","0"
"Indus_Lipi","exact_text_collapsed","leave_edge_frame_out","global_token_shuffle","admissible","stored_win_share","200","0.947164","0.487606","0.464405","0.487208","0.512792","0.528365","0"
"Indus_Lipi","exact_text_collapsed","leave_edge_frame_out","row_internal_shuffle","admissible","stored_win_share","200","0.947164","0.489269","0.466073","0.489433","0.513348","0.521691","0"
"Indus_Lipi","exact_text_collapsed","leave_edge_frame_out","position_slot_shuffle","admissible","stored_win_share","200","0.947164","0.920314","0.911568","0.920467","0.928254","0.932703","0"
"Indus_Lipi","exact_text_collapsed","leave_edge_frame_out","edge_frame_shuffle","admissible","stored_win_share","200","0.947164","0.906838","0.899333","0.906563","0.914905","0.919911","0"
"Indus_Lipi","exact_text_collapsed","leave_edge_frame_out","register_position_shuffle","admissible","stored_win_share","200","0.947164","0.932172","0.926029","0.932147","0.938265","0.940489","0"
"Indus_Lipi","exact_text_collapsed","leave_edge_frame_out","register_edge_interior_shuffle","admissible","stored_win_share","200","0.947164","0.912978","0.906007","0.912681","0.919911","0.92436","0"
