id,object,site,type,symbol,cult,shape,material,prev,head,branch,terminal,tail,text
13.1,Ad-8,Allahdino,MISC,Elep,SAN,square,Clay,503,861,000,true,<END>,+740-440-503-002-861-000+
19.1,Blk-1,Bala-kot,SEAL:S,Bull1,NA,square,NA,003,297,350,false,125 413,+226-003-002-297-350-125-413+
20.1,Blk-2,Bala-kot,SEAL:S,Bull1,R,square,NA,061,368,634,true,<END>,+390-717-061-002-368-634+
27.1,B-1,Banawali,SEAL:S,Bull1:O,HAF,square,Steatite,220,368,550,false,821,+090-740-220-002-368-550-821+
37.1,B-17,Banawali,SEAL:S,Htgr,HBF,square,Steatite,236,308,072,true,<END>,+236-002-308-072+
78.1,C-71,Chanhu-daro,SEAL:S,Bull1,NA,square,Steatite,861,906,003,true,<END>,+000-000-000/000-861-002-906-003+
82.1,C-57,Chanhu-daro,SEAL:S,Bull1:W,SAF,square,Steatite,840,296,530,false,000,+740-032-840-002-296-530-000+
89.1,C-1,Chanhu-daro,SEAL:S,Bull1,NA,square,Steatite,101,365,287,false,034,+031-840-140-740-101-002-365-287-034+
91.1,C-3,Chanhu-daro,SEAL:S,Bull1:W,SAN,square,Steatite,016,920,317,true,<END>,+740-016-002-920-317+
93.1,C-5,Chanhu-daro,SEAL:S,Bull1:I,RBF,square,Steatite,717,298,741,true,<END>,+740-140-717-002-298-741+
94.1,C-6,Chanhu-daro,SEAL:S,Bull1:J,RAN,square,Steatite,221,031,500,true,<END>,+817-521-521/090-740-221-002-031-500+
125.1,Dlp-3,Desalpur,TAG,NA,NA,rectangular,NA,032,892,740,true,<END>,+394-032-002-892-740+
216.1,-:216.1,Baror,SEAL:S,Bull1:I,SAF,square,Steatite,000,257,550,true,<END>,+000-000-002-257-550+
256.1,H-1038,Harappa,SEAL:S,Bull1:I,NA,square,Steatite,519,297,000,true,<END>,+740-519-002-297-000[
293.1,H-1033,Harappa,SEAL:S,Bull1:W,NA,square,Steatite,520,862,032,true,<END>,+220-500-520-002-862-032+
370.1,H-2016,Harappa,TAB:B,NA,NA,rectangular,Clay,176,920,491,true,<END>,+317-740-335-740-176-002-920-491+
388.2,H-1874,Harappa,TAB:B,NA,NA,rectangular,Faience,<START>,220,455,false,000,+002-220-455-000+
476.2,H-2094,Harappa,TAB:I,NA,NA,rectangular,Steatite,<START>,861,416,true,<END>,+002-861-416+
488.2,H-2097,Harappa,TAB:I,NA,NA,rectangular,Steatite,<START>,861,416,true,<END>,+002-861-416+
513.1,H-1671,Harappa,SEAL:S,Bull1:S,RAN,square,NA,061,455,420,false,032,+740-061-002-455-420-032+
518.2,H-2095,Harappa,TAB:I,NA,NA,rectangular,NA,<START>,861,416,true,<END>,+002-861-416+
543.1,-:543.1,Harappa,POT:T:g,NA,NA,NA,Clay,064,003,861,true,<END>,+000-480-003-064-002-003-861+
604.1,H-2338,Harappa,POT:T:g,NA,NA,NA,Clay,061,575,000,true,<END>,]740-061-002-575-000[
617.1,-:617.1,Harappa,POT:T:g,NA,NA,NA,Clay,000,575,000,true,<END>,]740-000-000-002-575-000[
621.1,-:621.1,Harappa,TAB:I,NA,NA,rectangular,Steatite,<START>,861,416,true,<END>,+002-861-416+
623.1,H-1706,Harappa,SEAL:R,NA,NA,cuboid-convex,Steatite,003,293,360,true,<END>,+405-003-002-293-360+
665.2,H-2096,Harappa,TAB:I,NA,NA,rectangular,NA,<START>,861,416,true,<END>,+002-861-416+
744.2,H-1993,Harappa,TAB:B,NA,NA,rectangular,Clay,004,390,095,true,<END>,+740-000-220-004-002-390-095+
1020.1,H-1657,Harappa,SEAL:S,Bull1:W,SAN,square,Steatite,032,690,921,true,<END>,+740-405-590-032-900-003-806-235-220-032-002-690-921+
1064.1,H-3,Harappa,SEAL:S,Bull1:W,SAN,square,Steatite,017,611,615,false,703,+740-585-017-002-611-615-703+
1069.1,H-8,Harappa,SEAL:S,Bull1:W,SAN,square,Steatite,706,690,921,true,<END>,+354-001-740-405-590-033-706-002-690-921+
1082.1,H-22,Harappa,SEAL:S,Bull1:W,SAN,square,Steatite,806,405,321,true,<END>,+740-920-320-233-806-002-405-321+
1091.1,H-31,Harappa,SEAL:S,Bull1:W,SAN,square,Steatite,240,365,374,false,000,+740-100-415-240-002-365-374-000+
1103.1,H-44,Harappa,SEAL:S,Bull1:W,SAN,square,Steatite,803,031,892,true,<END>,+520-033-706-235-798-803-002-031-892+
1114.1,H-55,Harappa,SEAL:S,Bull1:X,SAF,square,Steatite,004,861,125,true,<END>,+390-004-002-861-125+
1127.1,H-68,Harappa,SEAL:S,Bull1:I,RAN,square,Steatite,003,390,072,true,<END>,+090-740-220-003-002-390-072+
1132.1,H-74,Harappa,SEAL:S,Bull1:J,RAN,square,Steatite,<START>,610,125,false,032,+002-610-125-032+
1135.1,H-78,Harappa,SEAL:S,Gaur,Trough,square,Steatite,806,575,000,true,<END>,]000-806-002-575-000+
1139.1,H-82,Harappa,SEAL:S,Gaur,Trough,square,Steatite,017,220,455,false,741,+390-017-002-220-455-741+
1170.1,H-129,Harappa,SEAL:R,NA,NA,cuboid-convex,Steatite,031,861,244,false,165,+409-061-740-235-220-031-002-861-244-165+
1171.1,H-130,Harappa,SEAL:R,NA,NA,rectangular,NA,806,595,812,false,125 717,+409-032-845-033-705-231-806-002-595-812-125-717+
1172.1,H-131,Harappa,SEAL:R,NA,NA,cuboid-convex,Steatite,055,595,575,false,794 000,+740-032-840-233-240-033-706-055-002-595-575-794-000+
1182.1,H-141,Harappa,SEAL:R,NA,NA,cuboid-convex,Steatite,070,233,235,true,<END>,+405-032-900-003-070-002-233-235+
1277.1,H-252,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1278.1,H-253,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1279.1,H-254,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1280.1,H-255,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1281.1,H-256,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1282.1,H-257,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1283.1,H-258,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1284.1,H-259,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1285.1,H-260,Harappa,TAB:B,Bull1,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1286.1,H-261,Harappa,TAB:B,Bull1:I,NA,cylindrical,Clay,240,405,501,true,<END>,+520-240-002-405-501+
1287.1,H-262,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1288.1,H-263,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1289.1,H-264,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1290.1,H-265,Harappa,TAB:B,Bull1,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1293.1,H-268,Harappa,SEAL:S,Bull1:W,SAN,square,Steatite,803,220,455,false,920,+740-585-017-033-706-803-002-220-455-920+
1296.1,H-272,Harappa,SEAL:S,Bull1,NA,square,Steatite,240,305,032,false,904,+740-585-017-240-002-305-032-904+
1298.1,H-276,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1299.1,H-277,Harappa,TAB:B,Bull1,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1399.1,H-385,Harappa,SEAL:S,Bull1:W,SAF,square,Steatite,220,595,632,false,354 850,+000-220-002-595-632-354-850+
1402.1,H-389,Harappa,SEAL:S,Bull1:W,SAN,square,NA,235,031,480,false,625,+740-405-590-235-002-031-480-625+
1413.1,H-408,Harappa,SEAL:S,Bull1:W,SAN,square,Steatite,240,702,503,true,<END>,+740-176-240-002-702-503+
1426.1,H-426,Harappa,SEAL:S,Bull1,NA,square,Steatite,235,460,511,true,<END>,]000-240-235-002-460-511+
1436.1,H-446,Harappa,SEAL:S,Bull1:J,SAN,square,Steatite,798,861,216,true,<END>,+740-585-798-002-861-216+
1445.1,H-455,Harappa,SEAL:S,Bull1:J,SAN,square,Steatite,705,172,032,true,<END>,+520-033-705-002-172-032+
1446.1,H-456,Harappa,SEAL:S,Bull1:I,SAN,square,Steatite,706,817,808,true,<END>,+520-033-706-002-817-808+
1450.1,H-461,Harappa,SEAL:S,Bull1:S,SAF,square,Steatite,384,452,000,true,<END>,+090-740-384-002-452-000+
1452.1,H-464,Harappa,SEAL:S,Bull1:U,SAF,square,Steatite,176,798,590,false,032,+000-176-002-798-590-032+
1456.1,H-468,Harappa,SEAL:S,Bull1:J,HAF,square,Steatite,003,940,705,true,<END>,+740-900-003-002-940-705+
1474.1,H-486,Harappa,SEAL:S,Bull1,NA,square,Steatite,<START>,000,861,false,031,]002-000-861-031+
1537.1,H-593,Harappa,SEAL:S,NA,NA,square,Steatite,240,220,000,true,<END>,+740-760-235-240-002-220-000[
1541.2,H-598,Harappa,SEAL:S,Bull1:W,SAN,square,NA,240,435,255,false,777,+740-639-240-002-435-255-777+
1543.1,H-600,Harappa,SEAL:S,Bull1:I,SAF,square,Steatite,<START>,368,260,true,<END>,+002-368-260+
1549.1,H-609,Harappa,SEAL:S,Bull1:W,SAN,square,Steatite,231,817,000,true,<END>,]798-233-231-002-817-000+
1551.1,H-611,Harappa,SEAL:S,NA,NA,square,Steatite,550,125,590,true,<END>,+527-550-002-125-590+
1554.1,H-639,Harappa,SEAL:R,NA,NA,cuboid-convex,NA,235,717,747,true,<END>,+407-000-000-705-832-904-845-235-002-717-747+
1594.1,H-688,Harappa,SEAL,NA,NA,NA,NA,233,861,831,false,165,+520-233-002-861-831-165+
1665.1,H-773,Harappa,TAB:B,NA,NA,plano-convex,Faience,803,390,530,false,741,+740-798-803-002-390-530-741+
1700.1,H-811,Harappa,TAB:B,NA,NA,twisted rectangular,Faience,176,920,491,true,<END>,+317-740-335-740-176-002-920-491+
1742.1,H-859,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1743.1,H-860,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1744.1,H-861,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1745.1,H-862,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
