"checked_date","variant_family","adjacent_pattern","exact_text_class","cisi_prefix","is_h2218_h2239","site","type","shape","material","has_companion_861_003","has_companion_156_003","has_companion_154_003","has_companion_400_740_176","row_count","accepted_decipherment_claim"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","POT:T:g","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","-","0","Harappa","POT:T:g","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","circular","Faience","0","0","0","0","3","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","cylindrical","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","cylindrical","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","hexagonal","Faience","0","0","0","0","2","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","isosceles trapezoid","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","leaf","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","prism","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","rectangular","-","0","0","0","0","2","0"
"2026-05-25","033_vs_034","033_700","+033-700+","-","0","Harappa","TAB:B","rectangular","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","rectangular","Faience","0","0","0","0","10","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","rectangular-round","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:B","twisted rectangular","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:I","leaf","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","0","3","0"
"2026-05-25","033_vs_034","033_700","+033-700+","H","0","Harappa","TAB:I","rectangular-round","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","non_exact_or_longer","H","0","Harappa","TAB:B","oval","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","non_exact_or_longer","H","0","Harappa","TAB:I","prism","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","033_700","non_exact_or_longer","M","0","Mohenjo-daro","SEAL:S","square","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","034_700","+034-700+","H","0","Harappa","TAB:B","prism","-","0","0","0","0","1","0"
