cisi,id,site,type,symbol,cult,shape,text,position_index0,text_len,prev2,next2,terminal_125,immediate_after_861,immediate_after_002_861,in_390004_frame,class
Ad-2,7.1,Allahdino,SEAL:S,Bull1:J,SAN,square,+368-390-125-033+,2,4,368 390,033,False,False,False,False,other_125_context
Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,square,+226-003-002-297-350-125-413+,5,7,297 350,413,False,False,False,False,other_125_context
C-74,76.1,Chanhu-daro,SEAL:S,Gaur,Trough,square,+125-002-861+,0,3,,002 861,False,False,False,False,other_125_context
H-1921,498.1,Harappa,TAB:B,None,None,circular,+125-700-033+,0,3,,700 033,False,False,False,False,other_125_context
H-1946,658.3,Harappa,TAB:B,None,None,prism,+700-125+,1,2,700,,True,False,False,False,other_125_context
H-1710,932.1,Harappa,SEAL:R,None,None,rectangular,+090-326-700-920-125-001-055-920-140+,4,9,700 920,001 055,False,False,False,False,other_125_context
H-10,1071.1,Harappa,SEAL:S,Bull1:W,SAO,square,+820-302-596-018-125-381+,4,6,596 018,381,False,False,False,False,other_125_context
H-11,1072.1,Harappa,SEAL:S,Bull1:W,SAN,square,+000-125-204+,1,3,000,204,False,False,False,False,other_125_context
H-50,1109.1,Harappa,SEAL:S,Bull1:W,SAN,square,+740-406-590-741-406-125+,5,6,741 406,,True,False,False,False,other_125_context
H-52,1111.1,Harappa,SEAL:S,Bull1:J,RAN,square,+740-390-590-125-741-000-000+,3,7,390 590,741 000,False,False,False,False,other_125_context
H-55,1114.1,Harappa,SEAL:S,Bull1:X,SAF,square,+390-004-002-861-125+,4,5,002 861,,True,True,True,True,post_002_861_125
H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,square,+002-610-125-032+,2,4,002 610,032,False,False,False,False,other_125_context
H-130,1171.1,Harappa,SEAL:R,None,None,rectangular,+409-032-845-033-705-231-806-002-595-812-125-717+,10,12,595 812,717,False,False,False,False,other_125_context
H-246,1271.2,Harappa,TAB:B,None,None,circular,+125-700-033+,0,3,,700 033,False,False,False,False,other_125_context
H-467,1455.1,Harappa,SEAL:S,Bull1:J,RAN,square,]741-390-125+,2,3,741 390,,True,False,False,False,other_125_context
H-611,1551.1,Harappa,SEAL:S,None,None,square,+527-550-002-125-590+,3,5,550 002,590,False,False,False,False,other_125_context
H-642,1557.1,Harappa,SEAL:R,None,None,cuboid-convex,+001-304-354-125-812-033+,3,6,304 354,812 033,False,False,False,False,other_125_context
H-894,1776.2,Harappa,TAB:I,None,None,rectangular,+700-125+,1,2,700,,True,False,False,False,other_125_context
K-5,1880.1,Kalibangan,SEAL:S,Bull1:W,SAN,square,+520-233-240-803-741-125+,5,6,803 741,,True,False,False,False,other_125_context
Lh-1,1981.1,Lohumjo-daro,SEAL:S,Bull1:S,SAN,square,+740-760-615-104-717-235-002-392-590-125+,9,10,392 590,,True,False,False,False,other_125_context
L-193,2115.3,Lothal,TAG,Bull1,-,-,+125-070[,0,2,,070,False,False,False,False,other_125_context
M-1749,2195.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,+220-455-125-031+,2,4,220 455,031,False,False,False,False,other_125_context
M-1692,2226.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,square,+390-600-617-002-190-125-632-032+,5,8,002 190,632 032,False,False,False,False,other_125_context
M-1688,2231.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,+125-435-255-002-286-220-031-012-031-455-033-590+,0,12,,435 255,False,False,False,False,other_125_context
M-1668,2270.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,+740-773-233-803-002-320-705-125+,7,8,320 705,,True,False,False,False,other_125_context
M-1903,2471.1,Mohenjo-daro,SEAL:S,Buff,Trough,square,+740-861-125+,2,3,740 861,,True,True,False,False,other_125_context
M-1665,2473.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,+520-033-705-233-240-002-610-125-032+,7,9,002 610,032,False,False,False,False,other_125_context
M-1700,2517.1,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,+400-125-745+,1,3,400,745,False,False,False,False,other_125_context
M-13,2541.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,+368-304-125+,2,3,368 304,,True,False,False,False,other_125_context
M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,+740-690-435-255-220-032-240-235-002-390-125-632-032+,10,13,002 390,632 032,False,False,False,False,other_125_context
M-41,2569.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,+740-636-240-233-235-002-405-125-820+,7,9,002 405,820,False,False,False,False,other_125_context
M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,+151-337-484-002-390-125-632-032-900-563+,5,10,002 390,632 032,False,False,False,False,other_125_context
M-191,2716.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,square,+090-125+,1,2,090,,True,False,False,False,other_125_context
M-251,2774.1,Mohenjo-daro,SEAL:S,Gaur,Trough,square,+390-003-002-125-350+,3,5,003 002,350,False,False,False,False,other_125_context
M-314,2832.1,Mohenjo-daro,SEAL:S,None,None,square,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+,3,17,817 390,308 809,False,False,False,False,other_125_context
M-320,2838.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,+740-176-741-390-125+,4,5,741 390,,True,False,False,False,other_125_context
M-354,2850.1,Mohenjo-daro,SEAL:R,None,None,cuboid-convex,+740-729-407-845-236-002-906-125+,7,8,002 906,,True,False,False,False,other_125_context
M-356,2852.1,Mohenjo-daro,SEAL:R,None,None,cuboid-convex,+400-595-420-125-032-820-920-140+,3,8,595 420,032 820,False,False,False,False,other_125_context
M-624,3075.1,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,+190-125-575+,1,3,190,575,False,False,False,False,other_125_context
M-626,3077.1,Mohenjo-daro,SEAL:S,Bull1:J,S,square,+842-374-125/740-803-060-692-740-690-435-255-060-692+,2,13,842 374,740 803,False,False,False,False,other_125_context
M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,square,+740-760-235-002-390-125-195+,5,7,002 390,195,False,False,False,False,other_125_context
M-761,3184.1,Mohenjo-daro,SEAL:S,Bull1,-,square,]002-741-455-125+,3,4,741 455,,True,False,False,False,other_125_context
M-837,3249.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,+740-142-061-031-741-125-575+,5,7,031 741,575,False,False,False,False,other_125_context
M-848,3260.1,Mohenjo-daro,SEAL:S,Bull1,-,square,+406-125-176+,1,3,406,176,False,False,False,False,other_125_context
M-878,3286.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,square,+740-900-005-741-390-125+,5,6,741 390,,True,False,False,False,other_125_context
M-901,3306.1,Mohenjo-daro,SEAL:S,Bull1,-,square,+090-125-002-861+,1,4,090,002 861,False,False,False,False,other_125_context
M-1188,3539.1,Mohenjo-daro,SEAL:S,None,None,square,]000/000-125-632-032/240-002-244-632+,2,9,000 000,632 032,False,False,False,False,other_125_context
