id,cisi,site,type,symbol,shape,cross_section,material,condition,direction,class,area_section,block_house,room_grid,excavation_idno,period,phase,depth,horizontal_mm,vertical_mm,thickness_mm,text,text_length,prefix,prefix_len,prefix_last1,prefix_last2,prefix_last3,tail,tail_len,tail_bucket,register_key,broad_register_key,no_icon_sealr,mohenjo_seals_square,terminal_after_tail,template_key,source_kind,source_status,source_quality,source_route,source_note,source_limit,source_leaf,printed_page,route_status,display_image,same_last2_bare_count,same_last1_bare_count,same_register_bare_count,same_broad_register_bare_count,line_width_px,pre_tail_width_px,tail_width_px,tail_start_share_of_line,tail_width_share_of_line,layout_status,layout_observation
13.1,Ad-8,Allahdino,MISC,Elep,square,-,Clay,Fair,R/L,??,--,G6SE Quad,--,AD74-67,-,-,-0.20 cm,32,33,7,+740-440-503-002-861-000+,6,740 440 503,3,503,440 503,740 440 503,000,1,other_post861_tail,Allahdino|MISC|Elep|square,Allahdino|MISC|Elep,False,False,True,+740-440-503-002-861-TAIL+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,0,0,0,0,,,,,,,
18.1,-,Bakkar Buthi,POT:T:g,None,-,-,Clay,Poor,R/L,IM,--,--,--,-,-,-,- -,0,0,0,+405-844-032-840-002-861+,6,405 844 032 840,4,840,032 840,844 032 840,<END>,0,bare_closure,Bakkar Buthi|POT:T:g|None|-,Bakkar Buthi|POT:T:g|None,False,False,True,+405-844-032-840-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,1,1,1,1,,,,,,,
62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,square,-,Steatite,Good,R/L,??,--,--,loc. 286sq. 9/D,CH 2428Pl. LII:19,-,-,+9.7 ft,25.4,25.4,8.8 - 12.4,+000-100-240-220-032-002-861+,7,000 100 240 220 032,5,032,220 032,240 220 032,<END>,0,bare_closure,Chanhu-daro|SEAL:S|Bull1:W|square,Chanhu-daro|SEAL:S|Bull1:W,False,False,True,+000-100-240-220-032-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,5,8,2,2,,,,,,,
69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,square,-,Steatite,Good,R/L,SP,--,--,loc. 159sq; 6/F,CH 2605Pl. LII:24,-,-,+8.4 ft,27.9,27.7,0 - 13,+740-176-032-002-861+,5,740 176 032,3,032,176 032,740 176 032,<END>,0,bare_closure,Chanhu-daro|SEAL:S|Bull1:W|square,Chanhu-daro|SEAL:S|Bull1:W,False,False,True,+740-176-032-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,1,8,2,2,,,,,,,
76.1,C-74,Chanhu-daro,SEAL:S,Gaur,square,-,Steatite,Fair,R/L,IM,--,--,loc. 283sq. 9/D,CH 3215Pl. LI:14,-,-,+6.9 ft,19.8,19.1,0 - 10.9,+125-002-861+,3,125,1,125,125,125,<END>,0,bare_closure,Chanhu-daro|SEAL:S|Gaur|square,Chanhu-daro|SEAL:S|Gaur,False,False,True,+125-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,1,2,1,1,,,,,,,
132.1,-,Dholavira,SEAL:S,Tigr,square,-,Steatite,Fair,R/L,IT,--,--,--,358,-,-,- -,27,26,1.3,+740-416-002-861+,4,740 416,2,416,740 416,740 416,<END>,0,bare_closure,Dholavira|SEAL:S|Tigr|square,Dholavira|SEAL:S|Tigr,False,False,True,+740-416-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,1,2,1,1,,,,,,,
136.1,-,Dholavira,SEAL:R,None,rectangular,-,Steatite,Good,R/L,IM,--,--,--,377,-,-,- -,34,35,1.5,+390-016-002-861+,4,390 016,2,016,390 016,390 016,<END>,0,bare_closure,Dholavira|SEAL:R|None|rectangular,Dholavira|SEAL:R|None,False,False,True,+390-016-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,1,3,1,2,,,,,,,
145.1,Dlv-1,Dholavira,SEAL:S,Bull1:J,square,rectangular,-,Poor,R/L,SP,--,--,--,-,-,-,- -,20,21,0,+151-382-031-002-861+,5,151 382 031,3,031,382 031,151 382 031,<END>,0,bare_closure,Dholavira|SEAL:S|Bull1:J|square,Dholavira|SEAL:S|Bull1:J,False,False,True,+151-382-031-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,1,5,1,1,,,,,,,
259.1,H-1051,Harappa,SEAL:S,Bull1:I,square,-,Steatite,Poor,R/L,LP,FGranery,--,-I9/13,2281119,-,Stratum IV,-8.5 ft,20.3,20.3,0,+400-740-575-017-920-320-798-002-861+,9,400 740 575 017 920 320 798,7,798,320 798,920 320 798,<END>,0,bare_closure,Harappa|SEAL:S|Bull1:I|square,Harappa|SEAL:S|Bull1:I,False,False,True,+400-740-575-017-920-320-798-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,1,6,1,1,,,,,,,
284.1,H-1030,Harappa,SEAL:S,Bull1:W,square,-,-,Good,R/L,IT,D-,--,-Q31/18,3975035,-,Stratum II,-4.0 ft,27.9,27.9,0,+090-740-103-002-861+,5,090 740 103,3,103,740 103,090 740 103,<END>,0,bare_closure,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W,False,False,True,+090-740-103-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,1,1,4,4,,,,,,,
