penult,is_target_governor,evaluated_rows,top1_accuracy,top3_accuracy,mean_true_probability,mean_global_true_probability,mean_effective_candidates,mean_train_options,mean_surprisal_delta_bits
002,Y,313,0.2939297124600639,0.8562300319488818,0.24417669893741492,0.044520227478046036,6.224615013582936,25.25878594249201,2.4327606974779403
060,Y,143,0.34965034965034963,0.6363636363636364,0.19376954948229158,0.02311669250409826,6.748682739174988,14.867132867132867,3.057723779597657
740,N,133,0.07518796992481203,0.09022556390977443,0.008540649542151162,0.0053709813218126325,54.06583473522742,59.63157894736842,1.5189213473031156
220,N,56,0.23214285714285715,0.2857142857142857,0.0704244851060889,0.014037154611440745,13.740395385786659,19.482142857142858,2.356232094686322
032,N,55,0.01818181818181818,0.01818181818181818,0.012917592211709858,0.006644131742719232,20.457835577759525,22.490909090909092,2.6909748665833493
390,N,55,0.12727272727272726,0.12727272727272726,0.022135884537070317,0.0076491873712972525,18.6933383477539,20.70909090909091,2.820006280505275
741,N,43,0,0.023255813953488372,0.005100842310144635,0.006498938407880031,21.75114676893014,22.697674418604652,1.665881365169998
368,N,42,0.2857142857142857,0.3333333333333333,0.08726738448909732,0.024444621934579826,10.589597160730754,13.976190476190476,2.266741635576339
001,N,37,0.2972972972972973,0.40540540540540543,0.07520377520377518,0.021543872936004203,12.454626890375266,15.486486486486486,2.293251856577902
033,N,37,0.02702702702702703,0.21621621621621623,0.02582923832923833,0.00907325090824817,12.214471356717008,14.837837837837839,3.4338782634886957
031,N,36,0.05555555555555555,0.1111111111111111,0.014786920477457563,0.007290903420574392,20.47559693381227,21.75,3.8528688797801047
705,N,25,0.04,0.16,0.04092924126172208,0.01037934668222652,11.742495412969342,12.44,2.5967158378594357
840,N,25,0.16,0.4,0.04956776556776557,0.011280834996127026,9.09084430516995,10.28,5.3850024684974915
861,N,25,0,0.08,0.011666666666666665,0.005636652596967824,12.128168439735347,12.8,2.573787089637147
003,N,23,0.13043478260869565,0.21739130434782608,0.02892469848991588,0.008355200689485077,12.887193360122383,13.478260869565217,2.68944973451644
233,N,23,0.2608695652173913,0.34782608695652173,0.1128403601229688,0.01185153474038413,6.256933116032422,7.304347826086956,3.5017928196690944
240,N,23,0.391304347826087,0.6521739130434783,0.2177865612648222,0.015737814129998088,4.925386577737421,6.130434782608695,3.7382382864594117
520,N,23,0,0,0.007246376811594202,0.010849996975514822,8.195301962809582,8.304347826086957,3.958420896248601
400,N,22,0,0,0,0.0017731106418571992,8.181646147520507,8.272727272727273,
590,N,21,0.09523809523809523,0.19047619047619047,0.03767752715121136,0.010527100098599052,11.018681214399745,11.857142857142858,2.5535176810827007
920,N,19,0.05263157894736842,0.3157894736842105,0.07819487444100447,0.007151750919063938,4.794036120855516,5.421052631578948,3.9382401029941745
125,N,18,0,0.05555555555555555,0.03555866791160909,0.014460499398768796,9.305733339917083,9.777777777777779,2.407805860084619
151,N,18,0,0.05555555555555555,0.020667989417989415,0.005507200267877749,7.960922104658214,8.222222222222221,5.202606106969974
156,N,18,0,0,0,0.011409829253278624,7.333333333333333,7.333333333333333,
900,N,18,0.05555555555555555,0.2222222222222222,0.02446072446072446,0.006587866291333771,8.835332500630297,9.11111111111111,2.7904914626857424
100,N,17,0,0.47058823529411764,0.1632798573975045,0.010476259917494332,4.704392052173933,5.352941176470588,4.236038721551587
255,N,17,0,0,0,0.0066814850096583835,7.468805593565077,7.823529411764706,
405,N,17,0.058823529411764705,0.058823529411764705,0.03361344537815126,0.007028180368063891,7.065431759364727,7.411764705882353,3.778906599993436
550,N,17,0.058823529411764705,0.058823529411764705,0.0058823529411764705,0.014142289192474424,6.60541033246065,6.9411764705882355,2.3785116232537296
706,N,17,0,0.058823529411764705,0.014705882352941176,0.010383544493560945,7.409395186018208,7.588235294117647,3.121911557555425
892,N,17,0.058823529411764705,0.058823529411764705,0.03823529411764706,0.006772295303649226,7.073511294663002,7.352941176470588,4.88506521409628
415,N,16,0,0.0625,0.017857142857142856,0.013583384991215223,5.685232803066274,6.25,5.188540679609659
140,N,15,0,0.06666666666666667,0.018461538461538463,0.012264306353808183,5.924634918617431,6.2,1.9170117255559542
798,N,15,0,0,0,0.01219817131600908,9.252858603455403,9.4,
806,N,15,0.26666666666666666,0.5333333333333333,0.1238095238095238,0.00096466236817114,5.219603846107405,5.466666666666667,7.240431156205849
176,N,14,0,0,0.03327228327228327,0.009744558013626408,6.770191992769917,6.928571428571429,2.8470615132001433
013,N,13,0.15384615384615385,0.46153846153846156,0.16472416472416473,0.047150398333460304,3.740472332105829,4.538461538461538,1.7022312536987654
760,N,12,0,0,0.024305555555555552,0.004124210665182505,6.667262865633249,6.833333333333333,6.936589867595229
820,N,12,0.25,0.25,0.046969696969696974,0.007544496252217248,4.79560889667535,5.25,3.6706913922035267
231,N,9,0.3333333333333333,0.4444444444444444,0.15000000000000002,0.01321010021856653,4.395143235091407,4.666666666666667,4.285245122627818
717,N,9,0.1111111111111111,0.2222222222222222,0.036111111111111115,0.011141379783190512,4.795240629455997,4.888888888888889,3.828568386748351
004,N,8,0,0.125,0.04285714285714286,0.010415422759565812,4.148593332990336,4.375,6.646043705024767
463,N,8,0,0,0,0.005437784754176335,5.5,5.5,
742,N,8,0,0,0.03869047619047619,0.014824674309534908,4.986535070079647,5.125,1.510948839411493
790,N,8,0.375,0.375,0.08571428571428572,0.011658104049133632,4.551661176292901,4.875,3.1322976928895243
700,N,7,0,0.42857142857142855,0.04789915966386555,0.016354945172883793,12.921569469022497,14.142857142857142,2.827489352065868
235,N,5,0.2,0.4,0.09999999999999999,0.011079887261085507,5.765862477466382,7,3.7104379649070385
615,N,5,0.2,0.2,0.075,0.002376431253436601,5.410507004083325,6.2,5.455327220304561
617,N,5,0,0.2,0.06999999999999999,0.003965637112251822,8.056817693102646,8.2,4.218535439609263
