opener,closer,opener_occurrences,closer_occurrences,opener_initial,opener_initial_share,closer_initial,closer_initial_share,closer_boundary,closer_boundary_share,opener_boundary,opener_boundary_share,initial_fisher_p,boundary_fisher_p,terminal_fisher_p,composite_score
740,820,180,33,129,0.7166666666666667,1,0.030303030303030304,26,0.7878787878787878,2,0.011111111111111112,2.200089323947175e-14,8.604223809465883e-25,8.604223809465883e-25,37.72284798785208
740,806,180,51,129,0.7166666666666667,3,0.058823529411764705,29,0.5686274509803921,2,0.011111111111111112,3.2342497931764675e-18,9.172932602353141e-21,2.397529762602284e-12,37.52771823838822
740,817,180,20,129,0.7166666666666667,0,0,20,1,2,0.011111111111111112,1.3966935275685644e-10,1.4315923913320515e-25,1.4315923913320515e-25,34.69907949789391
740,000,180,129,129,0.7166666666666667,46,0.35658914728682173,55,0.4263565891472868,2,0.011111111111111112,2.426224817173035e-10,2.2965036623905007e-22,2.4345772303069597e-20,31.254001816955274
740,235,180,31,129,0.7166666666666667,0,0,19,0.6129032258064516,2,0.011111111111111112,2.757324627109964e-15,5.069493504026336e-17,9.605826114409285e-14,30.854547529355294
740,002,180,80,129,0.7166666666666667,1,0.0125,2,0.025,2,0.011111111111111112,2.2853693442722242e-30,0.36162483108465393,0.36162483108465393,30.082785358704687
740,032,180,48,129,0.7166666666666667,3,0.0625,16,0.3333333333333333,2,0.011111111111111112,3.4782518308146445e-17,1.7062480793326083e-10,7.388184354889742e-7,26.226596802088395
740,798,180,33,129,0.7166666666666667,1,0.030303030303030304,16,0.48484848484848486,2,0.011111111111111112,2.200089323947175e-14,3.128390262878069e-13,1.9843423199453165e-9,26.162238760925113
740,003,180,35,129,0.7166666666666667,1,0.02857142857142857,15,0.42857142857142855,2,0.011111111111111112,3.618667996540435e-15,8.061317307508632e-12,5.380890539349097e-10,25.535045244385618
407,817,55,20,34,0.6181818181818182,0,0,20,1,0,0,3.3508423857103147e-7,1.2450695270167653e-18,1.2450695270167653e-18,24.37965239575966
407,820,55,33,34,0.6181818181818182,1,0.030303030303030304,26,0.7878787878787878,0,0,6.735426621729129e-9,2.9231308102015053e-16,2.9231308102015053e-16,23.70578664038485
740,233,180,39,129,0.7166666666666667,1,0.02564102564102564,9,0.23076923076923078,2,0.011111111111111112,1.054696661518093e-16,0.0000032727162092584444,0.00009583432380822548,21.461964081208283
407,806,55,51,34,0.6181818181818182,3,0.058823529411764705,29,0.5686274509803921,0,0,3.7369995725383713e-10,1.7478476262987026e-12,1.0839343383225493e-7,21.18497338276392
740,503,180,15,129,0.7166666666666667,0,0,11,0.7333333333333333,2,0.011111111111111112,2.720085062842813e-8,3.509363551297454e-13,2.785714593374738e-10,20.0201891533098
740,220,180,48,129,0.7166666666666667,3,0.0625,7,0.14583333333333334,2,0.011111111111111112,3.4782518308146445e-17,0.00032114316631372324,0.0013210549139078182,19.95194029261563
407,235,55,31,34,0.6181818181818182,0,0,19,0.6129032258064516,0,0,8.273396581947059e-10,2.5842376397209102e-11,3.109036668094925e-9,19.66998370970005
740,033,180,40,129,0.7166666666666667,0,0,3,0.075,2,0.011111111111111112,7.667150998413665e-19,0.042967018103541824,0.042967018103541824,19.482230768736464
740,861,180,21,129,0.7166666666666667,1,0.047619047619047616,11,0.5238095238095238,2,0.011111111111111112,1.932440149337408e-9,6.073389841086898e-11,6.073389841086898e-11,18.930462789294886
740,140,180,16,129,0.7166666666666667,1,0.0625,11,0.6875,2,0.011111111111111112,2.9573986065909915e-7,1.0494878517055361e-12,1.0494878517055361e-12,18.508112720290605
002,817,80,20,1,0.0125,0,0,20,1,2,0.025,0.8000000000000121,4.3098352067519617e-19,4.3098352067519617e-19,18.462449348454403
154,817,19,20,16,0.8421052631578947,0,0,20,1,0,0,2.569524260291742e-8,1.4508889103849471e-11,1.4508889103849471e-11,18.428513116282858
617,817,17,20,15,0.8823529411764706,0,0,20,1,0,0,1.4523397992953473e-8,6.287185278334783e-11,6.287185278334783e-11,18.039475502406436
740,001,180,59,129,0.7166666666666667,6,0.1016949152542373,3,0.05084745762711865,2,0.011111111111111112,2.0044076995561915e-17,0.09800988211968077,0.09800988211968077,17.706744070813116
154,820,19,33,16,0.8421052631578947,1,0.030303030303030304,26,0.7878787878787878,0,0,1.4648957902799058e-9,8.61441490118105e-9,8.61441490118105e-9,16.898967483927635
405,817,27,20,16,0.5925925925925926,0,0,20,1,1,0.037037037037037035,0.000008673238540124065,2.1510928258262713e-12,1.024329917060137e-13,16.729159557197466
740,920,180,19,129,0.7166666666666667,0,0,8,0.42105263157894735,2,0.011111111111111112,3.934347964982059e-10,5.7873225719292776e-8,5.7873225719292776e-8,16.64264954286771
617,820,17,33,15,0.8823529411764706,1,0.030303030303030304,26,0.7878787878787878,0,0,9.149642399375309e-10,3.514681279681857e-8,3.514681279681857e-8,16.492709931174325
400,817,16,20,13,0.8125,0,0,20,1,0,0,2.423414057255546e-7,1.3683873841081615e-10,1.3683873841081615e-10,16.479363315731064
520,817,22,20,13,0.5909090909090909,0,0,20,1,0,0,0.00001949234836725035,1.9463143919798467e-12,1.9463143919798467e-12,16.420922841472343
002,820,80,33,1,0.0125,1,0.030303030303030304,26,0.7878787878787878,2,0.025,0.9165613147914424,5.2309264201060734e-17,5.2309264201060734e-17,16.31925986578217
