checked_date,head,frames,immediate_end_count,immediate_end_rate,takes_x_count,takes_x_rate,x_terminal_count,x_terminal_rate,x_continuing_count,x_continuing_rate,dominant_x,dominant_x_rate,x_distribution,sample_objects,head_class
2026-05-31,000,8,5,5/8,3,3/8,3,3/8,0,0/8,<END>,5/8,<END>:5;215:1;216:1;350:1,M-1783;M-106;M-305;M-636;M-787;M-827;M-866;M-1107,low_support_or_mixed
2026-05-31,002,1,0,0/1,1,1/1,1,1/1,0,0/1,817,1/1,817:1,M-658,low_support_or_mixed
2026-05-31,031,5,0,0/5,5,5/5,5,5/5,0,0/5,000,1/5,000:1;165:1;502:1;575:1;892:1,M-1745;M-141;M-211;M-318;M-678,branch_taking_terminal_head
2026-05-31,033,1,0,0/1,1,1/1,1,1/1,0,0/1,705,1/1,705:1,M-1155,low_support_or_mixed
2026-05-31,055,1,0,0/1,1,1/1,1,1/1,0,0/1,373,1/1,373:1,M-43,low_support_or_mixed
2026-05-31,065,1,0,0/1,1,1/1,1,1/1,0,0/1,834,1/1,834:1,M-1082,low_support_or_mixed
2026-05-31,069,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-1883,low_support_or_mixed
2026-05-31,093,1,0,0/1,1,1/1,1,1/1,0,0/1,033,1/1,033:1,M-1765,low_support_or_mixed
2026-05-31,107,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-35,low_support_or_mixed
2026-05-31,111,2,0,0/2,2,2/2,2,2/2,0,0/2,165,1/2,165:1;700:1,M-95;M-721,low_support_or_mixed
2026-05-31,112,2,2,2/2,0,0/2,0,0/2,0,0/2,<END>,2/2,<END>:2,M-33;M-239,low_support_or_mixed
2026-05-31,125,1,0,0/1,1,1/1,1,1/1,0,0/1,350,1/1,350:1,M-251,low_support_or_mixed
2026-05-31,130,2,0,0/2,2,2/2,0,0/2,2,2/2,035,2/2,035:2,M-699;M-1112,low_support_or_mixed
2026-05-31,142,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-1686,low_support_or_mixed
2026-05-31,144,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-130,low_support_or_mixed
2026-05-31,156,1,0,0/1,1,1/1,1,1/1,0,0/1,920,1/1,920:1,M-1810,low_support_or_mixed
2026-05-31,168,1,0,0/1,1,1/1,1,1/1,0,0/1,032,1/1,032:1,M-1159,low_support_or_mixed
2026-05-31,190,1,0,0/1,1,1/1,0,0/1,1,1/1,125,1/1,125:1,M-1692,low_support_or_mixed
2026-05-31,207,1,0,0/1,1,1/1,0,0/1,1,1/1,550,1/1,550:1,M-82,low_support_or_mixed
2026-05-31,220,4,0,0/4,4,4/4,0,0/4,4,4/4,455,2/4,455:2;065:1;880:1,M-29;M-46;M-147;M-655,branch_bearing_head
2026-05-31,244,1,0,0/1,1,1/1,1,1/1,0,0/1,632,1/1,632:1,M-1188,low_support_or_mixed
2026-05-31,252,2,0,0/2,2,2/2,2,2/2,0,0/2,692,1/2,692:1;840:1,M-1901;M-143,low_support_or_mixed
2026-05-31,257,1,0,0/1,1,1/1,1,1/1,0,0/1,898,1/1,898:1,M-154,low_support_or_mixed
2026-05-31,267,1,0,0/1,1,1/1,1,1/1,0,0/1,455,1/1,455:1,M-10,low_support_or_mixed
2026-05-31,269,1,0,0/1,1,1/1,0,0/1,1,1/1,892,1/1,892:1,M-1766,low_support_or_mixed
2026-05-31,270,1,0,0/1,1,1/1,0,0/1,1,1/1,633,1/1,633:1,M-1169,low_support_or_mixed
2026-05-31,285,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-1895,low_support_or_mixed
2026-05-31,286,1,0,0/1,1,1/1,0,0/1,1,1/1,220,1/1,220:1,M-1688,low_support_or_mixed
2026-05-31,287,1,0,0/1,1,1/1,1,1/1,0,0/1,140,1/1,140:1,M-109,low_support_or_mixed
2026-05-31,291,1,0,0/1,1,1/1,0,0/1,1,1/1,690,1/1,690:1,M-628,low_support_or_mixed
2026-05-31,295,1,0,0/1,1,1/1,1,1/1,0,0/1,502,1/1,502:1,M-181,low_support_or_mixed
2026-05-31,297,2,0,0/2,2,2/2,1,1/2,1,1/2,190,1/2,190:1;416:1,M-53;M-114,low_support_or_mixed
2026-05-31,298,1,0,0/1,1,1/1,0,0/1,1,1/1,460,1/1,460:1,M-683,low_support_or_mixed
2026-05-31,300,1,0,0/1,1,1/1,0,0/1,1,1/1,350,1/1,350:1,M-49,low_support_or_mixed
2026-05-31,301,2,0,0/2,2,2/2,2,2/2,0,0/2,190,1/2,190:1;350:1,M-115;M-242,low_support_or_mixed
2026-05-31,320,1,0,0/1,1,1/1,0,0/1,1,1/1,705,1/1,705:1,M-1668,low_support_or_mixed
2026-05-31,368,5,0,0/5,5,5/5,3,3/5,2,2/5,119,1/5,119:1;165:1;202:1;518:1;906:1,M-12;M-36;M-99;M-253;M-311,branch_bearing_head
2026-05-31,374,4,0,0/4,4,4/4,2,2/4,2,2/4,228,1/4,228:1;309:1;575:1;840:1,M-66;M-315;M-665;M-1089,branch_bearing_head
2026-05-31,388,1,0,0/1,1,1/1,1,1/1,0,0/1,031,1/1,031:1,M-948,low_support_or_mixed
2026-05-31,390,8,0,0/8,8,8/8,5,5/8,3,3/8,125,3/8,125:3;095:1;140:1;346:1;692:1;707:1,M-38;M-70;M-71;M-119;M-213;M-232;M-708;M-735,branch_selector_candidate
2026-05-31,400,1,0,0/1,1,1/1,1,1/1,0,0/1,703,1/1,703:1,M-1135,low_support_or_mixed
