"cisi","source_path","side_id","description","description_family","description_series","description_kind","mayig_grapheme_count","analysis_set","audit_status","primary_category","flags","collation_priority","reconciliation_class","mayig_formula_pattern","mayig_collapsed_pattern","mayig_initial_at_start","mayig_terminal_at_end","mayig_I_T_scaffold","mayig_strong_IMT_scaffold","sensitivity_formula_pattern","sensitivity_I_T_scaffold","review_status"
"M-1","corpus/m001_m099/m001.json","M-1A","unicorn I seal","unicorn","I","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","MMTMS","MTMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-3","corpus/m001_m099/m003.json","M-3A","unicorn I seal","unicorn","I","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SMS","SMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-4","corpus/m001_m099/m004.json","M-4A","unicorn I seal","unicorn","I","seal","10","manual_count_disagreement","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-5","corpus/m001_m099/m005.json","M-5A","unicorn I seal","unicorn","I","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMT","ISMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-6","corpus/m001_m099/m006.json","M-6A","unicorn I seal","unicorn","I","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DSMS","DSMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-7","corpus/m001_m099/m007.json","M-7A","unicorn I seal","unicorn","I","seal","11","manual_count_disagreement","manual_count_disagreement","mayig_counts_more","","P1_source_image_required","multi_sign_count_disagreement","","","","","","","","","metadata_scope_only_not_semantic"
"M-8","corpus/m001_m099/m008.json","M-8A","unicorn I seal","unicorn","I","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","MTS","MTS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-9","corpus/m001_m099/m009.json","M-9A","unicorn I seal","unicorn","I","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","WMS","WMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-10","corpus/m001_m099/m010.json","M-10A","unicorn I seal","unicorn","I","seal","10","manual_count_disagreement","manual_count_disagreement","lipi_counts_more","","P2_standard_manual_review","unflagged_lipi_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-12","corpus/m001_m099/m012.json","M-12A","unicorn II seal","unicorn","II","seal","9","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IDSMMMSSS","IDSMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-13","corpus/m001_m099/m013.json","M-13A","unicorn II seal","unicorn","II","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","MMS","MS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-14","corpus/m001_m099/m014.json","M-14A","unicorn II seal","unicorn","II","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMT","ISMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-15","corpus/m001_m099/m015.json","M-15A","unicorn II seal","unicorn","II","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IIMMT","IMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-16","corpus/m001_m099/m016.json","M-16A","unicorn II seal","unicorn","II","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DSSS","DS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-17","corpus/m001_m099/m017.json","M-17A","unicorn II seal","unicorn","II","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DMMSS","DMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-18","corpus/m001_m099/m018.json","M-18A","unicorn II seal","unicorn","II","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SIS","SIS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-19","corpus/m001_m099/m019.json","M-19A","unicorn II seal","unicorn","II","seal","3","manual_collation_required","manual_collation_required","lipi_boundary_fragment","lipi_boundary_fragment;lipi_unknown_zero;mayig_unknown_p000","P1_source_image_required","damaged_boundary_fragment","","","","","","","","","metadata_scope_only_not_semantic"
"M-20","corpus/m001_m099/m020.json","M-20A","unicorn II seal","unicorn","II","seal","8","manual_count_disagreement","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-21","corpus/m001_m099/m021.json","M-21A","unicorn II seal","unicorn","II","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SMISTMMT","SMISTMT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-22","corpus/m001_m099/m022.json","M-22A","unicorn II seal","unicorn","II","seal","7","manual_collation_required","manual_collation_required","lipi_boundary_fragment","lipi_boundary_fragment;lipi_unknown_zero;mayig_unknown_p000","P1_source_image_required","damaged_boundary_fragment","","","","","","","","","metadata_scope_only_not_semantic"
"M-23","corpus/m001_m099/m023.json","M-23A","unicorn II seal","unicorn","II","seal","13","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","lipi_compound_slash","","","","","","","","","IUMTIMMMSUSSM","False","metadata_scope_only_not_semantic"
"M-24","corpus/m001_m099/m024.json","M-24A","unicorn II seal","unicorn","II","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IIMMMST","IMST","True","True","True","True","","","metadata_scope_only_not_semantic"
