"site","type","third_slot","count","exact_three_count","examples"
"Banawali","TAG","002","1","0","41.1"
"Harappa","SEAL:S","240","1","0","199.1"
"Harappa","SEAL:S","415","1","0","479.1"
"Harappa","TAB:B","415","4","3","485.2;913.1;913.2;1677.2"
"Harappa","TAB:B","240","1","0","1258.1"
"Harappa","TAB:I","415","13","13","4069.1;221.1;841.1;481.1;848.1;816.1;1341.1;1366.1"
"Harappa","TAB:I","016","1","1","1822.1"
"Harappa","TAG","415","1","0","517.1"
"Kalibangan","SEAL:S","006","1","1","5277.1"
"Lothal","SEAL:R","415","1","0","2052.1"
"Mohenjo-daro","SEAL:R","415","1","0","2891.1"
"Mohenjo-daro","SEAL:S","415","7","1","3413.1;2689.1;2420.1;2800.1;2841.1;2565.1;3094.1"
"Mohenjo-daro","SEAL:S","240","3","0","2506.1;2265.1;3357.1"
"Mohenjo-daro","SEAL:S","002","2","0","3509.1;2827.1"
"Mohenjo-daro","SEAL:S","003","2","1","2516.1;2441.1"
"Mohenjo-daro","SEAL:S","016","2","0","2510.1;3140.1"
"Mohenjo-daro","SEAL:S","001","1","0","3995.1"
"Mohenjo-daro","SEAL:S","004","1","0","2603.1"
"Mohenjo-daro","SEAL:S","031","1","0","2593.1"
"Mohenjo-daro","SEAL:S","032","1","0","3421.1"
"Mohenjo-daro","SEAL:S","034","1","1","3556.1"
"Mohenjo-daro","SEAL:S","235","1","0","3464.1"
"Mohenjo-daro","SEAL:S","368","1","0","2485.1"
"Mohenjo-daro","SEAL:S","621","1","0","2681.1"
"Mohenjo-daro","SEAL:S","803","1","0","2513.1"
"Nausharo","SEAL:S","742","1","0","5360.1"
