checked_date,object,row_id,site,type,text,token_index,prev2,prev1,next1,next2,zero_role,terminal_after_000,continuation_after_000
2026-05-31,-:4199.1,4199.1,Dholavira,SEAL,+220-000[,1,<START>,220,<END>,<END>,no_002_context,true,<END>
2026-05-31,Ad-7,12.1,Allahdino,SEAL:S,+740-142-000/000-388-000+,2,740,142,000,388,no_002_context,false,000 388 000
2026-05-31,Ad-7,12.1,Allahdino,SEAL:S,+740-142-000/000-388-000+,3,142,000,388,000,no_002_context,false,388 000
2026-05-31,Ad-7,12.1,Allahdino,SEAL:S,+740-142-000/000-388-000+,5,000,388,<END>,<END>,no_002_context,true,<END>
2026-05-31,Ad-8,13.1,Allahdino,MISC,+740-440-503-002-861-000+,5,002,861,<END>,<END>,x_slot_after_002_head,true,<END>
2026-05-31,Ad-9,14.1,Allahdino,POT:T:g,]000-004-455+,0,<START>,<START>,004,455,no_002_context,false,004 455
2026-05-31,Ad-11,15.1,Allahdino,MISC,]000-415+,0,<START>,<START>,415,<END>,no_002_context,false,415
2026-05-31,Blk-3,21.1,Bala-kot,SEAL:S,+000-388-233-000-000+,0,<START>,<START>,388,233,no_002_context,false,388 233 000 000
2026-05-31,Blk-3,21.1,Bala-kot,SEAL:S,+000-388-233-000-000+,3,388,233,000,<END>,no_002_context,false,000
2026-05-31,Blk-3,21.1,Bala-kot,SEAL:S,+000-388-233-000-000+,4,233,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:5581.1,5581.1,Dholavira,TAG,+000+,0,<START>,<START>,<END>,<END>,no_002_context,true,<END>
2026-05-31,K-416,5331.1,Kalibangan,POT:T:g,]000-002-861[,0,<START>,<START>,002,861,prefix_before_002_frame,false,002 861
2026-05-31,B-24,42.1,Banawali,TAB:B,]906-090-000-158-900-380-484-900+,2,906,090,158,900,no_002_context,false,158 900 380 484 900
2026-05-31,B-25,43.1,Banawali,MISC,+000-000/000-031-700+,0,<START>,<START>,000,000,no_002_context,false,000 000 031 700
2026-05-31,B-25,43.1,Banawali,MISC,+000-000/000-031-700+,1,<START>,000,000,031,no_002_context,false,000 031 700
2026-05-31,B-25,43.1,Banawali,MISC,+000-000/000-031-700+,2,000,000,031,700,no_002_context,false,031 700
2026-05-31,-:5555.1,5555.1,Shikarpur,POT:T:g,+740-000[,1,<START>,740,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-980,4602.2,Harappa,TAB:I,+700-000+,1,<START>,700,<END>,<END>,no_002_context,true,<END>
2026-05-31,M-2035,5531.2,Mohenjo-daro,TAG:C,+000-000-000+,0,<START>,<START>,000,000,no_002_context,false,000 000
2026-05-31,M-2035,5531.2,Mohenjo-daro,TAG:C,+000-000-000+,1,<START>,000,000,<END>,no_002_context,false,000
2026-05-31,M-2035,5531.2,Mohenjo-daro,TAG:C,+000-000-000+,2,000,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,Ch-1,53.1,Chandigarh,POT:T:g,+220-000-740-550-705+,1,<START>,220,740,550,no_002_context,false,740 550 705
2026-05-31,Ch-4,55.1,Chandigarh,POT:T:g,+000-000-492[,0,<START>,<START>,000,492,no_002_context,false,000 492
2026-05-31,Ch-4,55.1,Chandigarh,POT:T:g,+000-000-492[,1,<START>,000,492,<END>,no_002_context,false,492
2026-05-31,C-65,62.1,Chanhu-daro,SEAL:S,+000-100-240-220-032-002-861+,0,<START>,<START>,100,240,prefix_before_002_frame,false,100 240 220 032 002 861
2026-05-31,C-64,63.1,Chanhu-daro,SEAL:S,]000-220-838-033-705-240+,0,<START>,<START>,220,838,no_002_context,false,220 838 033 705 240
2026-05-31,C-71,78.1,Chanhu-daro,SEAL:S,+000-000-000/000-861-002-906-003+,0,<START>,<START>,000,000,prefix_before_002_frame,false,000 000 000 861 002 906 003
2026-05-31,C-71,78.1,Chanhu-daro,SEAL:S,+000-000-000/000-861-002-906-003+,1,<START>,000,000,000,prefix_before_002_frame,false,000 000 861 002 906 003
2026-05-31,C-71,78.1,Chanhu-daro,SEAL:S,+000-000-000/000-861-002-906-003+,2,000,000,000,861,prefix_before_002_frame,false,000 861 002 906 003
