"second","site","type","count","exact_pair_count","exact_triplet_count","damaged_or_open_count","examples"
"<END>","Harappa","POT:T:g","1","0","0","1","4128.1"
"<END>","Harappa","TAB:I","2","0","0","2","651.1;873.1"
"<END>","Mohenjo-daro","SEAL:S","2","0","0","2","3125.1;3426.1"
"000","Dholavira","SEAL:S","2","0","1","1","4216.1;4325.1"
"000","Dholavira","TAG","3","0","0","0","4156.1;4314.1;4314.2"
"000","Harappa","TAB:B","1","0","1","0","290.2"
"000","Lothal","TAG","1","0","0","1","2110.2"
"000","Mohenjo-daro","SEAL:S","2","0","0","0","2376.1;3518.1"
"001","Banawali","SEAL:S","2","2","0","0","26.1;5441.1"
"001","Harappa","MISC","1","0","0","1","164.1"
"013","Miri Qalat","SEAL:S","1","1","0","0","5444.1"
"031","Harappa","SEAL:S","1","0","0","0","1155.1"
"031","Harappa","TAB:I","2","2","0","0","1802.2;1803.2"
"031","Kanmer","SEAL:S","1","1","0","0","5421.1"
"031","Rahman-deri","SEAL","1","1","0","0","5269.1"
"033","Chanhu-daro","SEAL:S","1","0","0","1","95.1"
"033","Dholavira","SEAL:R","2","0","1","0","138.1;4167.1"
"033","Dholavira","SEAL:S","2","0","1","1","4149.1;4210.1"
"033","Dholavira","TAG","1","0","0","1","140.1"
"033","Harappa","SEAL:R","1","0","0","0","1564.1"
"033","Harappa","SEAL:S","7","0","1","0","322.1;1103.1;1112.1;1401.1;1445.1;1446.1;1510.1"
"033","Harappa","TAB:B","4","0","3","0","402.2;628.2;831.2;876.2"
"033","Kalibangan","TAG:L","1","0","0","0","1940.1"
"033","Lothal","SEAL:S","1","0","0","0","1989.1"
"033","Lothal","TAG:O","1","0","1","0","2088.1"
"033","Mohenjo-daro","SEAL","1","0","1","0","3658.1"
"033","Mohenjo-daro","SEAL:R","2","0","0","1","2326.1;3576.1"
"033","Mohenjo-daro","SEAL:S","26","0","1","2","2178.1;2245.1;2473.1;2478.1;2526.1;2592.1;2613.1;2644.1"
"033","Mohenjo-daro","TAB:B","1","0","0","0","3688.1"
"033","Unknown","SEAL:S","1","0","0","0","5573.1"
"070","Gola Dhoro (Bagasra)","SEAL:S","1","0","0","0","5218.1"
"070","Harappa","SEAL:S","2","0","0","0","1123.1;1147.1"
"070","Harappa","TAB:B","1","0","0","0","510.2"
"070","Lothal","SEAL:R","1","0","0","0","2046.1"
"070","Lothal","TAG:L","1","0","0","1","2080.1"
"070","Mohenjo-daro","SEAL:R","1","0","0","0","3579.1"
"070","Mohenjo-daro","SEAL:S","5","0","0","0","2342.1;2403.1;3228.1;3378.1;3984.1"
"070","Unknown","SEAL:S","1","0","0","0","3118.1"
"072","Harappa","TAB:B","2","0","2","0","1257.1;1704.2"
"072","Harappa","TAB:I","1","0","0","1","836.2"
"072","Mohenjo-daro","SEAL:S","2","0","1","0","2389.1;2512.1"
"073","Rakhigarhi","SEAL:S","1","1","0","0","4153.1"
"075","Mohenjo-daro","SEAL:S","1","0","0","1","3847.1"
"090","Dholavira","SEAL:S","1","0","0","0","4250.1"
"095","Dholavira","SEAL:R","1","0","0","1","4263.1"
"095","Harappa","SEAL:R","1","0","0","0","1575.1"
"175","Dholavira","TAB:I","1","0","0","1","4243.1"
"175","Harappa","SEAL:S","1","1","0","0","1481.1"
"175","Mohenjo-daro","SEAL:S","2","1","0","0","2319.1;2707.1"
"219","Harappa","SEAL:S","1","0","0","0","1141.1"
"220","Banawali","TAG","1","0","0","1","41.1"
"220","Harappa","SEAL:S","4","0","0","2","199.1;479.1;739.1;1500.1"
"220","Harappa","TAB:B","5","0","3","0","485.2;913.1;913.2;1258.1;1677.2"
"220","Harappa","TAB:I","17","2","14","1","221.1;277.2;282.2;481.1;816.1;841.1;848.1;1341.1"
"220","Harappa","TAG","1","0","0","1","517.1"
"220","Kalibangan","SEAL:S","1","0","1","0","5277.1"
"220","Lothal","SEAL:R","1","0","0","0","2052.1"
"220","Mohenjo-daro","SEAL:R","1","0","0","0","2891.1"
"220","Mohenjo-daro","SEAL:S","27","2","3","2","2265.1;2420.1;2441.1;2485.1;2506.1;2510.1;2513.1;2516.1"
"220","Nausharo","SEAL:S","1","0","0","0","5360.1"
"231","Kalibangan","SEAL:S","2","1","0","0","1899.1;1967.1"
"231","Mohenjo-daro","SEAL:S","3","0","1","0","2782.1;2821.1;3480.1"
"233","Chanhu-daro","SEAL:S","1","0","0","0","87.1"
"233","Dholavira","SEAL:S","1","0","0","0","4177.1"
"233","Harappa","SEAL","1","0","0","0","1594.1"
"233","Harappa","SEAL:S","3","0","0","0","920.1;1077.1;1479.1"
"233","Harappa","TAB:B","3","1","1","0","297.1;1004.1;1274.2"
"233","Kalibangan","SEAL:S","1","0","0","0","1880.1"
"233","Lothal","TAG","1","0","0","0","2077.1"
"233","Mohenjo-daro","SEAL:S","8","2","0","0","2262.1;2426.1;2612.1;2656.1;2708.1;3232.1;3326.1;3521.1"
"235","Chanhu-daro","SEAL:S","1","0","0","0","92.1"
"235","Dholavira","SEAL:S","1","1","0","0","4232.1"
"235","Harappa","POT:T:g","1","1","0","0","613.1"
"235","Mohenjo-daro","SEAL","1","0","1","0","3122.1"
"235","Mohenjo-daro","SEAL:S","1","0","0","0","3219.1"
"235","Mohenjo-daro","TAB:B","2","2","0","0","2969.1;2970.1"
"235","Tarkhanewala-dera","TAG","1","0","0","0","5456.1"
