date,id,cisi,site,type,material,shape,symbol,cult,sides,dir,class,signs,terminal_after_520_220,tail_after_terminal,has_034_terminal,text,research_use,accepted_claim
2026-05-25,3995.1,M-1843,Mohenjo-daro,SEAL:S,-,square,Bull1:I,SAF,1,R/L,LP,7,001,820-220-063-315,false,+520-220-001-820-220-063-315+,520_220_terminal_comparator,0
2026-05-25,41.1,B-23,Banawali,TAG,-,-,Scene,None,1,T/B,UC,3,002,,false,+520-220-002[,520_220_terminal_comparator,0
2026-05-25,3509.1,M-1148,Mohenjo-daro,SEAL:S,Steatite,square,Elep,None,1,R/L,SP,4,002,861,false,+520-220-002-861+,520_220_terminal_comparator,0
2026-05-25,2827.1,M-308,Mohenjo-daro,SEAL:S,Steatite,square,T-M-T,None,1,R/L,SP,5,002,727-317,false,+520-220-002-727-317+,520_220_terminal_comparator,0
2026-05-25,2516.1,M-1672,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,SAF,1,R/L,SP,6,003,741-060-920,false,+520-220-003-741-060-920+,520_220_terminal_comparator,0
2026-05-25,2441.1,M-1912,Mohenjo-daro,SEAL:S,Steatite,square,Elep,None,1,R/L,MT,3,003,,false,+520-220-003+,520_220_terminal_comparator,0
2026-05-25,2603.1,M-75,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,SAN,1,R/L,SP,5,004,002-817,false,+520-220-004-002-817+,520_220_terminal_comparator,0
2026-05-25,5277.1,K-150,Kalibangan,SEAL:S,Steatite,square,Gaur,None,1,R/L,MT,3,006,,false,+520-220-006+,520_220_terminal_comparator,0
2026-05-25,1822.1,H-942,Harappa,TAB:I,Steatite,rectangular,None,None,2,L/R,MT,3,016,,false,+520-220-016+,520_220_terminal_comparator,0
2026-05-25,2510.1,M-1884,Mohenjo-daro,SEAL:S,Steatite,square,Gaur,Trough,1,R/L,??,5,016,002-416-000,false,+520-220-016-002-416-000+,520_220_terminal_comparator,0
2026-05-25,3140.1,M-715,Mohenjo-daro,SEAL:S,Steatite,square,Bull1,-,1,R/L,??,5,016,741-556-000,false,+520-220-016-741-556-000[,520_220_terminal_comparator,0
2026-05-25,2593.1,M-65,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,RAF,1,R/L,MS,6,031,001-706-575,false,+520-220-031-001-706-575+,520_220_terminal_comparator,0
2026-05-25,3421.1,M-1044,Mohenjo-daro,SEAL:S,Steatite,square,Bull,-,1,R/L,SP,5,032,002-861,false,+520-220-032-002-861+,520_220_terminal_comparator,0
2026-05-25,3556.1,M-1206,Mohenjo-daro,SEAL:S,Steatite,square,Gaur,None,2,R/L,MT,3,034,,true,+520-220-034+,520_220_terminal_contrast_for_M1206_source_gate,0
2026-05-25,3464.1,M-1090,Mohenjo-daro,SEAL:S,Steatite,square,Gaur,Trough,1,R/L,??,5,235,000-130-741,false,+520-220-235-000-130-741+,520_220_terminal_comparator,0
2026-05-25,199.1,H-423,Harappa,SEAL:S,Steatite,square,Bull1,-,1,R/L,LP,6,240,798-060-692,false,+520-220-240-798-060-692+,520_220_terminal_comparator,0
2026-05-25,1258.1,H-231,Harappa,TAB:B,Faience,elliptical,None,None,2,R/L,SP,5,240,002-820,false,+520-220-240-002-820+,520_220_terminal_comparator,0
2026-05-25,2506.1,M-1716,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,RAF,1,R/L,SP,6,240,803-002-820,false,+520-220-240-803-002-820+,520_220_terminal_comparator,0
2026-05-25,2265.1,M-888,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:S,RAF,1,R/L,SP,5,240,741-440,false,+520-220-240-741-440+,520_220_terminal_comparator,0
2026-05-25,3357.1,M-962,Mohenjo-daro,SEAL:S,-,square,Bull1:W,SAF,1,R/L,MT,4,240,235,false,+520-220-240-235+,520_220_terminal_comparator,0
2026-05-25,2485.1,M-1687,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:S,SAN,1,R/L,IT,4,368,817,false,+520-220-368-817+,520_220_terminal_comparator,0
2026-05-25,479.1,H-1669,Harappa,SEAL:S,Steatite,square,Bull1:W,SAN,1,R/L,SP,5,415,060-920,false,+520-220-415-060-920+,520_220_terminal_comparator,0
2026-05-25,485.2,H-1953,Harappa,TAB:B,Clay,rectangular,Zebu,None,2,R/L,MT,5,415,240-803,false,+520-220-415-240-803+,520_220_terminal_comparator,0
