sign,occurrences,initial,initial_share,background_initial,background_occurrences,fisher_p
740,180,129,0.7166666666666667,315,1885,1.3511897977632278e-52
407,55,34,0.6181818181818182,410,2010,6.136812829050565e-11
617,17,15,0.8823529411764706,429,2048,7.065408443323245e-9
154,19,16,0.8421052631578947,428,2046,8.456602554207986e-9
400,16,13,0.8125,431,2049,5.335884842658161e-7
405,27,16,0.5925925925925926,428,2038,0.000019868095099235165
527,13,10,0.7692307692307693,434,2052,0.00002943544787075795
000,129,46,0.35658914728682173,398,1936,0.00009537623156832524
520,22,13,0.5909090909090909,431,2043,0.0001298689527899115
390,8,7,0.875,437,2057,0.0001333033653444777
090,9,7,0.7777777777777778,437,2056,0.0004887677260635227
679,4,4,1,440,2061,0.002114608225860306
423,6,5,0.8333333333333334,439,2059,0.0022276387536895054
409,3,3,1,441,2062,0.009887351840656564
416,4,3,0.75,441,2061,0.033205582685037136
790,10,5,0.5,439,2055,0.04336130898841027
155,2,2,1,442,2063,0.046148431781154714
158,2,2,1,442,2063,0.046148431781154714
749,2,2,1,442,2063,0.046148431781154714
064,5,3,0.6,441,2060,0.06986306348840601
422,3,2,0.6666666666666666,442,2062,0.11867059166210932
426,3,2,0.6666666666666666,442,2062,0.11867059166210932
354,7,3,0.42857142857142855,441,2058,0.1744780531432986
368,4,2,0.5,442,2061,0.20413560063936595
045,1,1,1,443,2064,0.21501210653754216
