"tokenization","scope","control","metric","iterations","observed_value","null_mean","null_sd","null_min","null_median","null_max","observed_minus_null_mean","null_ge_observed_share"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","unique_tokens","50","100","100","0","100","100","100","0","1"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","exact_sequence_groups","50","490","512.98","0.14","512","513","513","-22.98","1"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","exact_duplicate_groups","50","17","0.02","0.14","0","0","1","16.98","0"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","exact_duplicate_rows","50","40","0.04","0.28","0","0","2","39.96","0"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","top_sequence_count","50","5","1.02","0.14","1","1","2","3.98","0"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","collapsed_rows","50","490","512.98","0.14","512","513","513","-22.98","1"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","stored_higher_share","50","0.995918","0.501814","0.027149","0.432749","0.505848","0.545809","0.494104","0"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","frequency_top1_accuracy","50","0.09917","0.101619","0.00001","0.101618","0.101618","0.101691","-0.002449","1"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","position_top1_accuracy","50","0.127504","0.099373","0.002441","0.094241","0.099952","0.103522","0.028131","0"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","length_position_top1_accuracy","50","0.170738","0.072095","0.006299","0.059495","0.071633","0.088529","0.098643","0"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","bidirectional_top1_accuracy","50","0.4702","0.092919","0.002507","0.087339","0.092932","0.098762","0.377281","0"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","bidirectional_top5_accuracy","50","0.746458","0.274635","0.005221","0.262256","0.275702","0.286292","0.471823","0"
