checked_date,row_id,object,site,type,shape,material,prefix_before_060,prev2_before_060,prev_before_060,left3_before_060,pair,terminal_after_692,tail_after_692,exact_sequence,text
2026-05-31,40.1,B-21,Banawali,SEAL:R,cuboid-convex,Steatite,426 003,426,003,426 003,060-692,true,<END>,426 003 060 692,+426-003-060-692+
2026-05-31,67.1,C-75,Chanhu-daro,SEAL:S,square,Steatite,740 531,740,531,740 531,060-692,true,<END>,740 531 060 692,+740-531-060-692+
2026-05-31,3975.1,H-1137,Harappa,TAB:B,rectangular,NA,740 603 240,603,240,740 603 240,060-692,true,<END>,740 603 240 060 692,+740-603-240-060-692+
2026-05-31,199.1,H-423,Harappa,SEAL:S,square,Steatite,520 220 240 798,240,798,220 240 798,060-692,true,<END>,520 220 240 798 060 692,+520-220-240-798-060-692+
2026-05-31,200.1,H-1400,Harappa,POT:T:g,NA,Clay,031 034,031,034,031 034,060-692,true,<END>,031 034 060 692,+031-034-060-692[
2026-05-31,4021.1,M-2032,Mohenjo-daro,TAB:B,oval,NA,000,<START>,000,000,060-692,true,<END>,000 060 692,+000-060-692+
2026-05-31,399.2,H-1901,Harappa,TAB:B,NA,Faience,<START>,<START>,<START>,<START>,060-692,true,<END>,060 692,]060-692+
2026-05-31,1263.1,H-237,Harappa,TAB:B,fish,NA,740 642 240,642,240,740 642 240,060-692,true,<END>,740 642 240 060 692,+740-642-240-060-692+
2026-05-31,664.1,H-1975,Harappa,TAB:B,rectangular,Clay,740 760 061,760,061,740 760 061,060-692,true,<END>,740 760 061 060 692,+740-760-061-060-692+
2026-05-31,939.1,H-1705,Harappa,SEAL:R,rectangular,Steatite,740 904 231 240 798,240,798,231 240 798,060-692,true,<END>,740 904 231 240 798 060 692,+740-904-231-240-798-060-692+
2026-05-31,1115.1,H-56,Harappa,SEAL:S,square,Steatite,740 176,740,176,740 176,060-692,true,<END>,740 176 060 692,+740-176-060-692+
2026-05-31,1147.1,H-91,Harappa,SEAL:S,square,Steatite,520 070 253,070,253,520 070 253,060-692,true,<END>,520 070 253 060 692,+520-070-253-060-692+
2026-05-31,1174.1,H-133,Harappa,SEAL:R,cuboid-convex,Steatite,740 554 220 415 798,415,798,220 415 798,060-692,true,<END>,740 554 220 415 798 060 692,+740-554-220-415-798-060-692+
2026-05-31,1183.1,H-142,Harappa,SEAL:R,cuboid-convex,Steatite,740 267 811 832,811,832,267 811 832,060-692,true,<END>,740 267 811 832 060 692,+740-267-811-832-060-692+
2026-05-31,1712.2,H-823,Harappa,TAB:B,rectangular,NA,740 636 240,636,240,740 636 240,060-692,true,<END>,740 636 240 060 692,+740-636-240-060-692+
2026-05-31,1561.1,H-646,Harappa,SEAL:R,rectangular,NA,000 033 033,033,033,000 033 033,060-692,true,<END>,000 033 033 060 692,+000-033-033-060-692+
2026-05-31,1580.1,H-665,Harappa,SEAL:R,rectangular,NA,407 004,407,004,407 004,060-692,true,<END>,407 004 060 692,+407-004-060-692+
2026-05-31,1714.1,H-824,Harappa,TAB:B,oval,NA,240,<START>,240,240,060-692,true,<END>,240 060 692,]240-060-692+
2026-05-31,2214.1,M-682,Mohenjo-daro,SEAL:S,square,Steatite,000 000 000 000 000 000 740 803,740,803,000 740 803,060-692,false,740 690 435 255 060 692,000 000 000 000 000 000 740 803 060 692 740 690 435 255 060 692,+000-000-000-000-000-000/740-803-060-692-740-690-435-255-060-692+
2026-05-31,2214.1,M-682,Mohenjo-daro,SEAL:S,square,Steatite,000 000 000 000 000 000 740 803 060 692 740 690 435 255,435,255,690 435 255,060-692,true,<END>,000 000 000 000 000 000 740 803 060 692 740 690 435 255 060 692,+000-000-000-000-000-000/740-803-060-692-740-690-435-255-060-692+
2026-05-31,2385.1,M-1715,Mohenjo-daro,SEAL:S,square,Steatite,740 923 033 705,033,705,923 033 705,060-692,true,<END>,740 923 033 705 060 692,+740-923-033-705-060-692+
2026-05-31,2428.1,M-1738,Mohenjo-daro,SEAL:S,square,Steatite,226 240 235,240,235,226 240 235,060-692,true,<END>,226 240 235 060 692,+226-240-235-060-692+
2026-05-31,2455.1,M-1747,Mohenjo-daro,SEAL:S,square,Steatite,165 741 031,741,031,165 741 031,060-692,true,<END>,165 741 031 060 692,+165-741-031-060-692+
2026-05-31,2534.1,M-5,Mohenjo-daro,SEAL:S,square,Steatite,740 773 240 235,240,235,773 240 235,060-692,true,<END>,740 773 240 235 060 692,+740-773-240-235-060-692+
2026-05-31,2551.1,M-23,Mohenjo-daro,SEAL:S,square,Steatite,842 871 192 368 740 482,740,482,368 740 482,060-692,false,520 220 235 001 920,842 871 192 368 740 482 060 692 520 220 235 001 920,+842-871-192-368/740-482-060-692-520-220-235-001-920+
2026-05-31,2554.1,M-26,Mohenjo-daro,SEAL:S,square,Steatite,090 740 531,740,531,090 740 531,060-692,true,<END>,090 740 531 060 692,+090-740-531-060-692+
2026-05-31,2597.1,M-69,Mohenjo-daro,SEAL:S,square,Steatite,740 803 231,803,231,740 803 231,060-692,true,<END>,740 803 231 060 692,+740-803-231-060-692+
2026-05-31,2653.1,M-126,Mohenjo-daro,SEAL:S,square,Steatite,520 552,520,552,520 552,060-692,true,<END>,520 552 060 692,+520-552-060-692+
2026-05-31,2673.1,M-146,Mohenjo-daro,SEAL:S,square,Steatite,740 255 920,255,920,740 255 920,060-692,true,<END>,740 255 920 060 692,+740-255-920-060-692+
2026-05-31,2696.1,M-171,Mohenjo-daro,SEAL:S,square,Steatite,407 061 740 923 233 806,233,806,923 233 806,060-692,true,<END>,407 061 740 923 233 806 060 692,+407-061-740-923-233-806-060-692+
2026-05-31,2757.1,M-234,Mohenjo-daro,SEAL:S,square,Steatite,842 535 099 004 740 482,740,482,004 740 482,060-692,false,520 220 235 001 920,842 535 099 004 740 482 060 692 520 220 235 001 920,+842-535-099-004/740-482-060-692-520-220-235-001-920+
2026-05-31,2835.1,M-317,Mohenjo-daro,SEAL:S,square,Steatite,255,<START>,255,255,060-692,false,401 920,255 060 692 401 920,+255-060-692-401-920+
2026-05-31,3077.1,M-626,Mohenjo-daro,SEAL:S,square,Steatite,842 374 125 740 803,740,803,125 740 803,060-692,false,740 690 435 255 060 692,842 374 125 740 803 060 692 740 690 435 255 060 692,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,3077.1,M-626,Mohenjo-daro,SEAL:S,square,Steatite,842 374 125 740 803 060 692 740 690 435 255,435,255,690 435 255,060-692,true,<END>,842 374 125 740 803 060 692 740 690 435 255 060 692,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,3105.1,M-666,Mohenjo-daro,SEAL:S,square,Steatite,740 440 231,440,231,740 440 231,060-692,true,<END>,740 440 231 060 692,+740-440-231-060-692+
2026-05-31,3496.1,M-1127,Mohenjo-daro,SEAL:S,square,Steatite,<START>,<START>,<START>,<START>,060-692,false,740 269 140 002,060 692 740 269 140 002,+060-692/740-269-140-002+
2026-05-31,3525.1,M-1165,Mohenjo-daro,SEAL:S,square,Steatite,090 740 920 140,920,140,740 920 140,060-692,true,<END>,090 740 920 140 060 692,+090-740-920-140-060-692+
