"dataset","category","y_after_002","y_terminal","post_y_string","n"
"frame_text_dedup_unit","non240_a_220_032","000","False","216","1"
"frame_text_dedup_unit","non240_a_220_032","142","True","<END>","1"
"frame_text_dedup_unit","non240_a_220_032","144","True","<END>","1"
"frame_text_dedup_unit","non240_a_220_032","168","False","032","1"
"frame_text_dedup_unit","non240_a_220_032","368","False","906-329","1"
"frame_text_dedup_unit","non240_a_220_032","690","False","921","1"
"frame_text_dedup_unit","non240_a_220_032","717","False","820","1"
"frame_text_dedup_unit","non240_a_220_032","817","True","<END>","3"
"frame_text_dedup_unit","non240_a_220_032","820","True","<END>","4"
"frame_text_dedup_unit","non240_a_220_032","861","False","255-416","1"
"frame_text_dedup_unit","non240_a_220_032","861","True","<END>","4"
"frame_text_dedup_unit","outside_a_220_x_032","000","True","<END>","1"
"frame_text_dedup_unit","outside_a_220_x_032","252","False","840","1"
"frame_text_dedup_unit","outside_a_220_x_032","390","False","590-032","1"
"frame_text_dedup_unit","outside_a_220_x_032","390","False","692","1"
"frame_text_dedup_unit","outside_a_220_x_032","415","True","<END>","1"
"frame_text_dedup_unit","outside_a_220_x_032","454","True","<END>","1"
"frame_text_dedup_unit","outside_a_220_x_032","817","True","<END>","2"
"frame_text_dedup_unit","outside_a_220_x_032","820","False","000","1"
"frame_text_dedup_unit","outside_a_220_x_032","820","False","001-440-012","1"
"frame_text_dedup_unit","outside_a_220_x_032","820","True","<END>","1"
"frame_text_dedup_unit","outside_a_220_x_032","861","True","<END>","3"
"frame_text_dedup_unit","outside_a_220_x_032","892","False","740","1"
"frame_text_dedup_unit","outside_a_220_x_032","900","False","285","1"
"frame_text_dedup_unit","target_240_220_032","300","False","350-032-190","1"
"frame_text_dedup_unit","target_240_220_032","817","True","<END>","1"
"frame_text_dedup_unit","target_240_220_032","820","True","<END>","1"
"frame_text_dedup_unit","target_240_220_032","861","False","603","1"
"frame_text_dedup_unit","target_240_220_032","861","True","<END>","1"
"strict_occurrence","non240_a_220_032","000","False","216","1"
"strict_occurrence","non240_a_220_032","142","True","<END>","1"
"strict_occurrence","non240_a_220_032","144","True","<END>","1"
"strict_occurrence","non240_a_220_032","168","False","032","1"
"strict_occurrence","non240_a_220_032","368","False","906-329","1"
"strict_occurrence","non240_a_220_032","690","False","921","1"
"strict_occurrence","non240_a_220_032","717","False","820","1"
"strict_occurrence","non240_a_220_032","817","True","<END>","3"
"strict_occurrence","non240_a_220_032","820","True","<END>","4"
"strict_occurrence","non240_a_220_032","861","False","255-416","1"
"strict_occurrence","non240_a_220_032","861","True","<END>","4"
"strict_occurrence","outside_a_220_x_032","000","True","<END>","1"
"strict_occurrence","outside_a_220_x_032","252","False","840","1"
"strict_occurrence","outside_a_220_x_032","390","False","590-032","1"
"strict_occurrence","outside_a_220_x_032","390","False","692","1"
"strict_occurrence","outside_a_220_x_032","415","True","<END>","1"
"strict_occurrence","outside_a_220_x_032","454","True","<END>","1"
"strict_occurrence","outside_a_220_x_032","817","True","<END>","3"
"strict_occurrence","outside_a_220_x_032","820","False","000","1"
"strict_occurrence","outside_a_220_x_032","820","False","001-440-012","1"
"strict_occurrence","outside_a_220_x_032","820","True","<END>","1"
"strict_occurrence","outside_a_220_x_032","861","True","<END>","4"
"strict_occurrence","outside_a_220_x_032","892","False","740","1"
"strict_occurrence","outside_a_220_x_032","900","False","285","1"
"strict_occurrence","target_240_220_032","300","False","350-032-190","1"
"strict_occurrence","target_240_220_032","817","True","<END>","1"
"strict_occurrence","target_240_220_032","820","True","<END>","1"
"strict_occurrence","target_240_220_032","861","False","603","1"
"strict_occurrence","target_240_220_032","861","True","<END>","1"
