id,object,site,type,symbol,cult,prev_before_002,after_002_head,after_002_tail,is_adjacent_002390,branch_after_390,tail_after_branch,terminal_class,source_status,source_tier,text
62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,SAF,032,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+000-100-240-220-032-002-861+
69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,SAN,032,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-176-032-002-861+
98.1,C-10,Chanhu-daro,SEAL:S,Bull1:W,SAN,032,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-231-220-032-002-817+
125.1,Dlp-3,Desalpur,TAG,None,None,032,892,892 740,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+394-032-002-892-740+
401.1,H-2003,Harappa,TAB:B,Mult,None,004,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+390-004-002-817+
507.1,H-1681,Harappa,SEAL:S,Bull1,-,032,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,]000-032-002-820+
744.2,H-1993,Harappa,TAB:B,None,None,004,390,390 095,yes,095,<END>,terminal,source_route_triaged_supplement_only_no_image,route_or_metadata_pressure,+740-000-220-004-002-390-095+
789.1,H-1785,Harappa,TAB:B,Phyt,None,004,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+407-004-002-861+
951.1,-,Dholavira,SEAL:S,Bull1:U,SAN,004,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+390-004-002-817+
1020.1,H-1657,Harappa,SEAL:S,Bull1:W,SAN,032,690,690 921,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-405-590-032-900-003-806-235-220-032-002-690-921+
1078.1,H-18,Harappa,SEAL:S,Bull1:W,-,032,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,]000-220-032-002-820+
1114.1,H-55,Harappa,SEAL:S,Bull1:X,SAF,004,861,861 125,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+390-004-002-861-125+
1181.1,H-140,Harappa,SEAL:R,None,None,032,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-384-032-002-817+
1434.1,H-444,Harappa,SEAL:S,Bull1:W,SAF,032,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+241-220-032-002-861+
1485.1,H-507,Harappa,SEAL:S,Bull1,SAN,032,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,]000-032-002-820+
1540.1,H-597,Harappa,SEAL:S,Bull1:J,SAN,032,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-390-590-070-032-002-861+
1540.2,H-597,Harappa,SEAL:S,Bull1:J,SAN,032,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-390-590-070-032-002-861+
1555.1,H-640,Harappa,SEAL:R,None,None,032,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,]220-032-002-817+
1622.1,H-719,Harappa,TAB:B,Phyt,None,004,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+405-004-002-861+
