checked_date,head,occurrences,terminal_classifier_count,terminal_classifier_terminal_rate,terminal_classifier_avg_length,linker_count,linker_terminal_rate,linker_avg_length,route_separation_score,x_values,sites,types,status_head_control_result
2026-05-31,390,15,5,1.000,5.800,5,0.000,8.600,1.280,125:4;095:2;705:2;072:1;140:1;346:1;530:1;590:1;692:1;707:1,Mohenjo-daro:9;Harappa:3;Dholavira:1;Surkotada:1;Unknown:1,SEAL:S:13;TAB:B:2,target
2026-05-31,000,11,5,0.800,5.800,3,0.333,4.667,0.467,000:3;090:2;031:1;215:1;216:1;317:1;350:1;861:1,Mohenjo-daro:6;Harappa:1;Kalibangan:1;Nausharo:1;Rakhigarhi:1;Unknown:1,SEAL:S:6;POT:T:g:2;SEAL:1;SEAL:C:1;SEAL:CY:1,partial_negative_control
2026-05-31,861,34,12,1.000,4.667,1,1.000,5.000,0.000,416:6;603:3;000:2;096:2;533:2;698:2;031:1;032:1;036:1;125:1;216:1;244:1;255:1;360:1;390:1;392:1;626:1;683:1;791:1;803:1;831:1;832:1;901:1,Mohenjo-daro:18;Harappa:10;Lothal:2;Allahdino:1;Dholavira:1;Kalibangan:1;Shikarpur:1,SEAL:S:17;TAB:I:6;SEAL:R:5;ROD:2;MISC:1;POT:T:p:1;SEAL:1;TAG:1,not_comparable
2026-05-31,405,32,0,0.000,0.000,1,0.000,9.000,0.000,501:29;125:1;321:1;372:1,Harappa:30;Mohenjo-daro:2,TAB:B:29;SEAL:S:3,not_comparable
2026-05-31,031,15,6,1.000,5.667,0,0.000,0.000,0.000,000:2;480:2;575:2;892:2;104:1;165:1;350:1;376:1;500:1;502:1;820:1,Mohenjo-daro:8;Dholavira:3;Harappa:2;Chanhu-daro:1;Kalibangan:1,SEAL:S:10;SEAL:R:2;POT:T:g:1;TAB:B:1;TAG:1,not_comparable
2026-05-31,368,12,3,1.000,4.000,2,0.000,9.500,0.000,260:2;119:1;165:1;202:1;518:1;550:1;590:1;634:1;840:1;861:1;906:1,Mohenjo-daro:6;Bala-kot:1;Banawali:1;Harappa:1;Kalibangan:1;Lothal:1;Unknown:1,SEAL:S:11;TAG:1,not_comparable
2026-05-31,220,11,1,1.000,7.000,8,0.000,7.125,0.000,455:5;065:3;000:1;627:1;880:1,Mohenjo-daro:6;Harappa:4;Kalibangan:1,SEAL:S:9;TAB:B:1;TAG:O:1,not_comparable
2026-05-31,056,8,0,0.000,0.000,0,0.000,0.000,0.000,091:8,Kalibangan:8,TAG:8,not_comparable
2026-05-31,817,8,3,1.000,4.667,1,0.000,9.000,0.000,000:3;032:1;090:1;192:1;690:1;808:1,Mohenjo-daro:5;Harappa:2;Kalibangan:1,SEAL:S:6;TAG:1;TAG:O:1,not_comparable
2026-05-31,820,8,4,1.000,5.500,1,0.000,4.000,0.000,000:2;741:2;001:1;033:1;700:1;906:1,Mohenjo-daro:6;Harappa:1;Kalibangan:1,SEAL:S:7;TAB:I:1,not_comparable
2026-05-31,595,7,1,0.000,13.000,1,1.000,6.000,0.000,342:1;390:1;504:1;575:1;632:1;812:1;906:1,Harappa:3;Mohenjo-daro:3;Kalibangan:1,SEAL:R:3;SEAL:S:3;TAG:L:1,not_comparable
2026-05-31,297,5,2,1.000,5.500,0,0.000,0.000,0.000,350:2;000:1;190:1;416:1,Mohenjo-daro:2;Bala-kot:1;Harappa:1;Nausharo:1,SEAL:S:4;SEAL:R:1,not_comparable
2026-05-31,365,5,0,0.000,0.000,2,0.000,8.500,0.000,460:2;287:1;374:1;550:1,Mohenjo-daro:2;Chanhu-daro:1;Dholavira:1;Harappa:1,SEAL:S:3;TAB:C:2,not_comparable
2026-05-31,374,5,1,1.000,10.000,0,0.000,0.000,0.000,228:1;309:1;310:1;575:1;840:1,Mohenjo-daro:4;Nausharo:1,SEAL:S:5,not_comparable
2026-05-31,900,5,0,0.000,0.000,2,0.000,7.000,0.000,003:2;285:1;615:1;630:1,Mohenjo-daro:4;Dholavira:1,SEAL:S:3;SEAL:R:1;TAB:B:1,not_comparable
2026-05-31,920,5,5,1.000,7.000,0,0.000,0.000,0.000,317:3;491:2,Harappa:2;Chanhu-daro:1;Lothal:1;Mohenjo-daro:1,SEAL:S:2;TAB:B:2;TAG:1,not_comparable
