"control","planted_structure","iteration","scope","coverage_fraction","rows","tokens","unique_signs","label_symmetry_log2_bits","context_equiv_log2_bits","context_equiv_class_count","context_equiv_signs","largest_context_equiv_class","profile_singleton_share","masked_tokens","masked_sampled","masked_top1_accuracy","masked_top5_accuracy","masked_mean_rank","masked_mrr","masked_mean_true_probability","masked_mean_entropy_bits","masked_mean_effective_candidates","masked_mean_mass90_candidates","context_equiv_examples"
"global_token_shuffle","pure_noise_matched_unigram_and_length","0","forger_null","0.25","450","2017","311","2132.108071818","5.584962501","4","9","3","0.971061093","1200","true","0.1175","0.2375","64.3225","0.19143413","0.077839982","3.420522864","26.553014276","59.860833333","689 764 924; 119 734; 402 902; 491 808"
"global_token_shuffle","pure_noise_matched_unigram_and_length","1","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.105","0.215833333","66.085833333","0.173841298","0.06839023","3.463893043","26.653462308","59.919166667","072 560"
"global_token_shuffle","pure_noise_matched_unigram_and_length","2","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.11","0.234166667","66.803333333","0.185252021","0.069286581","3.548724881","27.284902492","60.5425","084 421; 268 383"
"global_token_shuffle","pure_noise_matched_unigram_and_length","3","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.106666667","0.231666667","63.886666667","0.182996952","0.068239461","3.404837688","26.910199513","58.8875","067 203; 234 647; 317 409; 822 909"
"global_token_shuffle","pure_noise_matched_unigram_and_length","4","forger_null","0.25","450","2017","311","2132.108071818","7.584962501","4","10","4","0.967845659","1200","true","0.111666667","0.215833333","67.745","0.177635958","0.075632511","3.382271613","26.189423227","60.096666667","409 504 634 647; 097 291; 322 643; 545 922"
"global_token_shuffle","pure_noise_matched_unigram_and_length","5","forger_null","0.25","450","2017","311","2132.108071818","5","5","10","2","0.967845659","1200","true","0.093333333","0.206666667","65.391666667","0.166071731","0.061229444","3.523063506","27.084185863","61.269166667","012 482; 097 718; 319 467; 592 902; 636 642"
"global_token_shuffle","pure_noise_matched_unigram_and_length","6","forger_null","0.25","450","2017","311","2132.108071818","2.584962501","1","3","3","0.990353698","1200","true","0.108333333","0.224166667","64.175833333","0.180879127","0.067422945","3.471489935","27.211063029","60.339166667","640 776 905"
"global_token_shuffle","pure_noise_matched_unigram_and_length","7","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.1","0.226666667","64.4575","0.176705524","0.063999222","3.437545425","25.470654829","59.223333333","155 260; 179 411; 300 636; 491 759"
"global_token_shuffle","pure_noise_matched_unigram_and_length","8","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.093333333","0.216666667","66.439166667","0.16799618","0.063032652","3.449988416","27.156932596","60.996666667","291 681; 417 436; 703 822"
"global_token_shuffle","pure_noise_matched_unigram_and_length","9","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.1","0.228333333","66.363333333","0.175635884","0.06366426","3.483661325","27.174225447","60.051666667","257 531"
"global_token_shuffle","pure_noise_matched_unigram_and_length","10","forger_null","0.25","450","2017","311","2132.108071818","3.584962501","2","5","3","0.98392283","1200","true","0.096666667","0.219166667","64.350833333","0.173435209","0.062782324","3.496361043","24.544600976","57.784166667","025 383 712; 347 421"
"global_token_shuffle","pure_noise_matched_unigram_and_length","11","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.104166667","0.229166667","65.240833333","0.18035668","0.068360784","3.401121075","26.800129296","60.585833333","216 721; 221 383; 317 530; 371 922"
"global_token_shuffle","pure_noise_matched_unigram_and_length","12","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.100833333","0.216666667","67.9175","0.172307128","0.067121709","3.408849691","25.959488123","60.545","122 510; 155 956; 634 807"
"global_token_shuffle","pure_noise_matched_unigram_and_length","13","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.084166667","0.201666667","66.7175","0.158573287","0.054368262","3.47434715","28.272694213","61.5725","291 770; 402 815; 552 791"
"global_token_shuffle","pure_noise_matched_unigram_and_length","14","forger_null","0.25","450","2017","311","2132.108071818","5.584962501","4","9","3","0.971061093","1200","true","0.1125","0.2375","65.715","0.185463339","0.073319875","3.407293058","27.461489397","60.8825","278 513 814; 122 354; 601 866; 689 956"
"global_token_shuffle","pure_noise_matched_unigram_and_length","15","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.110833333","0.2275","67.201666667","0.181876258","0.068912998","3.517582132","26.860715368","62.118333333","155 263; 203 808; 311 542; 504 577"
"global_token_shuffle","pure_noise_matched_unigram_and_length","16","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.090833333","0.215","65.305","0.167044644","0.061150382","3.418963217","23.207482642","57.195833333","264 909"
"global_token_shuffle","pure_noise_matched_unigram_and_length","17","forger_null","0.25","450","2017","311","2132.108071818","7","7","14","2","0.954983923","1200","true","0.103333333","0.2275","64.0525","0.176585937","0.069394274","3.488720651","27.885120807","62.1975","059 703; 119 797; 311 634; 337 890; 391 863; 491 905"
"global_token_shuffle","pure_noise_matched_unigram_and_length","18","forger_null","0.25","450","2017","311","2132.108071818","0","0","0","1","1","1200","true","0.1","0.205833333","66.73","0.171880838","0.070498038","3.357586403","26.088426596","59.769166667",""
"global_token_shuffle","pure_noise_matched_unigram_and_length","19","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.09","0.215833333","66.9375","0.164739653","0.058623473","3.462889318","27.999946715","62.4325","041 391; 153 518; 269 632"
"global_token_shuffle","pure_noise_matched_unigram_and_length","20","forger_null","0.25","450","2017","311","2132.108071818","5","5","10","2","0.967845659","1200","true","0.09","0.2125","66.885833333","0.163954322","0.056812938","3.483977406","25.604727218","59.643333333","025 764; 081 643; 264 375; 632 922; 634 852"
"global_token_shuffle","pure_noise_matched_unigram_and_length","21","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.11","0.239166667","62.808333333","0.187232878","0.072050744","3.446610167","26.075419769","61.039166667","063 681; 119 596; 336 577; 759 815"
"global_token_shuffle","pure_noise_matched_unigram_and_length","22","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.095833333","0.205833333","67.284166667","0.165784726","0.058661253","3.560819423","26.944274446","63.189166667","084 389"
"global_token_shuffle","pure_noise_matched_unigram_and_length","23","forger_null","0.25","450","2017","311","2132.108071818","3.584962501","2","5","3","0.98392283","1200","true","0.108333333","0.226666667","65.106666667","0.179378786","0.066460784","3.466221951","25.797671957","60.941666667","098 689 815; 491 542"
"global_token_shuffle","pure_noise_matched_unigram_and_length","24","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.1025","0.220833333","65.3975","0.176355614","0.068156595","3.507259356","25.497519337","60.496666667","311 909; 423 482; 902 922"
"global_token_shuffle","pure_noise_matched_unigram_and_length","25","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.090833333","0.21","65.635833333","0.167157126","0.058859501","3.405984756","25.733698826","59.999166667","410 808; 491 573"
"global_token_shuffle","pure_noise_matched_unigram_and_length","26","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.091666667","0.228333333","68.213333333","0.171148386","0.062645373","3.390408935","24.617090173","58.580833333","006 513; 347 825; 504 890; 678 687"
"global_token_shuffle","pure_noise_matched_unigram_and_length","27","forger_null","0.25","450","2017","311","2132.108071818","7.584962501","6","13","3","0.958199357","1200","true","0.085","0.209166667","68.83","0.161105757","0.062180939","3.489029","27.95868338","62.500833333","006 491 601; 062 119; 098 234; 409 902; 552 640; 634 687"
"global_token_shuffle","pure_noise_matched_unigram_and_length","28","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.095833333","0.229166667","66.935833333","0.173440858","0.06321101","3.38534312","24.521584591","57.163333333","119 122; 510 851"
"global_token_shuffle","pure_noise_matched_unigram_and_length","29","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.0975","0.234166667","63.610833333","0.177881113","0.066902327","3.390153273","25.27739292","58.570833333","067 367; 081 632; 260 814; 311 687"
"global_token_shuffle","pure_noise_matched_unigram_and_length","30","forger_null","0.25","450","2017","311","2132.108071818","0","0","0","1","1","1200","true","0.094166667","0.2","67.7425","0.165927906","0.063202872","3.4394515","27.186431017","60.769166667",""
"global_token_shuffle","pure_noise_matched_unigram_and_length","31","forger_null","0.25","450","2017","311","2132.108071818","5","5","10","2","0.967845659","1200","true","0.1","0.220833333","65.354166667","0.174210534","0.062381066","3.494361094","26.754487425","61.878333333","062 465; 221 734; 371 870; 375 410; 812 814"
"global_token_shuffle","pure_noise_matched_unigram_and_length","32","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.108333333","0.228333333","64.75","0.181496366","0.068859493","3.475380982","27.283035215","61.160833333","153 560; 408 808"
"global_token_shuffle","pure_noise_matched_unigram_and_length","33","forger_null","0.25","450","2017","311","2132.108071818","6.584962501","5","11","3","0.964630225","1200","true","0.114166667","0.224166667","66.38","0.183824761","0.070730005","3.411402275","24.361151136","59.194166667","059 268 863; 081 315; 168 322; 269 530; 410 411"
"global_token_shuffle","pure_noise_matched_unigram_and_length","34","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.1075","0.2325","65.418333333","0.185306101","0.066477012","3.426753615","26.96302182","60.29","504 698; 596 866"
"global_token_shuffle","pure_noise_matched_unigram_and_length","35","forger_null","0.25","450","2017","311","2132.108071818","6","6","12","2","0.961414791","1200","true","0.100833333","0.229166667","65.976666667","0.177311326","0.060260233","3.527333737","25.599912094","59.029166667","122 678; 243 383; 291 409; 410 870; 518 869; 530 815"
"global_token_shuffle","pure_noise_matched_unigram_and_length","36","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.091666667","0.229166667","62.06","0.172233537","0.058317511","3.47686707","24.783254187","59.121666667","168 383; 191 391; 510 681"
"global_token_shuffle","pure_noise_matched_unigram_and_length","37","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.095833333","0.2075","67.6025","0.168368274","0.066336725","3.429364976","28.305493411","62.059166667","028 200"
"global_token_shuffle","pure_noise_matched_unigram_and_length","38","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.093333333","0.221666667","65.83","0.172662184","0.066160293","3.469804347","27.797746097","61.391666667","041 322; 291 905; 315 718"
"global_token_shuffle","pure_noise_matched_unigram_and_length","39","forger_null","0.25","450","2017","311","2132.108071818","5.584962501","2","6","4","0.980707395","1200","true","0.091666667","0.211666667","69.096666667","0.163734447","0.062728082","3.333458456","23.735322615","54.695833333","122 286 825 870; 221 560"
"global_token_shuffle","pure_noise_matched_unigram_and_length","40","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.098333333","0.221666667","66.283333333","0.170786721","0.061122725","3.490968815","24.946311454","58.955833333","278 689; 417 734; 467 712"
"global_token_shuffle","pure_noise_matched_unigram_and_length","41","forger_null","0.25","450","2017","311","2132.108071818","8.169925001","3","9","4","0.971061093","1200","true","0.103333333","0.245","64.815833333","0.184042121","0.069360845","3.45920346","27.974523182","61.68","375 389 410 456; 421 909 956; 465 530"
"global_token_shuffle","pure_noise_matched_unigram_and_length","42","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.105","0.2275","65.639166667","0.180531835","0.066350111","3.430374875","26.723992174","60.125833333","300 814; 423 712; 511 866"
"global_token_shuffle","pure_noise_matched_unigram_and_length","43","forger_null","0.25","450","2017","311","2132.108071818","8","8","16","2","0.948553055","1200","true","0.089166667","0.225833333","68.384166667","0.167103657","0.059712232","3.444141417","25.916851783","60.755833333","014 636; 069 367; 072 300; 200 814; 221 243; 317 734"
"global_token_shuffle","pure_noise_matched_unigram_and_length","44","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.105833333","0.2325","63.364166667","0.183312691","0.069105617","3.513484319","27.043141218","60.3775","059 561; 067 634; 354 408"
"global_token_shuffle","pure_noise_matched_unigram_and_length","45","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.095833333","0.209166667","67.859166667","0.1676592","0.062321969","3.389022374","23.70472802","56.735","006 956; 097 155; 200 759"
"global_token_shuffle","pure_noise_matched_unigram_and_length","46","forger_null","0.25","450","2017","311","2132.108071818","5","5","10","2","0.967845659","1200","true","0.093333333","0.218333333","67.090833333","0.167363303","0.057687288","3.458163867","26.068154163","57.9575","014 456; 168 417; 200 203; 300 924; 467 592"
"global_token_shuffle","pure_noise_matched_unigram_and_length","47","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.098333333","0.21","65.883333333","0.169135654","0.059930938","3.490268291","24.300673209","58.828333333","122 456; 278 647; 375 482"
"global_token_shuffle","pure_noise_matched_unigram_and_length","48","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.090833333","0.224166667","67.403333333","0.171089957","0.059160269","3.462915184","25.294455744","59.7225","014 712; 698 703"
"global_token_shuffle","pure_noise_matched_unigram_and_length","49","forger_null","0.25","450","2017","311","2132.108071818","5","5","10","2","0.967845659","1200","true","0.105833333","0.213333333","67.203333333","0.177661997","0.068533996","3.536755988","25.746123108","60.359166667","028 402; 300 319; 322 421; 347 408; 391 600"
"global_token_shuffle","pure_noise_matched_unigram_and_length","50","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.101666667","0.213333333","65.750833333","0.174822471","0.061604216","3.498656811","26.89804044","61.604166667","179 592; 337 783; 825 866"
"global_token_shuffle","pure_noise_matched_unigram_and_length","51","forger_null","0.25","450","2017","311","2132.108071818","4.584962501","3","7","3","0.977491961","1200","true","0.1","0.231666667","63.064166667","0.178948335","0.065607447","3.471156598","24.771673205","58.138333333","776 797 814; 291 542; 391 409"
"global_token_shuffle","pure_noise_matched_unigram_and_length","52","forger_null","0.25","450","2017","311","2132.108071818","7.584962501","4","10","4","0.967845659","1200","true","0.0975","0.2275","67.780833333","0.17178058","0.06171535","3.494226445","26.474380221","59.146666667","592 601 825 862; 260 456; 530 869; 797 852"
"global_token_shuffle","pure_noise_matched_unigram_and_length","53","forger_null","0.25","450","2017","311","2132.108071818","7.584962501","6","13","3","0.958199357","1200","true","0.110833333","0.230833333","64.543333333","0.184393745","0.066899098","3.437572802","24.048904994","56.818333333","062 822 922; 012 764; 262 852; 367 796; 381 862; 783 797"
"global_token_shuffle","pure_noise_matched_unigram_and_length","54","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.0925","0.210833333","65.404166667","0.16772201","0.060629033","3.31372342","23.112077349","55.829166667","263 698; 423 905; 530 687"
"global_token_shuffle","pure_noise_matched_unigram_and_length","55","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.099166667","0.218333333","66.394166667","0.172358753","0.062803796","3.492270613","25.895327975","59.921666667","510 778; 634 718"
"global_token_shuffle","pure_noise_matched_unigram_and_length","56","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.091666667","0.2125","66.04","0.167912733","0.05957374","3.455715163","25.18942672","60.264166667","025 909; 269 601; 367 851; 689 698"
"global_token_shuffle","pure_noise_matched_unigram_and_length","57","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.096666667","0.223333333","65.168333333","0.16994039","0.065435264","3.4393541","26.789218395","60.675833333","421 956; 776 879"
"global_token_shuffle","pure_noise_matched_unigram_and_length","58","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.091666667","0.2075","65.075","0.165896793","0.058518094","3.454385948","25.208762934","59.924166667","012 851; 098 264"
