"target","shuffle_block","shuffle_fields","model","rows","labels","observed_accuracy","null_accuracy_mean","null_accuracy_p95","observed_minus_null_mean","null_iterations_ge_observed_accuracy","observed_macro_f1","null_macro_f1_mean","null_macro_f1_p95","observed_minus_null_macro_f1_mean","null_iterations_ge_observed_macro_f1","unchanged_label_share_mean"
"horizontal_bin","global","none","majority","1682","4","0.39893","0.39893","0.39893","0","10","0.142584","0.142584","0.142584","0","10","0.32283"
"horizontal_bin","global","none","length_type_site","1682","4","0.485731","0.380618","0.410315","0.105113","0","0.413637","0.224286","0.249659","0.189352","0","0.32283"
"horizontal_bin","global","none","material_shape","1682","4","0.471463","0.390428","0.414388","0.081034","0","0.30223","0.198767","0.235548","0.103463","0","0.32283"
"horizontal_bin","global","none","edge_frame","1682","4","0.4239","0.37497","0.395155","0.04893","0","0.240879","0.19172","0.218086","0.049159","0","0.32283"
"horizontal_bin","global","none","edge_class_frame","1682","4","0.477408","0.39126","0.415933","0.086147","0","0.334216","0.23266","0.246101","0.101556","0","0.32283"
"horizontal_bin","global","none","hard_proxy","1682","4","0.488704","0.378359","0.404994","0.110345","0","0.415585","0.227136","0.253249","0.188449","0","0.32283"
"horizontal_bin","global","none","hard_proxy_edge_class","1682","4","0.467301","0.377943","0.396968","0.089358","0","0.350585","0.226029","0.248511","0.124556","0","0.32283"
"horizontal_bin","global","none","token_nb","1682","4","0.444114","0.373365","0.395452","0.070749","0","0.314026","0.230091","0.249331","0.083935","0","0.32283"
"horizontal_bin","edge_frame","edge_frame","majority","1682","4","0.39893","0.39893","0.39893","0","10","0.142584","0.142584","0.142584","0","10","0.865398"
"horizontal_bin","edge_frame","edge_frame","length_type_site","1682","4","0.485731","0.476694","0.496849","0.009037","4","0.413637","0.406823","0.42127","0.006815","3","0.865398"
"horizontal_bin","edge_frame","edge_frame","material_shape","1682","4","0.471463","0.453032","0.458888","0.01843","0","0.30223","0.304568","0.326158","-0.002338","7","0.865398"
"horizontal_bin","edge_frame","edge_frame","edge_frame","1682","4","0.4239","0.4239","0.4239","0","10","0.240879","0.240879","0.240879","0","10","0.865398"
"horizontal_bin","edge_frame","edge_frame","edge_class_frame","1682","4","0.477408","0.477408","0.477408","0","10","0.334216","0.334216","0.334216","0","10","0.865398"
"horizontal_bin","edge_frame","edge_frame","hard_proxy","1682","4","0.488704","0.477705","0.489298","0.010999","2","0.415585","0.40175","0.41597","0.013835","1","0.865398"
"horizontal_bin","edge_frame","edge_frame","hard_proxy_edge_class","1682","4","0.467301","0.451308","0.465696","0.015993","1","0.350585","0.337719","0.352301","0.012867","1","0.865398"
"horizontal_bin","edge_frame","edge_frame","token_nb","1682","4","0.444114","0.428716","0.440547","0.015398","0","0.314026","0.303194","0.311602","0.010832","0","0.865398"
"horizontal_bin","edge_class_frame","edge_class_frame","majority","1682","4","0.39893","0.39893","0.39893","0","10","0.142584","0.142584","0.142584","0","10","0.453567"
"horizontal_bin","edge_class_frame","edge_class_frame","length_type_site","1682","4","0.485731","0.460939","0.478329","0.024792","0","0.413637","0.318831","0.344248","0.094806","0","0.453567"
"horizontal_bin","edge_class_frame","edge_class_frame","material_shape","1682","4","0.471463","0.409096","0.422176","0.062366","0","0.30223","0.237779","0.256417","0.06445","0","0.453567"
"horizontal_bin","edge_class_frame","edge_class_frame","edge_frame","1682","4","0.4239","0.406361","0.414625","0.017539","0","0.240879","0.231844","0.24323","0.009035","2","0.453567"
"horizontal_bin","edge_class_frame","edge_class_frame","edge_class_frame","1682","4","0.477408","0.477408","0.477408","0","10","0.334216","0.334216","0.334216","0","10","0.453567"
"horizontal_bin","edge_class_frame","edge_class_frame","hard_proxy","1682","4","0.488704","0.451367","0.4717","0.037337","0","0.415585","0.32315","0.359702","0.092435","0","0.453567"
"horizontal_bin","edge_class_frame","edge_class_frame","hard_proxy_edge_class","1682","4","0.467301","0.436564","0.450713","0.030737","0","0.350585","0.296777","0.311156","0.053809","0","0.453567"
"horizontal_bin","edge_class_frame","edge_class_frame","token_nb","1682","4","0.444114","0.416231","0.431064","0.027883","0","0.314026","0.281492","0.295017","0.032534","0","0.453567"
"horizontal_bin","hard_proxy","length;type;site;material;shape;direction","majority","1682","4","0.39893","0.39893","0.39893","0","10","0.142584","0.142584","0.142584","0","10","0.591201"
"horizontal_bin","hard_proxy","length;type;site;material;shape;direction","length_type_site","1682","4","0.485731","0.485731","0.485731","0","10","0.413637","0.413637","0.413637","0","10","0.591201"
"horizontal_bin","hard_proxy","length;type;site;material;shape;direction","material_shape","1682","4","0.471463","0.471463","0.471463","0","10","0.30223","0.30223","0.30223","0","10","0.591201"
"horizontal_bin","hard_proxy","length;type;site;material;shape;direction","edge_frame","1682","4","0.4239","0.408621","0.422889","0.015279","1","0.240879","0.231736","0.248803","0.009143","3","0.591201"
"horizontal_bin","hard_proxy","length;type;site;material;shape;direction","edge_class_frame","1682","4","0.477408","0.445244","0.480351","0.032164","2","0.334216","0.311829","0.344988","0.022387","1","0.591201"
"horizontal_bin","hard_proxy","length;type;site;material;shape;direction","hard_proxy","1682","4","0.488704","0.488704","0.488704","0","10","0.415585","0.415585","0.415585","0","10","0.591201"
"horizontal_bin","hard_proxy","length;type;site;material;shape;direction","hard_proxy_edge_class","1682","4","0.467301","0.45107","0.464269","0.016231","1","0.350585","0.324216","0.333562","0.026369","0","0.591201"
"horizontal_bin","hard_proxy","length;type;site;material;shape;direction","token_nb","1682","4","0.444114","0.434483","0.452705","0.009631","3","0.314026","0.314479","0.331224","-0.000453","7","0.591201"
"horizontal_bin","hard_proxy_edge_class","length;type;site;material;shape;direction;edge_class_frame","majority","1682","4","0.39893","0.39893","0.39893","0","10","0.142584","0.142584","0.142584","0","10","0.762128"
"horizontal_bin","hard_proxy_edge_class","length;type;site;material;shape;direction;edge_class_frame","length_type_site","1682","4","0.485731","0.485731","0.485731","0","10","0.413637","0.413637","0.413637","0","10","0.762128"
"horizontal_bin","hard_proxy_edge_class","length;type;site;material;shape;direction;edge_class_frame","material_shape","1682","4","0.471463","0.471463","0.471463","0","10","0.30223","0.30223","0.30223","0","10","0.762128"
"horizontal_bin","hard_proxy_edge_class","length;type;site;material;shape;direction;edge_class_frame","edge_frame","1682","4","0.4239","0.415874","0.430113","0.008026","3","0.240879","0.241721","0.259416","-0.000842","4","0.762128"
"horizontal_bin","hard_proxy_edge_class","length;type;site;material;shape;direction;edge_class_frame","edge_class_frame","1682","4","0.477408","0.477408","0.477408","0","10","0.334216","0.334216","0.334216","0","10","0.762128"
"horizontal_bin","hard_proxy_edge_class","length;type;site;material;shape;direction;edge_class_frame","hard_proxy","1682","4","0.488704","0.488704","0.488704","0","10","0.415585","0.415585","0.415585","0","10","0.762128"
"horizontal_bin","hard_proxy_edge_class","length;type;site;material;shape;direction;edge_class_frame","hard_proxy_edge_class","1682","4","0.467301","0.467301","0.467301","0","10","0.350585","0.350585","0.350585","0","10","0.762128"
"horizontal_bin","hard_proxy_edge_class","length;type;site;material;shape;direction;edge_class_frame","token_nb","1682","4","0.444114","0.431391","0.448424","0.012723","1","0.314026","0.30856","0.320893","0.005466","3","0.762128"
"vertical_bin","global","none","majority","1609","4","0.356122","0.356122","0.356122","0","10","0.131302","0.131302","0.131302","0","10","0.271162"
"vertical_bin","global","none","length_type_site","1609","4","0.627098","0.325109","0.347732","0.301989","0","0.562599","0.226147","0.247659","0.336452","0","0.271162"
"vertical_bin","global","none","material_shape","1609","4","0.597265","0.342449","0.363518","0.254817","0","0.475754","0.191452","0.230695","0.284302","0","0.271162"
"vertical_bin","global","none","edge_frame","1609","4","0.357986","0.33064","0.342511","0.027346","0","0.234146","0.201888","0.219846","0.032259","0","0.271162"
"vertical_bin","global","none","edge_class_frame","1609","4","0.4133","0.309695","0.340553","0.103605","0","0.383506","0.225072","0.250628","0.158435","0","0.271162"
"vertical_bin","global","none","hard_proxy","1609","4","0.53325","0.312368","0.339279","0.220883","0","0.482291","0.227115","0.253255","0.255176","0","0.271162"
"vertical_bin","global","none","hard_proxy_edge_class","1609","4","0.435053","0.314357","0.333188","0.120696","0","0.374459","0.225083","0.243007","0.149376","0","0.271162"
"vertical_bin","global","none","token_nb","1609","4","0.465507","0.315103","0.327533","0.150404","0","0.430971","0.228629","0.241554","0.202342","0","0.271162"
"vertical_bin","edge_frame","edge_frame","majority","1609","4","0.356122","0.356122","0.356122","0","10","0.131302","0.131302","0.131302","0","10","0.864512"
"vertical_bin","edge_frame","edge_frame","length_type_site","1609","4","0.627098","0.574456","0.587663","0.052641","0","0.562599","0.522517","0.547121","0.040082","0","0.864512"
"vertical_bin","edge_frame","edge_frame","material_shape","1609","4","0.597265","0.548602","0.561094","0.048664","0","0.475754","0.435204","0.446812","0.040549","0","0.864512"
"vertical_bin","edge_frame","edge_frame","edge_frame","1609","4","0.357986","0.357986","0.357986","0","10","0.234146","0.234146","0.234146","0","10","0.864512"
"vertical_bin","edge_frame","edge_frame","edge_class_frame","1609","4","0.4133","0.4133","0.4133","0","10","0.383506","0.383506","0.383506","0","10","0.864512"
"vertical_bin","edge_frame","edge_frame","hard_proxy","1609","4","0.53325","0.499254","0.516004","0.033996","0","0.482291","0.45385","0.483317","0.028441","1","0.864512"
"vertical_bin","edge_frame","edge_frame","hard_proxy_edge_class","1609","4","0.435053","0.401927","0.412927","0.033126","0","0.374459","0.343808","0.354788","0.030651","0","0.864512"
"vertical_bin","edge_frame","edge_frame","token_nb","1609","4","0.465507","0.449037","0.456526","0.01647","0","0.430971","0.417261","0.423117","0.01371","0","0.864512"
"vertical_bin","edge_class_frame","edge_class_frame","majority","1609","4","0.356122","0.356122","0.356122","0","10","0.131302","0.131302","0.131302","0","10","0.405966"
"vertical_bin","edge_class_frame","edge_class_frame","length_type_site","1609","4","0.627098","0.388999","0.413114","0.238098","0","0.562599","0.339048","0.36284","0.223551","0","0.405966"
"vertical_bin","edge_class_frame","edge_class_frame","material_shape","1609","4","0.597265","0.365755","0.374208","0.23151","0","0.475754","0.243209","0.262523","0.232545","0","0.405966"
"vertical_bin","edge_class_frame","edge_class_frame","edge_frame","1609","4","0.357986","0.349658","0.363735","0.008328","2","0.234146","0.22024","0.236864","0.013906","1","0.405966"
"vertical_bin","edge_class_frame","edge_class_frame","edge_class_frame","1609","4","0.4133","0.4133","0.4133","0","10","0.383506","0.383506","0.383506","0","10","0.405966"
"vertical_bin","edge_class_frame","edge_class_frame","hard_proxy","1609","4","0.53325","0.366314","0.385146","0.166936","0","0.482291","0.309032","0.329799","0.173259","0","0.405966"
"vertical_bin","edge_class_frame","edge_class_frame","hard_proxy_edge_class","1609","4","0.435053","0.352766","0.376165","0.082287","0","0.374459","0.284921","0.311116","0.089538","0","0.405966"
"vertical_bin","edge_class_frame","edge_class_frame","token_nb","1609","4","0.465507","0.34394","0.368086","0.121566","0","0.430971","0.28547","0.311171","0.145501","0","0.405966"
"vertical_bin","hard_proxy","length;type;site;material;shape;direction","majority","1609","4","0.356122","0.356122","0.356122","0","10","0.131302","0.131302","0.131302","0","10","0.667868"
"vertical_bin","hard_proxy","length;type;site;material;shape;direction","length_type_site","1609","4","0.627098","0.627098","0.627098","0","10","0.562599","0.562599","0.562599","0","10","0.667868"
"vertical_bin","hard_proxy","length;type;site;material;shape;direction","material_shape","1609","4","0.597265","0.597265","0.597265","0","10","0.475754","0.475754","0.475754","0","10","0.667868"
"vertical_bin","hard_proxy","length;type;site;material;shape;direction","edge_frame","1609","4","0.357986","0.353947","0.362119","0.00404","3","0.234146","0.224818","0.236061","0.009328","3","0.667868"
"vertical_bin","hard_proxy","length;type;site;material;shape;direction","edge_class_frame","1609","4","0.4133","0.391548","0.419733","0.021753","1","0.383506","0.34177","0.374881","0.041736","1","0.667868"
"vertical_bin","hard_proxy","length;type;site;material;shape;direction","hard_proxy","1609","4","0.53325","0.53325","0.53325","0","10","0.482291","0.482291","0.482291","0","10","0.667868"
"vertical_bin","hard_proxy","length;type;site;material;shape;direction","hard_proxy_edge_class","1609","4","0.435053","0.433686","0.448571","0.001367","5","0.374459","0.367084","0.391692","0.007375","2","0.667868"
"vertical_bin","hard_proxy","length;type;site;material;shape;direction","token_nb","1609","4","0.465507","0.425233","0.437228","0.040273","0","0.430971","0.374705","0.392293","0.056266","0","0.667868"
