blind_id,cisi,tail_class,tail,source_image
TH659,M-91,fixed_pair,255 416,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M91_impression_a_signband_from_cisi_india_n071.png
TH101,M-240,simple_single,603,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M240_impression_a_signband_from_cisi_india_n095.png
TH349,M-355,long_continuation,360 520 919 140,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_533717_register_controls\M355_obv_A_register_control.png
TH514,M-376,fixed_pair,533 717,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M376_impression_a_cisi_india_n129.png
TH749,M-391,fixed_pair,533 717,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M391_impression_a_cisi_india_n131.png
TH553,M-1267,closure,<END>,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_533717_register_controls\M1267_obv_A_register_control.png
TH330,M-1273,simple_single,603,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M1273_impression_a_cisi_pakistan_n195.png
