"scope","leaveout_mode","block_policy","iteration","model","block_count","singleton_blocks","mutable_blocks","moved_labels","predictions","top1_accuracy","top2_accuracy","median_rank","subtype_032_top1","subtype_033_top1","subtype_034_top1","top1_gain_vs_frequency"
"excluding_h2218_h2239","sequence_family","global","1","frequency","1","0","1","225","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","1","object","1","0","1","225","331","0.401813","0.728097","2","0","0.977941","0","-0.009063"
"excluding_h2218_h2239","sequence_family","global","1","dimensions","1","0","1","225","331","0.277946","0.670695","2","0.078431","0.558824","0.086022","-0.132931"
"excluding_h2218_h2239","sequence_family","global","1","side_context","1","0","1","225","331","0.407855","0.63142","2","0","0.963235","0.043011","-0.003021"
"excluding_h2218_h2239","sequence_family","global","2","frequency","1","0","1","217","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","2","object","1","0","1","217","331","0.404834","0.613293","2","0","0.985294","0","-0.006042"
"excluding_h2218_h2239","sequence_family","global","2","dimensions","1","0","1","217","331","0.359517","0.773414","2","0.27451","0.463235","0.301075","-0.05136"
"excluding_h2218_h2239","sequence_family","global","2","side_context","1","0","1","217","331","0.398792","0.743202","2","0.313725","0.735294","0","-0.012085"
"excluding_h2218_h2239","sequence_family","global","3","frequency","1","0","1","236","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","3","object","1","0","1","236","331","0.413897","0.716012","2","0.04902","0.970588","0","0.003021"
"excluding_h2218_h2239","sequence_family","global","3","dimensions","1","0","1","236","331","0.311178","0.643505","2","0.313725","0.477941","0.064516","-0.099698"
"excluding_h2218_h2239","sequence_family","global","3","side_context","1","0","1","236","331","0.29003","0.649547","2","0.04902","0.647059","0.032258","-0.120846"
"excluding_h2218_h2239","sequence_family","global","4","frequency","1","0","1","216","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","4","object","1","0","1","216","331","0.401813","0.725076","2","0","0.977941","0","-0.009063"
"excluding_h2218_h2239","sequence_family","global","4","dimensions","1","0","1","216","331","0.29003","0.694864","2","0.205882","0.470588","0.11828","-0.120846"
"excluding_h2218_h2239","sequence_family","global","4","side_context","1","0","1","216","331","0.359517","0.728097","2","0.019608","0.75","0.16129","-0.05136"
"excluding_h2218_h2239","sequence_family","global","5","frequency","1","0","1","217","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","5","object","1","0","1","217","331","0.407855","0.694864","2","0","0.963235","0.043011","-0.003021"
"excluding_h2218_h2239","sequence_family","global","5","dimensions","1","0","1","217","331","0.34139","0.649547","2","0.303922","0.551471","0.075269","-0.069486"
"excluding_h2218_h2239","sequence_family","global","5","side_context","1","0","1","217","331","0.429003","0.743202","2","0.22549","0.779412","0.139785","0.018127"
"excluding_h2218_h2239","sequence_family","global","6","frequency","1","0","1","214","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","6","object","1","0","1","214","331","0.407855","0.740181","2","0","0.992647","0","-0.003021"
"excluding_h2218_h2239","sequence_family","global","6","dimensions","1","0","1","214","331","0.353474","0.667674","2","0.137255","0.610294","0.215054","-0.057402"
"excluding_h2218_h2239","sequence_family","global","6","side_context","1","0","1","214","331","0.350453","0.746224","2","0.04902","0.573529","0.354839","-0.060423"
"excluding_h2218_h2239","sequence_family","global","7","frequency","1","0","1","235","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","7","object","1","0","1","235","331","0.410876","0.679758","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","7","dimensions","1","0","1","235","331","0.350453","0.574018","2","0.431373","0.433824","0.139785","-0.060423"
"excluding_h2218_h2239","sequence_family","global","7","side_context","1","0","1","235","331","0.302115","0.73716","2","0.078431","0.669118","0.010753","-0.108761"
"excluding_h2218_h2239","sequence_family","global","8","frequency","1","0","1","219","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","8","object","1","0","1","219","331","0.416918","0.564955","2","0.068627","0.963235","0","0.006042"
"excluding_h2218_h2239","sequence_family","global","8","dimensions","1","0","1","219","331","0.392749","0.655589","2","0.245098","0.617647","0.225806","-0.018127"
"excluding_h2218_h2239","sequence_family","global","8","side_context","1","0","1","219","331","0.407855","0.743202","2","0.362745","0.720588","0","-0.003021"
"excluding_h2218_h2239","sequence_family","global","9","frequency","1","0","1","212","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","9","object","1","0","1","212","331","0.410876","0.616314","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","9","dimensions","1","0","1","212","331","0.36858","0.655589","2","0.441176","0.433824","0.193548","-0.042296"
"excluding_h2218_h2239","sequence_family","global","9","side_context","1","0","1","212","331","0.401813","0.688822","2","0.352941","0.713235","0","-0.009063"
"excluding_h2218_h2239","sequence_family","global","10","frequency","1","0","1","207","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","10","object","1","0","1","207","331","0.314199","0.752266","2","0.098039","0.639706","0.075269","-0.096677"
"excluding_h2218_h2239","sequence_family","global","10","dimensions","1","0","1","207","331","0.344411","0.661631","2","0.127451","0.5","0.354839","-0.066465"
"excluding_h2218_h2239","sequence_family","global","10","side_context","1","0","1","207","331","0.359517","0.586103","2","0","0.875","0","-0.05136"
"excluding_h2218_h2239","sequence_family","global","11","frequency","1","0","1","217","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","11","object","1","0","1","217","331","0.407855","0.570997","2","0","0.992647","0","-0.003021"
"excluding_h2218_h2239","sequence_family","global","11","dimensions","1","0","1","217","331","0.398792","0.655589","2","0.098039","0.720588","0.258065","-0.012085"
"excluding_h2218_h2239","sequence_family","global","11","side_context","1","0","1","217","331","0.416918","0.697885","2","0.343137","0.757353","0","0.006042"
"excluding_h2218_h2239","sequence_family","global","12","frequency","1","0","1","215","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","12","object","1","0","1","215","331","0.404834","0.725076","2","0","0.985294","0","-0.006042"
"excluding_h2218_h2239","sequence_family","global","12","dimensions","1","0","1","215","331","0.320242","0.706949","2","0.176471","0.448529","0.290323","-0.090634"
"excluding_h2218_h2239","sequence_family","global","12","side_context","1","0","1","215","331","0.347432","0.734139","2","0.372549","0.566176","0","-0.063444"
"excluding_h2218_h2239","sequence_family","global","13","frequency","1","0","1","236","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","13","object","1","0","1","236","331","0.41994","0.728097","2","0.078431","0.963235","0","0.009063"
"excluding_h2218_h2239","sequence_family","global","13","dimensions","1","0","1","236","331","0.314199","0.679758","2","0.039216","0.625","0.16129","-0.096677"
"excluding_h2218_h2239","sequence_family","global","13","side_context","1","0","1","236","331","0.371601","0.728097","2","0.029412","0.617647","0.387097","-0.039275"
"excluding_h2218_h2239","sequence_family","global","14","frequency","1","0","1","215","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","14","object","1","0","1","215","331","0.410876","0.610272","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","14","dimensions","1","0","1","215","331","0.344411","0.655589","2","0.088235","0.580882","0.27957","-0.066465"
"excluding_h2218_h2239","sequence_family","global","14","side_context","1","0","1","215","331","0.41994","0.649547","2","0.382353","0.602941","0.193548","0.009063"
"excluding_h2218_h2239","sequence_family","global","15","frequency","1","0","1","221","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","15","object","1","0","1","221","331","0.422961","0.731118","2","0","0.977941","0.075269","0.012085"
"excluding_h2218_h2239","sequence_family","global","15","dimensions","1","0","1","221","331","0.435045","0.725076","2","0.421569","0.588235","0.225806","0.024169"
"excluding_h2218_h2239","sequence_family","global","15","side_context","1","0","1","221","331","0.386707","0.601208","2","0.392157","0.632353","0.021505","-0.024169"
"excluding_h2218_h2239","sequence_family","global","16","frequency","1","0","1","206","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","16","object","1","0","1","206","331","0.398792","0.564955","2","0.029412","0.948529","0","-0.012085"
"excluding_h2218_h2239","sequence_family","global","16","dimensions","1","0","1","206","331","0.407855","0.728097","2","0.186275","0.757353","0.139785","-0.003021"
"excluding_h2218_h2239","sequence_family","global","16","side_context","1","0","1","206","331","0.383686","0.561934","2","0.156863","0.705882","0.16129","-0.02719"
"excluding_h2218_h2239","sequence_family","global","17","frequency","1","0","1","218","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","17","object","1","0","1","218","331","0.392749","0.73716","2","0","0.955882","0","-0.018127"
"excluding_h2218_h2239","sequence_family","global","17","dimensions","1","0","1","218","331","0.365559","0.655589","2","0.029412","0.757353","0.16129","-0.045317"
"excluding_h2218_h2239","sequence_family","global","17","side_context","1","0","1","218","331","0.407855","0.725076","2","0.588235","0.551471","0","-0.003021"
"excluding_h2218_h2239","sequence_family","global","18","frequency","1","0","1","219","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","18","object","1","0","1","219","331","0.410876","0.703927","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","18","dimensions","1","0","1","219","331","0.450151","0.685801","2","0.22549","0.801471","0.182796","0.039275"
"excluding_h2218_h2239","sequence_family","global","18","side_context","1","0","1","219","331","0.365559","0.679758","2","0.009804","0.75","0.193548","-0.045317"
"excluding_h2218_h2239","sequence_family","global","19","frequency","1","0","1","219","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","19","object","1","0","1","219","331","0.410876","0.746224","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","19","dimensions","1","0","1","219","331","0.359517","0.706949","2","0.284314","0.463235","0.290323","-0.05136"
"excluding_h2218_h2239","sequence_family","global","19","side_context","1","0","1","219","331","0.311178","0.697885","2","0.382353","0.470588","0","-0.099698"
"excluding_h2218_h2239","sequence_family","global","20","frequency","1","0","1","221","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","20","object","1","0","1","221","331","0.41994","0.73716","2","0.078431","0.963235","0","0.009063"
"excluding_h2218_h2239","sequence_family","global","20","dimensions","1","0","1","221","331","0.344411","0.700906","2","0.137255","0.522059","0.311828","-0.066465"
"excluding_h2218_h2239","sequence_family","global","20","side_context","1","0","1","221","331","0.36858","0.73716","2","0","0.897059","0","-0.042296"
"excluding_h2218_h2239","sequence_family","global","21","frequency","1","0","1","212","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","21","object","1","0","1","212","331","0.404834","0.607251","2","0","0.985294","0","-0.006042"
"excluding_h2218_h2239","sequence_family","global","21","dimensions","1","0","1","212","331","0.383686","0.664653","2","0.137255","0.580882","0.365591","-0.02719"
"excluding_h2218_h2239","sequence_family","global","21","side_context","1","0","1","212","331","0.23565","0.740181","2","0.186275","0.426471","0.010753","-0.175227"
"excluding_h2218_h2239","sequence_family","global","22","frequency","1","0","1","210","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","22","object","1","0","1","210","331","0.401813","0.694864","2","0","0.977941","0","-0.009063"
"excluding_h2218_h2239","sequence_family","global","22","dimensions","1","0","1","210","331","0.374622","0.719033","2","0.215686","0.698529","0.075269","-0.036254"
"excluding_h2218_h2239","sequence_family","global","22","side_context","1","0","1","210","331","0.34139","0.779456","2","0.009804","0.779412","0.064516","-0.069486"
"excluding_h2218_h2239","sequence_family","global","23","frequency","1","0","1","211","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","23","object","1","0","1","211","331","0.410876","0.722054","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","23","dimensions","1","0","1","211","331","0.338369","0.703927","2","0.27451","0.448529","0.247312","-0.072508"
"excluding_h2218_h2239","sequence_family","global","23","side_context","1","0","1","211","331","0.386707","0.728097","2","0.362745","0.308824","0.526882","-0.024169"
"excluding_h2218_h2239","sequence_family","global","24","frequency","1","0","1","210","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","24","object","1","0","1","210","331","0.392749","0.725076","2","0","0.955882","0","-0.018127"
"excluding_h2218_h2239","sequence_family","global","24","dimensions","1","0","1","210","331","0.326284","0.722054","2","0.27451","0.389706","0.290323","-0.084592"
"excluding_h2218_h2239","sequence_family","global","24","side_context","1","0","1","210","331","0.41994","0.725076","2","0.245098","0.816176","0.032258","0.009063"
"excluding_h2218_h2239","sequence_family","global","25","frequency","1","0","1","219","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","25","object","1","0","1","219","331","0.410876","0.561934","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","25","dimensions","1","0","1","219","331","0.39577","0.643505","2","0.22549","0.625","0.247312","-0.015106"
"excluding_h2218_h2239","sequence_family","global","25","side_context","1","0","1","219","331","0.383686","0.652568","2","0","0.786765","0.215054","-0.02719"
"excluding_h2218_h2239","sequence_family","global","26","frequency","1","0","1","232","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","26","object","1","0","1","232","331","0.41994","0.697885","2","0.068627","0.970588","0","0.009063"
"excluding_h2218_h2239","sequence_family","global","26","dimensions","1","0","1","232","331","0.392749","0.70997","2","0.352941","0.397059","0.430108","-0.018127"
"excluding_h2218_h2239","sequence_family","global","26","side_context","1","0","1","232","331","0.416918","0.673716","2","0.166667","0.889706","0","0.006042"
"excluding_h2218_h2239","sequence_family","global","27","frequency","1","0","1","211","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","27","object","1","0","1","211","331","0.410876","0.731118","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","27","dimensions","1","0","1","211","331","0.380665","0.682779","2","0.284314","0.617647","0.139785","-0.030211"
"excluding_h2218_h2239","sequence_family","global","27","side_context","1","0","1","211","331","0.404834","0.725076","2","0.245098","0.647059","0.225806","-0.006042"
"excluding_h2218_h2239","sequence_family","global","28","frequency","1","0","1","212","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","28","object","1","0","1","212","331","0.410876","0.706949","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","28","dimensions","1","0","1","212","331","0.365559","0.661631","2","0.254902","0.632353","0.096774","-0.045317"
"excluding_h2218_h2239","sequence_family","global","28","side_context","1","0","1","212","331","0.39577","0.728097","2","0.72549","0.411765","0.010753","-0.015106"
"excluding_h2218_h2239","sequence_family","global","29","frequency","1","0","1","221","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","29","object","1","0","1","221","331","0.392749","0.570997","2","0","0.955882","0","-0.018127"
"excluding_h2218_h2239","sequence_family","global","29","dimensions","1","0","1","221","331","0.338369","0.667674","2","0.323529","0.463235","0.172043","-0.072508"
"excluding_h2218_h2239","sequence_family","global","29","side_context","1","0","1","221","331","0.392749","0.758308","2","0.470588","0.602941","0","-0.018127"
"excluding_h2218_h2239","sequence_family","global","30","frequency","1","0","1","216","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","30","object","1","0","1","216","331","0.410876","0.740181","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","30","dimensions","1","0","1","216","331","0.356495","0.694864","2","0.166667","0.683824","0.086022","-0.054381"
"excluding_h2218_h2239","sequence_family","global","30","side_context","1","0","1","216","331","0.413897","0.740181","2","0.421569","0.330882","0.526882","0.003021"
"excluding_h2218_h2239","sequence_family","global","31","frequency","1","0","1","229","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","31","object","1","0","1","229","331","0.410876","0.722054","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","31","dimensions","1","0","1","229","331","0.359517","0.694864","2","0.333333","0.588235","0.053763","-0.05136"
"excluding_h2218_h2239","sequence_family","global","31","side_context","1","0","1","229","331","0.268882","0.655589","2","0.392157","0.294118","0.096774","-0.141994"
"excluding_h2218_h2239","sequence_family","global","32","frequency","1","0","1","203","331","0.410876","0.719033","2","0","1","0","0"
"excluding_h2218_h2239","sequence_family","global","32","object","1","0","1","203","331","0.39577","0.70997","2","0","0.963235","0","-0.015106"
"excluding_h2218_h2239","sequence_family","global","32","dimensions","1","0","1","203","331","0.39577","0.743202","2","0.245098","0.580882","0.290323","-0.015106"
"excluding_h2218_h2239","sequence_family","global","32","side_context","1","0","1","203","331","0.29003","0.637462","2","0.019608","0.691176","0","-0.120846"
"excluding_h2218_h2239","sequence_family","global","33","frequency","1","0","1","220","331","0.410876","0.719033","2","0","1","0","0"
