"type","text_length_raw","rows"
"TAB:I","2","348"
"TAB:B","2","300"
"SEAL:S","5","289"
"SEAL:S","4","221"
"SEAL:S","2","220"
"SEAL:S","3","217"
"SEAL:S","6","196"
"TAB:B","3","167"
"TAB:B","4","166"
"TAB:I","3","161"
"POT:T:g","1","152"
"SEAL:S","7","146"
"TAB:B","5","140"
"TAB:I","2+?","139"
"TAB:I","1+?","101"
"TAB:I","4","97"
"POT:T:g","2","80"
"TAB:B","2+?","76"
"POT:T:g","1+?","74"
"POT:T:g","2+?","74"
"TAB:C","4","71"
"SEAL:S","3+?","70"
"POT:T:g","3+?","64"
"SEAL:S","8","61"
"SEAL:S","2+?","59"
"TAB:B","3+?","57"
"TAB:B","6","57"
"SEAL:S","4+?","56"
"SEAL:R","3","55"
"SEAL:R","4","53"
"SEAL:S","1","53"
"TAB:C","7","50"
"TAB:I","3+?","49"
"SEAL:R","5","44"
"TAB:B","1+?","43"
"SEAL:S","9","42"
"SEAL:S","1+?","40"
"TAB:B","1","38"
"MISC","1","37"
"SEAL:R","6","34"
"SEAL:S","5+?","34"
"TAG","3+?","33"
"TAB:C","5","32"
"POT:T:g","3","30"
"SEAL:R","7","30"
"TAG","2+?","30"
"SEAL:R","2","29"
"TAG","4+?","29"
"POT:T:g","4+?","25"
"SEAL:R","2+?","25"
"POT:T:s","2","24"
"SEAL:S","6+?","24"
"TAB:C","1","24"
"POT:T:s","1","23"
"SEAL","3+?","23"
"SEAL:R","4+?","23"
"TAB:I","5","23"
"SEAL:R","3+?","21"
"SEAL:R","5+?","21"
"TAB:B","7","21"
"TAB:C","3","21"
"SEAL:S","10","20"
"BNGL","1","19"
"TAB:B","4+?","17"
"BNGL","2","16"
"SEAL","2+?","16"
"TAG","6","14"
"MISC","2","13"
"SEAL","4+?","13"
"SEAL:S","7+?","13"
"TAB:I","1","13"
"SEAL:R","8","12"
"TAG","1+?","12"
"POT:T:g","4","11"
"ROD","3","11"
"TAB:B","11","11"
"TAG","4","11"
"POT:T:g","5+?","10"
"SEAL","1+?","10"
"TAB:C","2","10"
"TAB:I","4+?","10"
"TAG","5+?","10"
"TAG:B","4","10"
"SEAL:R","6+?","9"
"TAG","1","9"
"IMPL","2","8"
"MISC","3","8"
"SEAL:C","4","8"
"TAB:C","6","8"
"POT:T:p","1+?","7"
"ROD","5","7"
"SEAL:C","5","7"
"SEAL:R","1","7"
"BNGL","3","6"
"MISC","4","6"
"POT:T:g","5","6"
"POT:T:s","3","6"
"POT:T:s","4","6"
"ROD","3+?","6"
"SEAL:R","9","6"
"TAG:L","8","6"
"MISC","2+?","5"
"POT:T:p","2+?","5"
"ROD","2","5"
"ROD","4","5"
"SEAL","3","5"
"SEAL:C","6","5"
"SEAL:S","11","5"
"SEAL:S","13","5"
"TAB:I","6","5"
"TAG","2","5"
"TAG","8","5"
"TAG:L","6","5"
"TAG:P","5","5"
"IMPL","6","4"
"POT:T:s","2+?","4"
"SEAL:R","10","4"
"SEAL:R","11","4"
"TAB:B","5+?","4"
"TAB:B","8","4"
"TAG","3","4"
"TAG","5","4"
"TAG","6+?","4"
"TAG:L","4","4"
"TAG:L","4+?","4"
"TAG:L","5","4"
"BNGL","2+?","3"
"BNGL","4","3"
"IMPL","3","3"
"MISC","5","3"
"POT:M","1","3"
"POT:T:g","6","3"
"POT:T:g","6+?","3"
"POT:T:p","1","3"
"POT:T:s","1+?","3"
"POT:T:s","3+?","3"
"ROD","7","3"
"SEAL","2","3"
"SEAL:R","1+?","3"
"SEAL:R","12","3"
"TAB:C","1+?","3"
"TAB:I","5+?","3"
"TAB:I","7","3"
"TAG:L","1+?","3"
"TAG:L","2","3"
"TAG:L","2+?","3"
"BEAD","1","2"
"BNGL","5","2"
"IMPL","4","2"
"IMPL","5","2"
"IMPL","8","2"
"MISC","1+?","2"
"MISC","5+?","2"
"MISC","6","2"
"POT:T:g","7","2"
"POT:T:g","7+?","2"
"POT:T:p","2","2"
"POT:T:s","5","2"
"ROD","1","2"
"SEAL","1","2"
"SEAL","5","2"
"SEAL","6","2"
"SEAL","6+?","2"
"SEAL:C","1","2"
"SEAL:C","2","2"
"SEAL:C","2+?","2"
"SEAL:C","7","2"
"SEAL:CY","2","2"
"SEAL:CY","4","2"
"SEAL:CY","5","2"
"SEAL:L","5","2"
"SEAL:R","13","2"
"SEAL:R","7+?","2"
"TAB:B","10","2"
"TAB:B","9","2"
"TAB:C","2+?","2"
"TAB:C","4+?","2"
"TAB:C","5+?","2"
"TAB:C","8","2"
"TAG:C","2","2"
"TAG:C","3","2"
"TAG:L","3","2"
"TAG:L","3+?","2"
"TAG:L","5+?","2"
"TAG:O","8","2"
"TAG:P","2","2"
"TAG:P","3","2"
"TAG:P","5+?","2"
"TAG:PC","1+?","2"
"TAG:PC","3+?","2"
"TAG:R","4+?","2"
"TAG:W","3","2"
"TAG:W","3+?","2"
"BNGL","3+?","1"
"IMPL","1","1"
"IMPL","2+?","1"
"MDLN","2","1"
"MDLN","4","1"
"MISC","3+?","1"
"MISC","4+?","1"
"MISC","9","1"
"POsT:T:g","2","1"
"POT:D","1+?","1"
"POT:T:g","10","1"
"POT:T:g","8","1"
"POT:T:p","3","1"
"POT:T:p","3+?","1"
"POT:T:S","2+?","1"
"POT:T:s","4+?","1"
"POT:T:s","6","1"
"ROD","1+?","1"
"ROD","4+?","1"
"ROD","6","1"
"SEAL","4","1"
"SEAL","7","1"
"SEAL","7+?","1"
"SEAL","8","1"
"SEAL:C","4+?","1"
"SEAL:C","5+?","1"
"SEAL:C","8","1"
"SEAL:C","8+?","1"
"SEAL:CY","1+?","1"
"SEAL:CY","7","1"
"SEAL:CY","8","1"
"SEAL:R","10+?","1"
"SEAL:S","10+?","1"
"SEAL:S","12","1"
"SEAL:S","16","1"
"SEAL:S","17","1"
"SEAL:S","8+?","1"
"SEAL:S","9+?","1"
"TAB:B","6+?","1"
"TAB:B","7+?","1"
"TAB:B","8+?","1"
"TAB:C","11","1"
"TAB:C","3+?","1"
"TAB:C","9","1"
"TAG","7","1"
"TAG","7+?","1"
"TAG:L","1","1"
"TAG:L","7+?","1"
"TAG:O","2","1"
"TAG:O","3","1"
"TAG:O","3+?","1"
"TAG:O","4","1"
"TAG:P","1+?","1"
"TAG:P","2+?","1"
"TAG:P","4","1"
"TAG:P","6","1"
"TAG:PC","5+?","1"
"TAG:R","6+?","1"
"TAG:R","7","1"
"TAG:W","4","1"
"TAG:W","8","1"
"Unknown","2+?","1"
