"coverage_fraction","control","metric","direction_more_extreme","observed_value","null_iterations","null_mean","null_min","null_p05","null_median","null_p95","null_max","false_positive_rate"
"0.5","global_token_shuffle","context_equiv_log2_bits","lte","30.094737505","100","5.306827125","1","2","5","10.169925001","13.339850003","1"
"0.5","global_token_shuffle","profile_singleton_share","gte","0.908450704","100","0.978967136","0.957746479","0.962441315","0.980046948","0.990610329","0.995305164","1"
"0.5","global_token_shuffle","masked_top1_accuracy","gte","0.259598712","100","0.102658333","0.080833333","0.090666667","0.1025","0.114166667","0.12","0"
"0.5","global_token_shuffle","masked_mean_effective_candidates","lte","20.437580466","100","14.992093921","12.840661116","13.372809787","14.942432787","16.543501725","17.438531807","1"
"0.5","global_token_shuffle","masked_mean_mass90_candidates","lte","44.230121377","100","36.976691667","31.46","33.9875","36.84125","40.109666667","41.213333333","1"
"0.5","row_internal_shuffle","context_equiv_log2_bits","lte","30.094737505","100","10.417460032","4.584962501","6","10.084962501","15.593458751","18.339850003","1"
"0.5","row_internal_shuffle","profile_singleton_share","gte","0.908450704","100","0.960422535","0.931924883","0.941314554","0.960093897","0.976525822","0.983568075","1"
"0.5","row_internal_shuffle","masked_top1_accuracy","gte","0.259598712","100","0.117783333","0.100833333","0.106583333","0.117916667","0.129166667","0.1375","0"
"0.5","row_internal_shuffle","masked_mean_effective_candidates","lte","20.437580466","100","15.836490034","13.594398936","14.560674513","15.934150638","17.104386785","18.108515163","1"
"0.5","row_internal_shuffle","masked_mean_mass90_candidates","lte","44.230121377","100","37.115725","32.845","33.831125","37.262083333","40.109083333","41.845833333","1"
"0.5","position_slot_shuffle","context_equiv_log2_bits","lte","30.094737505","100","6.189147874","1","2","5.584962501","11.186021406","21.398743692","1"
"0.5","position_slot_shuffle","profile_singleton_share","gte","0.908450704","100","0.971982109","0.930747922","0.95298561","0.972144631","0.988800187","0.994318182","1"
"0.5","position_slot_shuffle","masked_top1_accuracy","gte","0.259598712","100","0.169008333","0.14","0.149833333","0.168333333","0.187541667","0.198333333","0"
"0.5","position_slot_shuffle","masked_mean_effective_candidates","lte","20.437580466","100","14.131863448","12.199050083","12.919995634","14.044141038","15.78211834","16.353498568","1"
"0.5","position_slot_shuffle","masked_mean_mass90_candidates","lte","44.230121377","100","28.361366667","23.528333333","25.667375","28.177083333","32.025833333","33.690833333","1"
"0.5","edge_frame_shuffle","context_equiv_log2_bits","lte","30.094737505","100","22.535976533","15.754887502","17.754887502","22.339850003","26.940908908","30.094737505","1"
"0.5","edge_frame_shuffle","profile_singleton_share","gte","0.908450704","100","0.934530516","0.910798122","0.92241784","0.9342723","0.94600939","0.955399061","1"
"0.5","edge_frame_shuffle","masked_top1_accuracy","gte","0.259598712","100","0.160191667","0.14","0.145","0.16125","0.173375","0.186666667","0"
"0.5","edge_frame_shuffle","masked_mean_effective_candidates","lte","20.437580466","100","20.917153232","18.915552228","19.321165426","20.929066526","22.46992675","23.265856409","0.34"
"0.5","edge_frame_shuffle","masked_mean_mass90_candidates","lte","44.230121377","100","43.600241667","40.2225","40.977166667","43.445416667","46.363666667","47.646666667","0.61"
"0.5","register_blocked_position_shuffle","context_equiv_log2_bits","lte","30.094737505","100","6.219147874","1","2","6","11.199173126","14.754887502","1"
"0.5","register_blocked_position_shuffle","profile_singleton_share","gte","0.908450704","100","0.970914486","0.940298507","0.95410095","0.970930233","0.988618234","0.994152047","1"
"0.5","register_blocked_position_shuffle","masked_top1_accuracy","gte","0.259598712","100","0.173375","0.146666667","0.156666667","0.172083333","0.190125","0.21","0"
"0.5","register_blocked_position_shuffle","masked_mean_effective_candidates","lte","20.437580466","100","13.962136459","11.626329156","12.56320654","13.855200915","15.604389393","16.597438468","1"
"0.5","register_blocked_position_shuffle","masked_mean_mass90_candidates","lte","44.230121377","100","27.20265","21.408333333","24.329083333","26.897083333","30.773041667","32.544166667","1"
"0.5","template_admin_code","context_equiv_log2_bits","lte","30.094737505","100","0","0","0","0","0","0","1"
"0.5","template_admin_code","profile_singleton_share","gte","0.908450704","100","1","1","1","1","1","1","1"
"0.5","template_admin_code","masked_top1_accuracy","gte","0.259598712","100","0.070625","0.045","0.055791667","0.07125","0.085083333","0.088333333","0"
"0.5","template_admin_code","masked_mean_effective_candidates","lte","20.437580466","100","37.139016791","34.416637316","35.681214959","37.102257075","38.562538434","38.796057665","0"
"0.5","template_admin_code","masked_mean_mass90_candidates","lte","44.230121377","100","40.617791667","38.325","39.280666667","40.620416667","41.930125","42.519166667","1"
"0.75","global_token_shuffle","context_equiv_log2_bits","lte","34.738593695","100","5.920225625","1","2","5.584962501","10.169925001","10.584962501","1"
"0.75","global_token_shuffle","profile_singleton_share","gte","0.928853755","100","0.979802372","0.962450593","0.966403162","0.980237154","0.992094862","0.996047431","1"
"0.75","global_token_shuffle","masked_top1_accuracy","gte","0.282852956","100","0.10775","0.090833333","0.095833333","0.106666667","0.11925","0.129166667","0"
"0.75","global_token_shuffle","masked_mean_effective_candidates","lte","15.183839165","100","10.418417151","8.652157646","9.05947517","10.370652996","11.932696391","12.844641694","1"
"0.75","global_token_shuffle","masked_mean_mass90_candidates","lte","32.234000977","100","25.556333333","21.903333333","22.638375","25.4025","28.912125","31.073333333","1"
"0.75","row_internal_shuffle","context_equiv_log2_bits","lte","34.738593695","100","16.528307028","9.169925001","11.169925001","16.547368753","22.836358569","28.679700006","1"
"0.75","row_internal_shuffle","profile_singleton_share","gte","0.928853755","100","0.954782609","0.932806324","0.940711462","0.955533597","0.968478261","0.976284585","1"
"0.75","row_internal_shuffle","masked_top1_accuracy","gte","0.282852956","100","0.120383333","0.096666667","0.106625","0.12","0.135875","0.140833333","0"
"0.75","row_internal_shuffle","masked_mean_effective_candidates","lte","15.183839165","100","11.023461955","8.990830707","10.056278196","10.992509753","12.171962821","13.050521969","1"
"0.75","row_internal_shuffle","masked_mean_mass90_candidates","lte","32.234000977","100","25.703533333","21.349166667","23.293625","25.635833333","28.533541667","30.33","1"
"0.75","position_slot_shuffle","context_equiv_log2_bits","lte","34.738593695","100","8.10372511","1","3","7.584962501","14.784135627","24.639058021","1"
"0.75","position_slot_shuffle","profile_singleton_share","gte","0.928853755","100","0.971033613","0.93236715","0.95304612","0.971428409","0.988016696","0.995294118","1"
"0.75","position_slot_shuffle","masked_top1_accuracy","gte","0.282852956","100","0.16515","0.135","0.14575","0.165833333","0.18675","0.193333333","0"
"0.75","position_slot_shuffle","masked_mean_effective_candidates","lte","15.183839165","100","10.456300803","8.547933763","9.222337051","10.406757894","11.850357337","12.641473176","1"
"0.75","position_slot_shuffle","masked_mean_mass90_candidates","lte","32.234000977","100","20.159291667","15.355","17.169916667","20.17875","23.4135","25.645833333","1"
"0.75","edge_frame_shuffle","context_equiv_log2_bits","lte","34.738593695","100","31.716312818","27.568668693","28.568668693","31.153631194","36.169727599","37.323556196","0.84"
"0.75","edge_frame_shuffle","profile_singleton_share","gte","0.928853755","100","0.937094862","0.918972332","0.924901186","0.938735178","0.944762846","0.950592885","0.89"
"0.75","edge_frame_shuffle","masked_top1_accuracy","gte","0.282852956","100","0.163083333","0.138333333","0.147416667","0.160833333","0.181708333","0.193333333","0"
"0.75","edge_frame_shuffle","masked_mean_effective_candidates","lte","15.183839165","100","14.971099998","13.352034193","13.740175528","15.11969527","16.146126679","16.548082599","0.55"
"0.75","edge_frame_shuffle","masked_mean_mass90_candidates","lte","32.234000977","100","30.791641667","26.499166667","27.827541667","30.822083333","33.727958333","34.62","0.77"
"0.75","register_blocked_position_shuffle","context_equiv_log2_bits","lte","34.738593695","100","8.235584","2","3","7.79248125","13.439850003","19.754887502","1"
"0.75","register_blocked_position_shuffle","profile_singleton_share","gte","0.928853755","100","0.969318426","0.934624697","0.952985527","0.969265594","0.985766458","0.992753623","1"
"0.75","register_blocked_position_shuffle","masked_top1_accuracy","gte","0.282852956","100","0.168566667","0.1425","0.151541667","0.168333333","0.185916667","0.1975","0"
"0.75","register_blocked_position_shuffle","masked_mean_effective_candidates","lte","15.183839165","100","10.540610249","8.856696254","9.571219286","10.522706373","11.480843957","11.835452181","1"
"0.75","register_blocked_position_shuffle","masked_mean_mass90_candidates","lte","32.234000977","100","19.630558333","16.476666667","17.471916667","19.674166667","21.780791667","22.965833333","1"
"0.75","template_admin_code","context_equiv_log2_bits","lte","34.738593695","100","0","0","0","0","0","0","1"
"0.75","template_admin_code","profile_singleton_share","gte","0.928853755","100","1","1","1","1","1","1","1"
"0.75","template_admin_code","masked_top1_accuracy","gte","0.282852956","100","0.0813","0.053333333","0.064958333","0.0825","0.0975","0.116666667","0"
"0.75","template_admin_code","masked_mean_effective_candidates","lte","15.183839165","100","34.692333981","33.003347471","33.397032013","34.796567647","36.07243957","36.596475197","0"
"0.75","template_admin_code","masked_mean_mass90_candidates","lte","32.234000977","100","37.614441667","35.891666667","36.429416667","37.69125","38.975541667","39.61","0"
"1","global_token_shuffle","context_equiv_log2_bits","lte","37.153631194","100","7.016680468","2","2.95","6.584962501","13.190676876","15.754887502","1"
"1","global_token_shuffle","profile_singleton_share","gte","0.933450088","100","0.978861646","0.956217163","0.964886165","0.979859895","0.98966725","0.992994746","1"
"1","global_token_shuffle","masked_top1_accuracy","gte","0.279590843","100","0.1064","0.0875","0.090791667","0.106666667","0.119166667","0.1275","0"
"1","global_token_shuffle","masked_mean_effective_candidates","lte","12.891818931","100","8.303209353","6.859312354","7.133796975","8.239939966","9.404782142","10.664677392","1"
"1","global_token_shuffle","masked_mean_mass90_candidates","lte","25.558451047","100","19.679725","15.34","17.272041667","19.955833333","21.767916667","24.353333333","1"
"1","row_internal_shuffle","context_equiv_log2_bits","lte","37.153631194","100","19.118148836","12.169925001","13.754887502","18.754887502","24.954060629","28.661778098","1"
"1","row_internal_shuffle","profile_singleton_share","gte","0.933450088","100","0.954956217","0.935201401","0.942119089","0.956217163","0.968476357","0.970227671","1"
"1","row_internal_shuffle","masked_top1_accuracy","gte","0.279590843","100","0.120083333","0.101666667","0.109041667","0.119166667","0.135","0.1375","0"
"1","row_internal_shuffle","masked_mean_effective_candidates","lte","12.891818931","100","9.109290951","7.504165208","8.143581046","9.077256449","10.062261633","10.824506673","1"
"1","row_internal_shuffle","masked_mean_mass90_candidates","lte","25.558451047","100","20.08145","16.570833333","17.812416667","20.018333333","22.906","24.1475","1"
"1","position_slot_shuffle","context_equiv_log2_bits","lte","37.153631194","100","8.966388016","2","3","8.953445298","15.928538566","22.46913302","1"
"1","position_slot_shuffle","profile_singleton_share","gte","0.933450088","100","0.971647243","0.946058091","0.954036924","0.972000792","0.9891251","0.991614256","1"
"1","position_slot_shuffle","masked_top1_accuracy","gte","0.279590843","100","0.165233333","0.1425","0.15","0.166666667","0.179208333","0.198333333","0"
"1","position_slot_shuffle","masked_mean_effective_candidates","lte","12.891818931","100","9.208156734","7.637960009","8.134966071","9.198649997","10.417306052","11.060099689","1"
"1","position_slot_shuffle","masked_mean_mass90_candidates","lte","25.558451047","100","16.630983333","13.051666667","14.430375","16.609583333","19.64275","20.714166667","1"
"1","edge_frame_shuffle","context_equiv_log2_bits","lte","37.153631194","100","33.705756443","27.568668693","28.568668693","33.153631194","38.788593695","42.908518696","0.9"
"1","edge_frame_shuffle","profile_singleton_share","gte","0.933450088","100","0.942136602","0.91943958","0.928196147","0.942206655","0.954465849","0.957968476","0.9"
"1","edge_frame_shuffle","masked_top1_accuracy","gte","0.279590843","100","0.165025","0.140833333","0.148333333","0.165","0.179166667","0.190833333","0"
"1","edge_frame_shuffle","masked_mean_effective_candidates","lte","12.891818931","100","12.843935641","10.887819445","11.727964069","12.866028558","13.906770748","15.04778959","0.52"
"1","edge_frame_shuffle","masked_mean_mass90_candidates","lte","25.558451047","100","25.064733333","20.8075","22.551791667","25.208333333","27.785333333","28.445833333","0.58"
"1","register_blocked_position_shuffle","context_equiv_log2_bits","lte","37.153631194","100","9.868088127","2","3.584962501","9.169925001","18.139967317","24.46913302","1"
