"class","site","count","share_within_class"
"??","Harappa","600","0.447427"
"??","Mohenjo-daro","363","0.270694"
"??","Dholavira","118","0.087994"
"??","Kalibangan","80","0.059657"
"??","Lothal","80","0.059657"
"??","Chanhu-daro","16","0.011931"
"??","Unknown","9","0.006711"
"??","Nausharo","8","0.005966"
"??","Banawali","7","0.00522"
"??","Rakhigarhi","6","0.004474"
"??","Allahdino","5","0.003729"
"??","Lakhanjo-daro","5","0.003729"
"??","Kot-Diji","3","0.002237"
"??","Naru-Waro-dharo","3","0.002237"
"??","Shikarpur","3","0.002237"
"??","Chandigarh","2","0.001491"
"??","Kanmer","2","0.001491"
"??","Nuhato","2","0.001491"
"??","Ra's al-Junayz","2","0.001491"
"??","Rupar","2","0.001491"
"??","Ur","2","0.001491"
"??","Amri","1","0.000746"
"??","Bala-kot","1","0.000746"
"??","Baror","1","0.000746"
"??","Bhirrana","1","0.000746"
"??","Daimabad","1","0.000746"
"??","Failaka","1","0.000746"
"??","Girsu","1","0.000746"
"??","Gola Dhoro (Bagasra)","1","0.000746"
"??","Juna Khatiya","1","0.000746"
"??","Kish","1","0.000746"
"??","Murda Sang","1","0.000746"
"??","Nippur","1","0.000746"
"??","Ornach area","1","0.000746"
"??","Pabumath","1","0.000746"
"??","Rappwala Ther","1","0.000746"
"??","Rodji","1","0.000746"
"??","Salut","1","0.000746"
"??","Sibri","1","0.000746"
"??","Surkotada","1","0.000746"
"??","Susa","1","0.000746"
"??","Tello","1","0.000746"
"??","Tepe Yahya","1","0.000746"
"??","Tigrana","1","0.000746"
"2L","Mohenjo-daro","34","0.539683"
"2L","Chanhu-daro","12","0.190476"
"2L","Harappa","10","0.15873"
"2L","Kalibangan","3","0.047619"
"2L","Dholavira","2","0.031746"
"2L","Lothal","1","0.015873"
"2L","Nausharo","1","0.015873"
"3L","Mohenjo-daro","2","0.666667"
"3L","Harappa","1","0.333333"
"AN","Harappa","10","0.5"
"AN","Mohenjo-daro","4","0.2"
"AN","Lothal","3","0.15"
"AN","Gola Dhoro (Bagasra)","1","0.05"
"AN","Kalibangan","1","0.05"
"AN","Kot-Diji","1","0.05"
"CT","Mohenjo-daro","3","0.75"
"CT","Harappa","1","0.25"
"IC","Mohenjo-daro","3","0.5"
"IC","Nausharo","2","0.333333"
"IC","Unknown","1","0.166667"
"IM","Mohenjo-daro","41","0.525641"
"IM","Harappa","18","0.230769"
"IM","Lothal","6","0.076923"
"IM","Dholavira","5","0.064103"
"IM","Chanhu-daro","2","0.025641"
"IM","Bakkar Buthi","1","0.012821"
"IM","Kalibangan","1","0.012821"
"IM","Khirsara","1","0.012821"
"IM","Nausharo","1","0.012821"
"IM","Surkotada","1","0.012821"
"IM","Tell Umma","1","0.012821"
"IT","Mohenjo-daro","181","0.655797"
"IT","Harappa","54","0.195652"
"IT","Lothal","21","0.076087"
"IT","Kalibangan","9","0.032609"
"IT","Unknown","4","0.014493"
"IT","Chanhu-daro","3","0.01087"
"IT","Dholavira","1","0.003623"
"IT","Nausharo","1","0.003623"
"IT","Rakhigarhi","1","0.003623"
"IT","Salut","1","0.003623"
"LC","Mohenjo-daro","71","0.559055"
"LC","Harappa","26","0.204724"
"LC","Kalibangan","11","0.086614"
"LC","Chanhu-daro","5","0.03937"
"LC","Lothal","3","0.023622"
"LC","Bala-kot","2","0.015748"
"LC","Dholavira","2","0.015748"
"LC","Ganweriwala","1","0.007874"
"LC","Gola Dhoro (Bagasra)","1","0.007874"
"LC","Khirsara","1","0.007874"
"LC","Nindowari-damb","1","0.007874"
"LC","Saar","1","0.007874"
"LC","Susa","1","0.007874"
"LC","Ur","1","0.007874"
"LP","Mohenjo-daro","133","0.627358"
"LP","Harappa","52","0.245283"
"LP","Dholavira","6","0.028302"
"LP","Kalibangan","4","0.018868"
"LP","Lothal","3","0.014151"
"LP","Gola Dhoro (Bagasra)","2","0.009434"
"LP","Nausharo","2","0.009434"
"LP","Unknown","2","0.009434"
"LP","Allahdino","1","0.004717"
"LP","Banawali","1","0.004717"
"LP","Chanhu-daro","1","0.004717"
"LP","Desalpur","1","0.004717"
"LP","Gonur Depe","1","0.004717"
"LP","Kish","1","0.004717"
"LP","Lakhanjo-daro","1","0.004717"
"LP","Lohumjo-daro","1","0.004717"
"LT","Mohenjo-daro","24","0.631579"
"LT","Harappa","14","0.368421"
"MS","Mohenjo-daro","58","0.659091"
"MS","Harappa","13","0.147727"
"MS","Lothal","13","0.147727"
"MS","Dholavira","3","0.034091"
"MS","Unknown","1","0.011364"
"MT","Mohenjo-daro","155","0.469697"
"MT","Harappa","154","0.466667"
"MT","Lothal","9","0.027273"
"MT","Kalibangan","4","0.012121"
"MT","Chanhu-daro","2","0.006061"
"MT","Dholavira","2","0.006061"
"MT","Allahdino","1","0.00303"
"MT","Farmana","1","0.00303"
"MT","Rupar","1","0.00303"
"MT","Tarkhanewala-dera","1","0.00303"
"NU","Harappa","123","0.736527"
"NU","Mohenjo-daro","15","0.08982"
"NU","Kalibangan","9","0.053892"
"NU","Dholavira","7","0.041916"
"NU","Nausharo","6","0.035928"
"NU","Bala-kot","1","0.005988"
"NU","Banawali","1","0.005988"
"NU","Bhirrana","1","0.005988"
"NU","Chanhu-daro","1","0.005988"
"NU","Derawar Ther","1","0.005988"
"NU","Kot-Diji","1","0.005988"
"NU","Lothal","1","0.005988"
"NV","Harappa","62","0.984127"
"NV","Mohenjo-daro","1","0.015873"
"PA","Mohenjo-daro","10","1"
"PN","Mohenjo-daro","20","0.377358"
"PN","Harappa","13","0.245283"
"PN","Kalibangan","9","0.169811"
"PN","Dholavira","3","0.056604"
"PN","Alamgirpur","2","0.037736"
"PN","Altyn Depe","1","0.018868"
"PN","Amri","1","0.018868"
"PN","Banawali","1","0.018868"
"PN","Bhirrana","1","0.018868"
"PN","Ra's al-Junayz","1","0.018868"
"PN","Shortughai","1","0.018868"
"SC","Harappa","272","0.448845"
"SC","Mohenjo-daro","210","0.346535"
"SC","Dholavira","31","0.051155"
"SC","Kalibangan","16","0.026403"
"SC","Lothal","14","0.023102"
"SC","Chanhu-daro","9","0.014851"
"SC","Nausharo","9","0.014851"
"SC","Kanmer","4","0.006601"
"SC","Lakhanjo-daro","4","0.006601"
"SC","Rakhigarhi","4","0.006601"
"SC","Unknown","4","0.006601"
"SC","Banawali","3","0.00495"
"SC","Allahdino","2","0.0033"
"SC","Bala-kot","2","0.0033"
"SC","Desalpur","2","0.0033"
"SC","Farmana","2","0.0033"
"SC","Karzakan","2","0.0033"
"SC","Shikarpur","2","0.0033"
"SC","Alamgirpur","1","0.00165"
"SC","Bhirrana","1","0.00165"
"SC","Chandigarh","1","0.00165"
"SC","Gola Dhoro (Bagasra)","1","0.00165"
"SC","Hissam-dheri","1","0.00165"
"SC","Janabiyah","1","0.00165"
"SC","Luristan","1","0.00165"
"SC","Miri Qalat","1","0.00165"
"SC","Nindowari-damb","1","0.00165"
"SC","Nuhato","1","0.00165"
"SC","Qala'at al-Bahrain","1","0.00165"
"SC","Surkotada","1","0.00165"
"SC","Ur","1","0.00165"
"SC","Wattoowala","1","0.00165"
"SP","Mohenjo-daro","98","0.435556"
"SP","Harappa","92","0.408889"
"SP","Chanhu-daro","8","0.035556"
"SP","Dholavira","7","0.031111"
"SP","Lothal","7","0.031111"
"SP","Unknown","5","0.022222"
"SP","Nausharo","4","0.017778"
"SP","Banawali","1","0.004444"
"SP","Bhirrana","1","0.004444"
"SP","Jhukar","1","0.004444"
"SP","Lakhanjo-daro","1","0.004444"
"SS","Harappa","374","0.527504"
"SS","Mohenjo-daro","265","0.373766"
"SS","Dholavira","14","0.019746"
"SS","Kalibangan","12","0.016925"
"SS","Lothal","11","0.015515"
"SS","Chanhu-daro","8","0.011283"
"SS","Banawali","7","0.009873"
"SS","Allahdino","3","0.004231"
"SS","Nausharo","2","0.002821"
"SS","Rupar","2","0.002821"
"SS","Bala-kot","1","0.00141"
